date,COP_USD
2010-01-04,2011.65
2010-01-05,1988.73
2010-01-06,1972.12
2010-01-07,1968.62
2010-01-08,1966.75
2010-01-11,1964.5
2010-01-12,1960.68
2010-01-13,1972.2
2010-01-14,1971.43
2010-01-15,1969.63
2010-01-18,1969.85
2010-01-19,1957.6
2010-01-20,1965.15
2010-01-21,1974.9
2010-01-22,1968.9
2010-01-25,1959.65
2010-01-26,1969.28
2010-01-27,1988.5
2010-01-28,1993.05
2010-01-29,1981.9
2010-02-01,1968.13
2010-02-02,1962.98
2010-02-03,1968.3
2010-02-04,1989.65
2010-02-05,2007.94
2010-02-08,2003.21
2010-02-09,1966.65
2010-02-10,1959.31
2010-02-11,1935.85
2010-02-12,1935.23
2010-02-15,1935.75
2010-02-16,1927.99
2010-02-17,1932.64
2010-02-18,1930.7
2010-02-19,1921.73
2010-02-22,1919.4
2010-02-23,1929.65
2010-02-24,1935.35
2010-02-25,1942.68
2010-02-26,1926.56
2010-03-01,1912.14
2010-03-02,1896.38
2010-03-03,1927.5
2010-03-04,1917.6
2010-03-05,1896.5
2010-03-08,1897.23
2010-03-09,1887.35
2010-03-10,1892.0
2010-03-11,1892.88
2010-03-12,1899.65
2010-03-15,1893.6
2010-03-16,1900.55
2010-03-17,1893.19
2010-03-18,1901.22
2010-03-19,1907.25
2010-03-22,1906.74
2010-03-23,1908.35
2010-03-24,1929.08
2010-03-25,1926.7
2010-03-26,1937.18
2010-03-29,1935.58
2010-03-30,1929.25
2010-03-31,1920.35
2010-04-01,1918.5
2010-04-02,1917.6
2010-04-05,1910.2
2010-04-06,1915.18
2010-04-07,1929.68
2010-04-08,1922.8
2010-04-09,1928.75
2010-04-12,1924.4
2010-04-13,1941.6
2010-04-14,1947.3
2010-04-15,1937.7
2010-04-16,1946.9
2010-04-19,1951.6
2010-04-20,1947.55
2010-04-21,1947.95
2010-04-22,1953.84
2010-04-23,1951.05
2010-04-26,1947.8
2010-04-27,1964.0
2010-04-28,1976.9
2010-04-29,1959.5
2010-04-30,1956.75
2010-05-03,1973.55
2010-05-04,1987.51
2010-05-05,1996.58
2010-05-06,2018.13
2010-05-07,2024.0
2010-05-10,1987.63
2010-05-11,1973.2
2010-05-12,1963.6
2010-05-13,1951.96
2010-05-14,1980.05
2010-05-17,1978.5
2010-05-18,1982.0
2010-05-19,1999.75
2010-05-20,2011.45
2010-05-21,1991.28
2010-05-24,1977.73
2010-05-25,1993.15
2010-05-26,1973.81
2010-05-27,1969.0
2010-05-28,1971.93
2010-05-31,1971.98
2010-06-01,1971.54
2010-06-02,1966.28
2010-06-03,1958.93
2010-06-04,1966.15
2010-06-07,1965.6
2010-06-08,1960.62
2010-06-09,1940.8
2010-06-10,1926.45
2010-06-11,1924.56
2010-06-14,1924.0
2010-06-15,1919.25
2010-06-16,1911.15
2010-06-17,1902.28
2010-06-18,1909.6
2010-06-21,1893.03
2010-06-22,1889.3
2010-06-23,1895.68
2010-06-24,1896.3
2010-06-25,1899.6
2010-06-28,1906.0
2010-06-29,1920.35
2010-06-30,1900.11
2010-07-01,1898.6
2010-07-02,1888.6
2010-07-05,1887.5
2010-07-06,1893.1
2010-07-07,1906.2
2010-07-08,1884.98
2010-07-09,1873.55
2010-07-12,1877.9
2010-07-13,1872.65
2010-07-14,1871.65
2010-07-15,1870.4
2010-07-16,1877.85
2010-07-19,1875.4
2010-07-20,1874.5
2010-07-21,1867.4
2010-07-22,1862.4
2010-07-23,1868.25
2010-07-26,1858.9
2010-07-27,1849.9
2010-07-28,1844.51
2010-07-29,1843.25
2010-07-30,1843.5
2010-08-02,1832.4
2010-08-03,1831.6
2010-08-04,1822.98
2010-08-05,1818.35
2010-08-06,1816.1
2010-08-09,1808.45
2010-08-10,1808.7
2010-08-11,1801.2
2010-08-12,1825.15
