periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,operador,num_lags,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
1994-W52,1994-12-26,1995-01-01,5,1992-12-28,1994-12-25,OWA,5,0.087143,0.010047,0.100237,0.100036,2.3523,7.3209,2.7057,0.002835
1995-W01,1995-01-02,1995-01-08,5,1993-01-04,1995-01-01,OWA,5,0.251979,0.067035,0.258911,0.230926,6.7532,48.1503,6.939,0.008077
1995-W02,1995-01-09,1995-01-15,5,1993-01-11,1995-01-08,OWA,5,0.182869,0.035548,0.188541,0.149069,4.7695,24.1813,4.9175,0.00568
1995-W03,1995-01-16,1995-01-22,5,1993-01-18,1995-01-15,OWA,5,0.352509,0.128663,0.358697,0.226221,9.0031,83.9266,9.1611,0.010611
1995-W04,1995-01-23,1995-01-29,5,1993-01-25,1995-01-22,OWA,5,0.372754,0.144582,0.38024,0.198165,9.3697,91.3531,9.5579,0.010937
1995-W05,1995-01-30,1995-02-05,5,1993-02-01,1995-01-29,OWA,5,0.107615,0.022851,0.151164,0.061389,2.67,14.066,3.7505,0.003126
1995-W06,1995-02-06,1995-02-12,5,1993-02-08,1995-02-05,OWA,5,0.326326,0.109294,0.330597,0.216647,7.9491,64.8531,8.0531,0.009371
1995-W07,1995-02-13,1995-02-19,5,1993-02-15,1995-02-12,OWA,5,0.123905,0.028703,0.169418,0.08652,2.9415,16.1766,4.022,0.003475
1995-W08,1995-02-20,1995-02-26,5,1993-02-22,1995-02-19,OWA,5,0.247515,0.063446,0.251885,0.14453,5.7235,33.925,5.8245,0.006709
1995-W09,1995-02-27,1995-03-05,5,1993-03-01,1995-02-26,OWA,5,0.263727,0.071165,0.266769,0.137702,5.9998,36.8325,6.069,0.006993
1995-W10,1995-03-06,1995-03-12,5,1993-03-08,1995-03-05,OWA,5,0.140802,0.021983,0.148268,0.069398,3.1713,11.1521,3.3395,0.003683
1995-W11,1995-03-13,1995-03-19,5,1993-03-15,1995-03-12,OWA,5,0.236863,0.062396,0.249792,0.106831,5.3,31.2402,5.5893,0.006121
1995-W12,1995-03-20,1995-03-26,5,1993-03-22,1995-03-19,OWA,5,0.089095,0.010493,0.102434,0.040018,1.9872,5.2201,2.2848,0.002292
1995-W13,1995-03-27,1995-04-02,5,1993-03-29,1995-03-26,OWA,5,0.334736,0.130942,0.361859,0.13139,7.453,64.9143,8.0569,0.008516
1995-W14,1995-04-03,1995-04-09,5,1993-04-05,1995-04-02,OWA,5,0.316216,0.126588,0.355792,0.130876,7.0665,63.2163,7.9509,0.00809
1995-W15,1995-04-10,1995-04-16,5,1993-04-12,1995-04-09,OWA,5,0.311936,0.114678,0.338642,0.145825,6.9916,57.6098,7.5901,0.008053
1995-W16,1995-04-17,1995-04-23,5,1993-04-19,1995-04-16,OWA,5,0.29173,0.112295,0.335104,0.123243,6.514,55.9881,7.4825,0.007451
1995-W17,1995-04-24,1995-04-30,5,1993-04-26,1995-04-23,OWA,5,0.216188,0.081538,0.285548,0.088331,4.844,40.9362,6.3981,0.005524
1995-W18,1995-05-01,1995-05-07,5,1993-05-03,1995-04-30,OWA,5,0.138578,0.032648,0.180688,0.053414,3.1237,16.5889,4.0729,0.003543
1995-W19,1995-05-08,1995-05-14,5,1993-05-10,1995-05-07,OWA,5,0.126447,0.019411,0.139323,0.050407,2.8747,10.0329,3.1675,0.003263
1995-W20,1995-05-15,1995-05-21,5,1993-05-17,1995-05-14,OWA,5,0.217885,0.055853,0.236332,0.098117,5.0036,29.4554,5.4273,0.005711
1995-W21,1995-05-22,1995-05-28,5,1993-05-24,1995-05-21,OWA,5,0.256014,0.070027,0.264626,0.129675,5.9169,37.4046,6.1159,0.006788
1995-W22,1995-05-29,1995-06-04,5,1993-05-31,1995-05-28,OWA,5,0.179639,0.043348,0.208201,0.084293,4.1567,23.2098,4.8177,0.004744
1995-W23,1995-06-05,1995-06-11,5,1993-06-07,1995-06-04,OWA,5,0.180275,0.037484,0.193609,0.092825,4.1715,20.0708,4.48,0.00478
1995-W24,1995-06-12,1995-06-18,5,1993-06-14,1995-06-11,OWA,5,0.124554,0.017888,0.133745,0.064483,2.8824,9.5796,3.0951,0.0033
1995-W25,1995-06-19,1995-06-25,5,1993-06-21,1995-06-18,OWA,5,0.042754,0.002181,0.046703,0.022146,0.9908,1.1713,1.0823,0.001133
1995-W26,1995-06-26,1995-07-02,5,1993-06-28,1995-06-25,OWA,5,0.11679,0.021998,0.148316,0.056124,2.7099,11.8427,3.4413,0.003084
1995-W27,1995-07-03,1995-07-09,5,1993-07-05,1995-07-02,OWA,5,0.360168,0.132853,0.36449,0.155328,8.373,71.8002,8.4735,0.009457
1995-W28,1995-07-10,1995-07-16,5,1993-07-12,1995-07-09,OWA,5,0.422885,0.245557,0.495537,0.156608,9.9249,135.2565,11.63,0.011082
1995-W29,1995-07-17,1995-07-23,5,1993-07-19,1995-07-16,OWA,5,0.130742,0.024512,0.156562,0.052212,3.1334,14.0788,3.7522,0.003509
1995-W30,1995-07-24,1995-07-30,5,1993-07-26,1995-07-23,OWA,5,0.136637,0.020196,0.142113,0.053148,3.3375,12.0498,3.4713,0.003722
1995-W31,1995-07-31,1995-08-06,5,1993-08-02,1995-07-30,OWA,5,0.270996,0.138794,0.37255,0.090382,6.7601,86.3688,9.2935,0.007424
1995-W32,1995-08-07,1995-08-13,5,1993-08-09,1995-08-06,OWA,5,0.617244,0.477149,0.690759,0.192037,15.8156,313.2642,17.6993,0.017224
1995-W33,1995-08-14,1995-08-20,5,1993-08-16,1995-08-13,OWA,5,0.522918,0.454189,0.673936,0.134412,13.9345,322.5187,17.9588,0.014802
1995-W34,1995-08-21,1995-08-27,5,1993-08-23,1995-08-20,OWA,5,0.731515,0.632542,0.795325,0.184354,20.5283,498.1367,22.319,0.021613
1995-W35,1995-08-28,1995-09-03,5,1993-08-30,1995-08-27,OWA,5,0.533267,0.342577,0.585301,0.127127,16.0039,308.5476,17.5655,0.016568
1995-W36,1995-09-04,1995-09-10,5,1993-09-06,1995-09-03,OWA,5,0.424902,0.214964,0.463642,0.121596,13.6774,222.7376,14.9244,0.014342
1995-W37,1995-09-11,1995-09-17,5,1993-09-13,1995-09-10,OWA,5,0.141898,0.032063,0.17906,0.041383,4.8073,36.7995,6.0663,0.005015
1995-W38,1995-09-18,1995-09-24,5,1993-09-20,1995-09-17,OWA,5,0.215261,0.074084,0.272183,0.059401,7.6589,93.782,9.6841,0.007872
1995-W39,1995-09-25,1995-10-01,5,1993-09-27,1995-09-24,OWA,5,0.240088,0.079043,0.281145,0.068531,8.988,110.7773,10.5251,0.009203
1995-W40,1995-10-02,1995-10-08,5,1993-10-04,1995-10-01,OWA,5,0.121404,0.017045,0.130556,0.037904,4.7807,26.4312,5.1411,0.004913
1995-W41,1995-10-09,1995-10-15,5,1993-10-11,1995-10-08,OWA,5,0.177538,0.042585,0.206361,0.054347,7.2944,71.8863,8.4786,0.007422
1995-W42,1995-10-16,1995-10-22,5,1993-10-18,1995-10-15,OWA,5,0.132296,0.020731,0.143982,0.040774,5.6867,38.3038,6.189,0.005746
1995-W43,1995-10-23,1995-10-29,5,1993-10-25,1995-10-22,OWA,5,0.03941,0.002353,0.048509,0.012658,1.7711,4.7525,2.18,0.001786
1995-W44,1995-10-30,1995-11-05,5,1993-11-01,1995-10-29,OWA,5,0.039336,0.002617,0.051157,0.013049,1.8432,5.7461,2.3971,0.001853
1995-W45,1995-11-06,1995-11-12,5,1993-11-08,1995-11-05,OWA,5,0.059106,0.004088,0.063937,0.020059,2.8798,9.7045,3.1152,0.002883
1995-W46,1995-11-13,1995-11-19,5,1993-11-15,1995-11-12,OWA,5,0.031583,0.001138,0.03373,0.011106,1.5956,2.9038,1.704,0.001594
1995-W47,1995-11-20,1995-11-26,5,1993-11-22,1995-11-19,OWA,5,0.045516,0.002429,0.049289,0.016582,2.3778,6.6301,2.5749,0.002373
1995-W48,1995-11-27,1995-12-03,5,1993-11-29,1995-11-26,OWA,5,0.053153,0.004894,0.069959,0.020546,2.8648,14.2171,3.7706,0.002865
1995-W49,1995-12-04,1995-12-10,5,1993-12-06,1995-12-03,OWA,5,0.248132,0.081496,0.285476,0.115076,13.745,250.069,15.8136,0.013989
1995-W50,1995-12-11,1995-12-17,5,1993-12-13,1995-12-10,OWA,5,0.275711,0.093786,0.306246,0.131068,15.5566,298.5793,17.2794,0.015819
1995-W51,1995-12-18,1995-12-24,5,1993-12-20,1995-12-17,OWA,5,0.155666,0.028155,0.167794,0.074091,8.9182,92.4105,9.613,0.009041
1995-W52,1995-12-25,1995-12-31,5,1993-12-27,1995-12-24,OWA,5,0.038942,0.002969,0.054485,0.019163,2.2643,10.0364,3.168,0.002296
