periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,operador,num_lags,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
1999,1999-01-01,2000-12-31,521,1993-01-01,1998-12-31,OWA,5,0.082577,0.013217,0.114967,0.022634,18.6265,672.4978,25.9326,0.00992
2001,2001-01-01,2002-12-31,522,1995-01-01,2000-12-31,OWA,5,0.047021,0.004531,0.067314,0.018761,20.1618,833.0625,28.8628,0.008093
2003,2003-01-01,2004-12-31,523,1997-01-01,2002-12-31,OWA,5,0.041652,0.002916,0.053995,0.025724,20.7793,725.6126,26.9372,0.007676
2005,2005-01-01,2006-12-31,519,1999-01-01,2004-12-31,OWA,5,0.045192,0.004847,0.069618,1.579032,17.5107,727.6605,26.9752,0.007328
2007,2007-01-01,2008-12-31,513,2001-01-01,2006-12-31,OWA,5,0.144076,0.042217,0.205468,0.090728,33.5689,2291.7925,47.8727,0.016617
2009,2009-01-01,2010-12-31,518,2003-01-01,2008-12-31,OWA,5,0.094697,0.017846,0.13359,0.335407,31.2134,1938.8953,44.0329,0.014916
2011,2011-01-01,2012-12-31,496,2005-01-01,2010-12-31,OWA,5,0.082834,0.013094,0.114428,0.064039,18.1404,627.9737,25.0594,0.009898
2013,2013-01-01,2014-12-31,482,2007-01-01,2012-12-31,OWA,5,0.107718,0.027682,0.166379,0.424273,19.8587,940.8617,30.6735,0.009904
2015,2015-01-01,2016-12-31,502,2009-01-01,2014-12-31,OWA,5,0.373751,0.227017,0.476463,0.065772,60.5863,5965.4269,77.2362,0.020787
2017,2017-01-01,2018-12-31,477,2011-01-01,2016-12-31,OWA,5,0.068289,0.007911,0.088941,0.048589,35.4401,2130.5311,46.1577,0.011936
2019,2019-01-01,2020-12-31,495,2013-01-01,2018-12-31,OWA,5,0.112764,0.023996,0.154908,0.064731,56.7542,6078.6253,77.9655,0.016022
2021,2021-01-01,2022-12-31,496,2015-01-01,2020-12-31,OWA,5,0.205946,0.077373,0.278159,0.085465,72.3574,9550.97,97.7291,0.017694
2023,2023-01-01,2024-12-31,485,2017-01-01,2022-12-31,OWA,5,0.132444,0.028961,0.17018,0.104244,68.0472,7644.9054,87.4351,0.016052
