periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,operador,num_lags,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
2019-W01,2019-12-30,2020-01-05,5,2018-12-31,2019-12-29,OWA,5,0.237635,0.078068,0.279406,3.22932,30.1945,1260.3978,35.5021,0.009237
2020-W02,2020-01-06,2020-01-12,5,2019-01-07,2020-01-05,OWA,5,0.22387,0.060635,0.246242,1.794958,28.3515,972.4932,31.1848,0.00869
2020-W03,2020-01-13,2020-01-19,5,2019-01-14,2020-01-12,OWA,5,0.53597,0.364142,0.603442,3.098808,67.2206,5727.8963,75.6829,0.020322
2020-W04,2020-01-20,2020-01-26,5,2019-01-21,2020-01-19,OWA,5,0.491253,0.265848,0.515604,1.10732,60.7256,4062.2452,63.7357,0.018147
2020-W05,2020-01-27,2020-02-02,5,2019-01-28,2020-01-26,OWA,5,0.435658,0.21996,0.468999,0.480108,53.2721,3288.9049,57.349,0.015647
2020-W06,2020-02-03,2020-02-09,5,2019-02-04,2020-02-02,OWA,5,0.324254,0.19091,0.436932,0.555724,39.2722,2800.4621,52.9194,0.011651
2020-W07,2020-02-10,2020-02-16,5,2019-02-11,2020-02-09,OWA,5,0.431366,0.2211,0.470213,0.499703,51.152,3109.0033,55.7584,0.014992
2020-W08,2020-02-17,2020-02-23,5,2019-02-18,2020-02-16,OWA,5,0.263396,0.096965,0.311392,0.343269,30.867,1331.6389,36.4916,0.009082
2020-W09,2020-02-24,2020-03-01,5,2019-02-25,2020-02-23,OWA,5,0.915241,0.951568,0.975484,0.678591,105.0983,12547.5802,112.016,0.030228
2020-W10,2020-03-02,2020-03-08,5,2019-03-04,2020-03-01,OWA,5,0.70956,0.641454,0.800908,0.416955,79.6885,8090.5694,89.9476,0.022622
2020-W11,2020-03-09,2020-03-15,5,2019-03-11,2020-03-08,OWA,5,3.369579,11.886516,3.447683,0.687052,376.8069,148641.8211,385.5409,0.096973
2020-W12,2020-03-16,2020-03-22,5,2019-03-18,2020-03-15,OWA,5,1.172179,1.552819,1.246121,0.210582,155.281,27250.1647,165.0762,0.038056
2020-W13,2020-03-23,2020-03-29,5,2019-03-25,2020-03-22,OWA,5,0.927381,1.135262,1.065487,0.223035,151.3278,30228.5441,173.8636,0.037447
2020-W14,2020-03-30,2020-04-05,5,2019-04-01,2020-03-29,OWA,5,0.619055,0.684116,0.827113,0.171103,115.9115,23984.1674,154.8682,0.028581
