periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,operador,num_lags,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
2020-01,2020-01-01,2020-02-29,43,2019-01-01,2019-12-31,OWA,2,0.272109,0.111995,0.334657,0.669003,34.4424,1794.3265,42.3595,0.010152
2020-03,2020-03-01,2020-04-30,44,2019-03-01,2020-02-29,OWA,2,0.795691,0.938957,0.968998,0.156992,89.8694,11977.904,109.4436,0.022771
2020-05,2020-05-01,2020-06-30,43,2019-05-01,2020-04-30,OWA,2,0.193265,0.056085,0.236823,0.167016,46.6661,3269.9786,57.1837,0.01237
2020-07,2020-07-01,2020-08-31,44,2019-07-01,2020-06-30,OWA,2,0.122151,0.032289,0.179693,0.176677,31.3821,2131.2295,46.1652,0.00841
2020-09,2020-09-01,2020-10-31,44,2019-09-01,2020-08-31,OWA,2,0.145078,0.035217,0.187661,0.256463,34.9569,2044.6183,45.2175,0.009256
2020-11,2020-11-01,2020-12-31,44,2019-11-01,2020-10-31,OWA,2,0.154297,0.041341,0.203324,0.524468,36.272,2284.5922,47.7974,0.010203
2021-01,2021-01-01,2021-02-28,41,2020-01-01,2020-12-31,OWA,2,0.232022,0.070019,0.26461,0.33345,49.2412,3153.6504,56.1574,0.013975
2021-03,2021-03-01,2021-04-30,45,2020-03-01,2021-02-28,OWA,2,0.180975,0.050456,0.224623,2.320162,31.7403,1552.0115,39.3956,0.008745
2021-05,2021-05-01,2021-06-30,43,2020-05-01,2021-04-30,OWA,2,0.30523,0.1376,0.370944,1.95682,39.9849,2361.3359,48.5936,0.010735
2021-07,2021-07-01,2021-08-31,44,2020-07-01,2021-06-30,OWA,2,0.359406,0.265942,0.515696,0.230762,42.9646,3800.4803,61.648,0.011122
2021-09,2021-09-01,2021-10-31,43,2020-09-01,2021-08-31,OWA,2,1.566952,4.687701,2.16511,2.13337,218.1191,90831.4184,301.3825,0.057481
2021-11,2021-11-01,2021-12-31,45,2020-11-01,2021-10-31,OWA,2,1.195132,1.664348,1.290096,0.682187,164.6257,31579.6785,177.7067,0.041775
2022-01,2022-01-01,2022-02-28,41,2021-01-01,2021-12-31,OWA,2,22.286858,541.078203,23.261088,16.212771,3337.4461,12133633.0643,3483.3365,0.842867
2022-03,2022-03-01,2022-04-30,44,2021-03-01,2022-02-28,OWA,2,3.271095,11.10066,3.331765,84.741589,430.1772,191980.5345,438.1558,0.113363
2022-05,2022-05-01,2022-06-30,44,2021-05-01,2022-04-30,OWA,2,0.572324,0.490352,0.700252,0.846455,60.5561,5489.6051,74.0919,0.015154
2022-07,2022-07-01,2022-08-31,44,2021-07-01,2022-06-30,OWA,2,1.61074,3.558145,1.886304,0.385548,166.144,37856.6191,194.5678,0.038281
2022-09,2022-09-01,2022-10-31,43,2021-09-01,2022-08-31,OWA,2,1.287462,1.982071,1.40786,0.444479,261.712,81902.5472,286.1862,0.056771
2022-11,2022-11-01,2022-12-31,44,2021-11-01,2022-10-31,OWA,2,0.425551,0.244395,0.494363,0.174087,125.4124,21226.055,145.6916,0.025955
2023-01,2023-01-01,2023-02-28,42,2022-01-01,2022-12-31,OWA,2,0.329179,0.144876,0.380625,0.295007,129.6612,22477.6762,149.9256,0.027392
2023-03,2023-03-01,2023-04-30,43,2022-03-01,2023-02-28,OWA,2,0.233733,0.06914,0.262946,0.663401,95.5454,11553.455,107.487,0.020576
