periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,operador,num_lags,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
2019-W01,2019-12-30,2020-01-12,10,2018-12-31,2019-12-29,OWA,2,0.142615,0.026337,0.162286,1.649386,18.1211,425.2076,20.6206,0.005547
2020-W03,2020-01-13,2020-01-26,10,2019-01-14,2020-01-12,OWA,2,0.168507,0.039463,0.198653,1.420896,21.1339,620.7473,24.9148,0.006352
2020-W05,2020-01-27,2020-02-09,10,2019-01-28,2020-01-26,OWA,2,0.265531,0.097833,0.312783,0.327235,32.469,1462.8338,38.247,0.009561
2020-W07,2020-02-10,2020-02-23,10,2019-02-11,2020-02-09,OWA,2,0.298732,0.127451,0.357003,0.339576,35.424,1792.1591,42.3339,0.01038
2020-W09,2020-02-24,2020-03-08,10,2019-02-25,2020-02-23,OWA,2,0.57054,0.45717,0.676143,0.36623,65.5157,6028.336,77.6424,0.01868
2020-W11,2020-03-09,2020-03-22,10,2019-03-11,2020-03-08,OWA,2,1.200665,1.935504,1.391224,0.2314,134.2657,24203.6339,155.5752,0.034171
2020-W13,2020-03-23,2020-04-05,10,2019-03-25,2020-03-22,OWA,2,1.193748,1.542296,1.241892,0.283559,194.793,41066.6003,202.649,0.048106
2020-W15,2020-04-06,2020-04-19,10,2019-04-08,2020-04-05,OWA,2,0.41611,0.245189,0.495165,0.168295,85.5658,10367.7725,101.8223,0.021905
2020-W17,2020-04-20,2020-05-03,10,2019-04-22,2020-04-19,OWA,2,0.346801,0.186951,0.432378,0.138915,76.6036,9121.4328,95.5062,0.019243
2020-W19,2020-05-04,2020-05-17,10,2019-05-06,2020-05-03,OWA,2,0.173612,0.043588,0.208777,0.088207,42.2331,2579.3438,50.7872,0.010729
2020-W21,2020-05-18,2020-05-31,10,2019-05-20,2020-05-17,OWA,2,0.643684,0.442963,0.665555,0.566636,165.3078,29215.212,170.9246,0.043738
2020-W23,2020-06-01,2020-06-14,10,2019-06-03,2020-05-31,OWA,2,0.290886,0.118383,0.344069,0.440053,76.1369,8110.2435,90.0569,0.020612
2020-W25,2020-06-15,2020-06-28,10,2019-06-17,2020-06-14,OWA,2,0.08248,0.011852,0.108866,0.095825,21.4793,803.7543,28.3506,0.005748
2020-W27,2020-06-29,2020-07-12,10,2019-07-01,2020-06-28,OWA,2,0.115478,0.036956,0.192239,0.227262,29.6962,2443.9148,49.436,0.00809
2020-W29,2020-07-13,2020-07-26,10,2019-07-15,2020-07-12,OWA,2,0.089479,0.013227,0.115008,0.218751,22.3826,827.6316,28.7686,0.006121
2020-W31,2020-07-27,2020-08-09,10,2019-07-29,2020-07-26,OWA,2,0.111102,0.017565,0.132533,0.153159,26.7129,1015.4126,31.8655,0.007134
2020-W33,2020-08-10,2020-08-23,10,2019-08-12,2020-08-09,OWA,2,0.118998,0.02595,0.161089,0.148878,28.4519,1483.4435,38.5155,0.007536
2020-W35,2020-08-24,2020-09-06,10,2019-08-26,2020-08-23,OWA,2,0.269607,0.107069,0.327214,0.55582,64.6927,6164.6712,78.5154,0.017309
2020-W37,2020-09-07,2020-09-20,10,2019-09-09,2020-09-06,OWA,2,0.106483,0.018237,0.135044,0.252159,25.5609,1050.8455,32.4167,0.00689
2020-W39,2020-09-21,2020-10-04,10,2019-09-23,2020-09-20,OWA,2,0.200816,0.056872,0.238478,0.221543,47.4591,3176.4427,56.3599,0.01237
2020-W41,2020-10-05,2020-10-18,10,2019-10-07,2020-10-04,OWA,2,0.085723,0.012639,0.112425,0.097538,20.4068,716.2705,26.7632,0.005308
2020-W43,2020-10-19,2020-11-01,10,2019-10-21,2020-10-18,OWA,2,0.136467,0.025879,0.16087,0.204636,32.5007,1467.8568,38.3126,0.008519
2020-W45,2020-11-02,2020-11-15,10,2019-11-04,2020-11-01,OWA,2,0.227801,0.073006,0.270196,1.354259,53.4395,4017.6385,63.3848,0.014403
2020-W47,2020-11-16,2020-11-29,10,2019-11-18,2020-11-15,OWA,2,0.074106,0.007598,0.087166,0.402354,16.8684,393.6704,19.8411,0.004641
2020-W49,2020-11-30,2020-12-13,10,2019-12-02,2020-11-29,OWA,2,0.262156,0.093671,0.306057,0.323945,58.6112,4682.1676,68.4264,0.01681
2020-W51,2020-12-14,2020-12-27,10,2019-12-16,2020-12-13,OWA,2,0.126547,0.020511,0.143218,0.112562,27.981,1002.7982,31.667,0.008144
2020-W53,2020-12-28,2021-01-10,10,2019-12-30,2020-12-27,OWA,2,0.257393,0.079883,0.282635,0.220704,55.1006,3660.7737,60.5043,0.016011
