periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,operador,num_lags,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
1995,1995-01-01,1995-12-31,260,1993-01-01,1994-12-31,OWA,5,0.27044,0.1247,0.353129,0.08171,7.2905,90.6219,9.5196,0.007913
1996,1996-01-01,1996-12-31,262,1994-01-01,1995-12-31,OWA,5,0.077979,0.011389,0.106722,0.029044,4.5978,39.5949,6.2924,0.004462
1997,1997-01-01,1997-12-31,261,1995-01-01,1996-12-31,OWA,5,0.108401,0.026873,0.163929,0.062441,8.1601,152.2766,12.34,0.007086
1998,1998-01-01,1998-12-31,261,1996-01-01,1997-12-31,OWA,5,0.192481,0.075202,0.274229,0.049134,16.9129,580.6123,24.0959,0.011661
1999,1999-01-01,1999-12-31,261,1997-01-01,1998-12-31,OWA,5,0.217728,0.104095,0.322638,0.097286,37.1367,3028.3604,55.0305,0.021745
2000,2000-01-01,2000-12-31,260,1998-01-01,1999-12-31,OWA,5,0.076543,0.009929,0.099645,0.033875,16.4694,459.6729,21.44,0.007855
2001,2001-01-01,2001-12-31,261,1999-01-01,2000-12-31,OWA,5,0.052553,0.005382,0.073359,0.030299,11.4011,253.2785,15.9147,0.00495
2002,2002-01-01,2002-12-31,261,2000-01-01,2001-12-31,OWA,5,0.214748,0.077157,0.277771,0.130739,27.8414,1296.8791,36.0122,0.010845
2003,2003-01-01,2003-12-31,261,2001-01-01,2002-12-31,OWA,5,0.099962,0.016413,0.128114,0.041493,19.3114,612.5589,24.7499,0.00672
2004,2004-01-01,2004-12-31,262,2002-01-01,2003-12-31,OWA,5,0.090848,0.013443,0.115945,0.917907,22.3975,817.089,28.5848,0.008635
2005,2005-01-01,2005-12-31,260,2003-01-01,2004-12-31,OWA,5,0.085721,0.013684,0.116978,0.030476,12.7266,301.6182,17.3672,0.005461
2006,2006-01-01,2006-12-31,259,2004-01-01,2005-12-31,OWA,5,0.14601,0.043527,0.208632,0.608566,24.7929,1255.0248,35.4263,0.010284
2007,2007-01-01,2007-12-31,257,2005-01-01,2006-12-31,OWA,5,0.401135,0.279108,0.528307,0.127803,30.7172,1636.6351,40.4553,0.014993
2008,2008-01-01,2008-12-31,256,2006-01-01,2007-12-31,OWA,5,0.266518,0.135216,0.367717,0.709701,47.0418,4212.5155,64.9039,0.02349
2009,2009-01-01,2009-12-31,258,2007-01-01,2008-12-31,OWA,5,0.246996,0.102419,0.32003,2.593454,44.0321,3254.9181,57.0519,0.020169
2010,2010-01-01,2010-12-31,260,2008-01-01,2009-12-31,OWA,5,0.0872,0.013154,0.114692,0.171726,19.9916,691.392,26.2943,0.010469
2011,2011-01-01,2011-12-31,253,2009-01-01,2010-12-31,OWA,5,0.103885,0.019445,0.139446,0.143924,20.6302,766.8537,27.6921,0.011112
2012,2012-01-01,2012-12-31,243,2010-01-01,2011-12-31,OWA,5,0.233488,0.089793,0.299655,0.318036,15.6739,404.6385,20.1156,0.008709
2013,2013-01-01,2013-12-31,242,2011-01-01,2012-12-31,OWA,5,0.288254,0.146317,0.382514,1.505246,15.3552,415.1982,20.3764,0.008162
2014,2014-01-01,2014-12-31,240,2012-01-01,2013-12-31,OWA,5,0.459514,0.500949,0.707777,0.2235,26.074,1612.9058,40.161,0.012468
2015,2015-01-01,2015-12-31,250,2013-01-01,2014-12-31,OWA,5,0.522648,0.450706,0.671346,0.07883,62.6112,6468.1258,80.4247,0.022309
2016,2016-01-01,2016-12-31,252,2014-01-01,2015-12-31,OWA,5,0.124141,0.025601,0.160003,0.084694,54.4954,4933.4076,70.2382,0.017881
2017,2017-01-01,2017-12-31,233,2015-01-01,2016-12-31,OWA,5,0.114123,0.021939,0.148117,1.589748,31.4623,1667.3962,40.8338,0.010639
2018,2018-01-01,2018-12-31,244,2016-01-01,2017-12-31,OWA,5,0.352329,0.196052,0.442777,3.707353,43.3174,2963.468,54.4377,0.014572
2019,2019-01-01,2019-12-31,251,2017-01-01,2018-12-31,OWA,5,0.416691,0.262464,0.512312,0.161301,46.2869,3238.5988,56.9087,0.01406
2020,2020-01-01,2020-12-31,244,2018-01-01,2019-12-31,OWA,5,0.339541,0.230611,0.48022,0.134013,72.1267,10406.0747,102.0102,0.019281
2021,2021-01-01,2021-12-31,246,2019-01-01,2020-12-31,OWA,5,0.222563,0.075874,0.275453,1.312259,59.7719,5472.4507,73.976,0.015903
2022,2022-01-01,2022-12-31,250,2020-01-01,2021-12-31,OWA,5,0.46584,0.403191,0.634974,0.787722,86.6421,13947.4948,118.0995,0.019996
2023,2023-01-01,2023-12-31,239,2021-01-01,2022-12-31,OWA,5,0.217426,0.070203,0.264958,0.881197,85.0544,10742.9359,103.6481,0.019594
2024,2024-01-01,2024-12-31,246,2022-01-01,2023-12-31,OWA,5,0.138045,0.03172,0.1781,0.41762,49.3528,4054.2576,63.6731,0.012116
