periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,operador,num_lags,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
1994-01,1994-01-01,1994-02-28,41,1993-01-01,1993-12-31,OWA,5,0.549019,0.367097,0.605886,0.442502,13.0588,207.6888,14.4114,0.01599
1994-03,1994-03-01,1994-04-30,44,1993-03-01,1994-02-28,OWA,5,0.583515,0.418556,0.646959,0.383751,10.6218,138.6903,11.7767,0.012849
1994-05,1994-05-01,1994-06-30,44,1993-05-01,1994-04-30,OWA,5,0.302962,0.127184,0.356628,0.14245,4.3545,26.2746,5.1259,0.005187
1994-07,1994-07-01,1994-08-31,44,1993-07-01,1994-06-30,OWA,5,0.211371,0.062805,0.250609,6.494753,2.7728,10.8079,3.2875,0.003391
1994-09,1994-09-01,1994-10-31,43,1993-09-01,1994-08-31,OWA,5,0.494035,0.472763,0.687578,1.372569,5.2471,53.3295,7.3027,0.006272
1994-11,1994-11-01,1994-12-31,44,1993-11-01,1994-10-31,OWA,5,0.374437,0.193792,0.440218,0.812331,4.4398,27.2465,5.2198,0.005351
1995-01,1995-01-01,1995-02-28,42,1994-01-01,1994-12-31,OWA,5,0.645409,0.527845,0.726529,0.337456,6.3056,50.3838,7.0982,0.007429
1995-03,1995-03-01,1995-04-30,43,1994-03-01,1995-02-28,OWA,5,0.48561,0.319985,0.565672,0.150043,5.7134,44.2932,6.6553,0.006563
1995-05,1995-05-01,1995-06-30,45,1994-05-01,1995-04-30,OWA,5,0.200767,0.06215,0.249299,0.097481,3.5159,19.0604,4.3658,0.004017
1995-07,1995-07-01,1995-08-31,44,1994-07-01,1995-06-30,OWA,5,0.538153,0.448716,0.669863,0.166461,11.8606,217.9576,14.7634,0.012797
1995-09,1995-09-01,1995-10-31,43,1994-09-01,1995-08-31,OWA,5,0.185374,0.060417,0.245799,0.055817,5.8401,59.9659,7.7438,0.00603
1995-11,1995-11-01,1995-12-31,43,1994-11-01,1995-10-31,OWA,5,0.116881,0.028526,0.168895,0.056721,5.7637,69.3658,8.3286,0.005835
1996-01,1996-01-01,1996-02-29,44,1995-01-01,1995-12-31,OWA,5,0.129717,0.023659,0.153816,0.069964,7.2546,73.9995,8.6023,0.007126
1996-03,1996-03-01,1996-04-30,43,1995-03-01,1996-02-29,OWA,5,0.064392,0.00677,0.082279,0.035906,3.8512,24.217,4.9211,0.003674
1996-05,1996-05-01,1996-06-30,43,1995-05-01,1996-04-30,OWA,5,0.042523,0.002685,0.051815,0.026788,2.5997,10.0346,3.1677,0.002435
1996-07,1996-07-01,1996-08-31,45,1995-07-01,1996-06-30,OWA,5,0.106995,0.026212,0.161902,0.152482,5.6214,72.3553,8.5062,0.005379
1996-09,1996-09-01,1996-10-31,44,1995-09-01,1996-08-31,OWA,5,0.122596,0.022451,0.149838,1.876039,4.3077,27.7185,5.2648,0.004208
1996-11,1996-11-01,1996-12-31,43,1995-11-01,1996-10-31,OWA,5,0.127417,0.024364,0.15609,0.098521,3.4076,17.4258,4.1744,0.003408
1997-01,1997-01-01,1997-02-28,43,1996-01-01,1996-12-31,OWA,5,0.386759,0.293883,0.54211,0.598723,9.7727,187.6393,13.6981,0.009314
1997-03,1997-03-01,1997-04-30,43,1996-03-01,1997-02-28,OWA,5,0.224614,0.102108,0.319543,0.332963,5.8725,69.7971,8.3545,0.005542
1997-05,1997-05-01,1997-06-30,43,1996-05-01,1997-04-30,OWA,5,0.173082,0.06,0.244949,0.150437,4.7064,44.3638,6.6606,0.004367
1997-07,1997-07-01,1997-08-31,44,1996-07-01,1997-06-30,OWA,5,0.277202,0.114956,0.339052,0.103886,8.0204,96.2337,9.8099,0.007116
1997-09,1997-09-01,1997-10-31,45,1996-09-01,1997-08-31,OWA,5,0.337764,0.268572,0.518239,0.07765,13.5891,434.7246,20.8501,0.010998
1997-11,1997-11-01,1997-12-31,43,1996-11-01,1997-10-31,OWA,5,0.093639,0.013116,0.114525,0.036842,7.4277,82.528,9.0845,0.005739
1998-01,1998-01-01,1998-02-28,42,1997-01-01,1997-12-31,OWA,5,0.161453,0.038173,0.195378,0.084217,15.5457,353.8982,18.8122,0.011716
1998-03,1998-03-01,1998-04-30,44,1997-03-01,1998-02-28,OWA,5,0.055557,0.004836,0.069542,0.035205,5.9885,56.1884,7.4959,0.004411
1998-05,1998-05-01,1998-06-30,43,1997-05-01,1998-04-30,OWA,5,0.09133,0.012813,0.113195,0.067559,9.7598,146.3252,12.0965,0.007062
1998-07,1998-07-01,1998-08-31,44,1997-07-01,1998-06-30,OWA,5,0.167453,0.043248,0.207962,0.163592,15.2951,360.8146,18.9951,0.011016
1998-09,1998-09-01,1998-10-31,44,1997-09-01,1998-08-31,OWA,5,0.557487,0.535294,0.731638,0.145551,29.7899,1528.4851,39.0958,0.0193
1998-11,1998-11-01,1998-12-31,44,1997-11-01,1998-10-31,OWA,5,0.233078,0.089539,0.29923,0.137514,19.673,637.896,25.2566,0.012823
1999-01,1999-01-01,1999-02-28,41,1998-01-01,1998-12-31,OWA,5,1.171101,3.43562,1.853543,0.716859,107.0504,28707.3114,169.4323,0.067903
