periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,operador,num_lags,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
1993-W52,1993-12-27,1994-01-09,10,1992-12-28,1993-12-26,OWA,5,0.338962,0.155591,0.39445,0.470171,8.0991,88.829,9.4249,0.010076
1994-W02,1994-01-10,1994-01-23,10,1993-01-11,1994-01-09,OWA,5,0.319295,0.12892,0.359054,0.24478,7.2711,66.8559,8.1765,0.00889
1994-W04,1994-01-24,1994-02-06,10,1993-01-25,1994-01-23,OWA,5,0.134781,0.025179,0.15868,0.107654,2.9505,12.0668,3.4737,0.003605
1994-W06,1994-02-07,1994-02-20,10,1993-02-08,1994-02-06,OWA,5,0.036926,0.001775,0.042132,0.032527,0.7601,0.7521,0.8672,0.00093
1994-W08,1994-02-21,1994-03-06,10,1993-02-22,1994-02-20,OWA,5,0.310887,0.126498,0.355666,0.252233,5.8484,44.7662,6.6908,0.007136
1994-W10,1994-03-07,1994-03-20,10,1993-03-08,1994-03-06,OWA,5,0.367864,0.14796,0.384656,0.319672,6.5044,46.2574,6.8013,0.007942
1994-W12,1994-03-21,1994-04-03,10,1993-03-22,1994-03-20,OWA,5,0.448797,0.209212,0.457397,0.364982,7.4748,58.034,7.618,0.009102
1994-W14,1994-04-04,1994-04-17,10,1993-04-05,1994-04-03,OWA,5,0.528606,0.367857,0.606512,0.357232,8.2811,90.2791,9.5015,0.01002
1994-W16,1994-04-18,1994-05-01,10,1993-04-19,1994-04-17,OWA,5,0.68599,0.530814,0.72857,0.342386,10.066,114.2933,10.6908,0.012057
1994-W18,1994-05-02,1994-05-15,10,1993-05-03,1994-05-01,OWA,5,0.474705,0.24155,0.491477,0.207387,6.823,49.9013,7.0641,0.008121
1994-W20,1994-05-16,1994-05-29,10,1993-05-17,1994-05-15,OWA,5,0.337627,0.117153,0.342277,0.147114,4.8708,24.3822,4.9378,0.00578
1994-W22,1994-05-30,1994-06-12,10,1993-05-31,1994-05-29,OWA,5,0.172148,0.055303,0.235165,0.094737,2.528,11.9257,3.4534,0.003013
1994-W24,1994-06-13,1994-06-26,10,1993-06-14,1994-06-12,OWA,5,0.408703,0.187687,0.433229,0.437025,5.8497,38.4497,6.2008,0.007057
1994-W26,1994-06-27,1994-07-10,10,1993-06-28,1994-06-26,OWA,5,0.347604,0.137786,0.371196,1.527432,4.6932,25.1169,5.0117,0.005728
1994-W28,1994-07-11,1994-07-24,10,1993-07-12,1994-07-10,OWA,5,0.319451,0.114596,0.338521,6.12368,3.937,17.4059,4.172,0.004799
1994-W30,1994-07-25,1994-08-07,10,1993-07-26,1994-07-24,OWA,5,0.18802,0.047605,0.218186,0.979759,2.1879,6.4464,2.539,0.002685
1994-W32,1994-08-08,1994-08-21,10,1993-08-09,1994-08-07,OWA,5,0.231298,0.065032,0.255015,0.675793,2.5747,8.0585,2.8388,0.003162
1994-W34,1994-08-22,1994-09-04,10,1993-08-23,1994-08-21,OWA,5,0.153032,0.037725,0.194229,0.735871,1.6528,4.4006,2.0978,0.002025
