periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,operador,num_lags,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
1996,1996-01-01,1996-12-31,262,1993-01-01,1995-12-31,OWA,1,0.033415,0.002933,0.054155,0.011346,2.1227,11.8347,3.4402,0.002058
1997,1997-01-01,1997-12-31,261,1994-01-01,1996-12-31,OWA,1,0.038576,0.00349,0.059079,0.01954,3.5952,30.3161,5.506,0.003145
1998,1998-01-01,1998-12-31,261,1995-01-01,1997-12-31,OWA,1,0.048951,0.006857,0.082808,0.013754,5.5899,89.4189,9.4562,0.003854
1999,1999-01-01,1999-12-31,261,1996-01-01,1998-12-31,OWA,1,0.158715,0.030169,0.173692,0.056659,28.9369,1002.8242,31.6674,0.016538
2000,2000-01-01,2000-12-31,260,1997-01-01,1999-12-31,OWA,1,0.020411,0.000836,0.02891,0.009072,5.7472,66.2657,8.1404,0.002753
2001,2001-01-01,2001-12-31,261,1998-01-01,2000-12-31,OWA,1,0.018114,0.000713,0.026708,0.010073,5.419,63.8389,7.9899,0.002358
2002,2002-01-01,2002-12-31,261,1999-01-01,2001-12-31,OWA,1,0.044449,0.004061,0.063724,0.025709,11.1557,255.7853,15.9933,0.004335
2003,2003-01-01,2003-12-31,261,2000-01-01,2002-12-31,OWA,1,0.041187,0.003183,0.056416,0.016145,9.2409,160.2185,12.6577,0.003213
2004,2004-01-01,2004-12-31,262,2001-01-01,2003-12-31,OWA,1,0.036241,0.002364,0.048624,1.449804,9.9359,177.7158,13.331,0.003811
2005,2005-01-01,2005-12-31,260,2002-01-01,2004-12-31,OWA,1,0.025965,0.001701,0.041247,0.016419,5.4996,76.3268,8.7365,0.002358
2006,2006-01-01,2006-12-31,259,2003-01-01,2005-12-31,OWA,1,0.040529,0.004478,0.066917,0.247394,9.5934,250.8841,15.8393,0.003967
2007,2007-01-01,2007-12-31,257,2004-01-01,2006-12-31,OWA,1,0.071562,0.010617,0.103037,0.03347,11.4174,270.2458,16.4392,0.005549
2008,2008-01-01,2008-12-31,256,2005-01-01,2007-12-31,OWA,1,0.123133,0.032307,0.179741,1.72264,18.8382,756.177,27.4987,0.009329
2009,2009-01-01,2009-12-31,258,2006-01-01,2008-12-31,OWA,1,0.075256,0.009901,0.099503,0.303549,16.7946,493.092,22.2057,0.007727
2010,2010-01-01,2010-12-31,260,2007-01-01,2009-12-31,OWA,1,0.046676,0.004296,0.065547,0.075777,9.2205,167.6591,12.9483,0.004822
2011,2011-01-01,2011-12-31,253,2008-01-01,2010-12-31,OWA,1,0.03713,0.002285,0.047807,0.064215,7.6421,96.818,9.8396,0.004122
2012,2012-01-01,2012-12-31,243,2009-01-01,2011-12-31,OWA,1,0.099718,0.012365,0.111198,0.113102,18.6005,430.219,20.7417,0.010355
2013,2013-01-01,2013-12-31,242,2010-01-01,2012-12-31,OWA,1,0.081885,0.01349,0.116146,0.225242,5.5187,61.273,7.8277,0.002939
2014,2014-01-01,2014-12-31,240,2011-01-01,2013-12-31,OWA,1,0.15009,0.076055,0.275781,0.106229,8.7707,259.7154,16.1157,0.004239
2015,2015-01-01,2015-12-31,250,2012-01-01,2014-12-31,OWA,1,0.19908,0.07125,0.266928,0.028366,23.6204,1003.0061,31.6703,0.008448
2016,2016-01-01,2016-12-31,252,2013-01-01,2015-12-31,OWA,1,0.061476,0.0067,0.081856,0.032331,26.7223,1266.0143,35.5811,0.008736
2017,2017-01-01,2017-12-31,233,2014-01-01,2016-12-31,OWA,1,0.034,0.001922,0.043836,0.049137,16.4683,450.814,21.2324,0.005574
2018,2018-01-01,2018-12-31,244,2015-01-01,2017-12-31,OWA,1,0.091245,0.013025,0.114125,0.577295,21.0779,695.0218,26.3633,0.007147
2019,2019-01-01,2019-12-31,251,2016-01-01,2018-12-31,OWA,1,0.132867,0.029386,0.171422,0.06935,17.6359,517.7181,22.7534,0.005347
2020,2020-01-01,2020-12-31,244,2017-01-01,2019-12-31,OWA,1,0.132377,0.033203,0.182216,0.044278,25.8408,1265.2112,35.5698,0.00694
2021,2021-01-01,2021-12-31,246,2018-01-01,2020-12-31,OWA,1,0.060106,0.006559,0.080988,0.053288,20.5176,764.2917,27.6458,0.005473
2022,2022-01-01,2022-12-31,250,2019-01-01,2021-12-31,OWA,1,0.12775,0.030604,0.17494,0.064206,34.1086,2181.6617,46.7083,0.007906
2023,2023-01-01,2023-12-31,239,2020-01-01,2022-12-31,OWA,1,0.092274,0.013456,0.115998,0.305147,34.5049,1881.5024,43.3763,0.007966
2024,2024-01-01,2024-12-31,246,2021-01-01,2023-12-31,OWA,1,0.058588,0.005607,0.074877,0.273646,23.2187,880.555,29.6741,0.005697
