periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,operador,num_lags,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
1993-W52,1993-12-27,1994-01-02,5,1992-12-28,1993-12-26,OWA,1,0.128486,0.035778,0.18915,0.162548,3.07,20.426,4.5195,0.00381
1994-W01,1994-01-03,1994-01-09,5,1993-01-04,1994-01-02,OWA,1,0.113748,0.017728,0.133147,0.120493,2.6862,9.8863,3.1443,0.003317
1994-W02,1994-01-10,1994-01-16,5,1993-01-11,1994-01-09,OWA,1,0.056205,0.008751,0.093546,0.041408,1.2799,4.5381,2.1303,0.001563
1994-W03,1994-01-17,1994-01-23,5,1993-01-18,1994-01-16,OWA,1,0.075072,0.010358,0.101772,0.064169,1.6778,5.1737,2.2746,0.002057
1994-W04,1994-01-24,1994-01-30,5,1993-01-25,1994-01-23,OWA,1,0.079512,0.008558,0.092509,0.062294,1.7406,4.1013,2.0252,0.002125
1994-W05,1994-01-31,1994-02-06,5,1993-02-01,1994-01-30,OWA,1,0.091464,0.010376,0.101865,0.07543,1.9513,4.723,2.1732,0.002385
1994-W06,1994-02-07,1994-02-13,5,1993-02-08,1994-02-06,OWA,1,0.015219,0.000275,0.016587,0.012915,0.3133,0.1166,0.3414,0.000383
1994-W07,1994-02-14,1994-02-20,5,1993-02-15,1994-02-13,OWA,1,0.023978,0.00129,0.035915,0.022592,0.4726,0.5012,0.7079,0.000579
1994-W08,1994-02-21,1994-02-27,5,1993-02-22,1994-02-20,OWA,1,0.096496,0.012183,0.110376,0.083391,1.8153,4.3113,2.0764,0.002218
1994-W09,1994-02-28,1994-03-06,5,1993-03-01,1994-02-27,OWA,1,0.025905,0.001026,0.032028,0.021624,0.4711,0.3393,0.5825,0.000575
