periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,operador,num_lags,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
1994-01,1994-01-01,1994-02-28,41,1993-01-01,1993-12-31,OWA,1,0.079387,0.009648,0.098224,0.064041,1.8883,5.4585,2.3363,0.002312
1994-03,1994-03-01,1994-04-30,44,1993-03-01,1994-02-28,OWA,1,0.048354,0.005282,0.072678,0.030188,0.8802,1.7503,1.323,0.001063
1994-05,1994-05-01,1994-06-30,44,1993-05-01,1994-04-30,OWA,1,0.156433,0.039887,0.199718,0.10485,2.2484,8.2402,2.8706,0.002703
1994-07,1994-07-01,1994-08-31,44,1993-07-01,1994-06-30,OWA,1,0.078344,0.009269,0.096274,2.071039,1.0277,1.595,1.2629,0.001258
1994-09,1994-09-01,1994-10-31,43,1993-09-01,1994-08-31,OWA,1,0.15297,0.035514,0.188453,0.591787,1.6247,4.0062,2.0015,0.001946
1994-11,1994-11-01,1994-12-31,44,1993-11-01,1994-10-31,OWA,1,0.110083,0.028095,0.167615,0.308134,1.3053,3.9501,1.9875,0.001575
1995-01,1995-01-01,1995-02-28,42,1994-01-01,1994-12-31,OWA,1,0.164863,0.037421,0.193446,0.08538,1.6107,3.5719,1.89,0.001899
1995-03,1995-03-01,1995-04-30,43,1994-03-01,1995-02-28,OWA,1,0.146123,0.031809,0.17835,0.045484,1.7192,4.4031,2.0984,0.001976
1995-05,1995-05-01,1995-06-30,45,1994-05-01,1995-04-30,OWA,1,0.080595,0.011308,0.10634,0.037986,1.4114,3.468,1.8623,0.00161
1995-07,1995-07-01,1995-08-31,44,1994-07-01,1995-06-30,OWA,1,0.242822,0.084181,0.29014,0.088079,5.3517,40.8897,6.3945,0.00585
1995-09,1995-09-01,1995-10-31,43,1994-09-01,1995-08-31,OWA,1,0.095272,0.015451,0.124301,0.027849,3.0015,15.3355,3.9161,0.003089
1995-11,1995-11-01,1995-12-31,43,1994-11-01,1995-10-31,OWA,1,0.051267,0.005449,0.073816,0.02447,2.5281,13.2497,3.64,0.002555
1996-01,1996-01-01,1996-02-29,44,1995-01-01,1995-12-31,OWA,1,0.034502,0.002267,0.047613,0.018758,1.9296,7.0906,2.6628,0.001897
1996-03,1996-03-01,1996-04-30,43,1995-03-01,1996-02-29,OWA,1,0.022313,0.001019,0.031918,0.012396,1.3345,3.6443,1.909,0.001272
1996-05,1996-05-01,1996-06-30,43,1995-05-01,1996-04-30,OWA,1,0.01855,0.000552,0.023492,0.011551,1.1341,2.0627,1.4362,0.001061
1996-07,1996-07-01,1996-08-31,45,1995-07-01,1996-06-30,OWA,1,0.073437,0.014396,0.119985,0.106032,3.8583,39.7395,6.3039,0.003694
1996-09,1996-09-01,1996-10-31,44,1995-09-01,1996-08-31,OWA,1,0.06999,0.007447,0.086295,1.347443,2.4592,9.194,3.0322,0.002399
1996-11,1996-11-01,1996-12-31,43,1995-11-01,1996-10-31,OWA,1,0.075053,0.009808,0.099038,0.058053,2.0072,7.0153,2.6486,0.002007
1997-01,1997-01-01,1997-02-28,43,1996-01-01,1996-12-31,OWA,1,0.199086,0.081477,0.285442,0.423241,5.0305,52.0217,7.2126,0.00481
