periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,operador,num_lags,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
1993-W52,1993-12-27,1994-01-09,10,1992-12-28,1993-12-26,OWA,1,0.123327,0.027208,0.164949,0.143464,2.9468,15.5336,3.9413,0.003649
1994-W02,1994-01-10,1994-01-23,10,1993-01-11,1994-01-09,OWA,1,0.062017,0.00839,0.091597,0.048512,1.4123,4.3509,2.0859,0.001728
1994-W04,1994-01-24,1994-02-06,10,1993-01-25,1994-01-23,OWA,1,0.075912,0.007768,0.088136,0.059889,1.6618,3.7227,1.9294,0.00203
1994-W06,1994-02-07,1994-02-20,10,1993-02-08,1994-02-06,OWA,1,0.018395,0.000578,0.024044,0.016313,0.3786,0.2449,0.4949,0.000464
1994-W08,1994-02-21,1994-03-06,10,1993-02-22,1994-02-20,OWA,1,0.06152,0.006529,0.080802,0.052381,1.1573,2.3105,1.52,0.001414
1994-W10,1994-03-07,1994-03-20,10,1993-03-08,1994-03-06,OWA,1,0.024385,0.001583,0.039786,0.020804,0.4312,0.4949,0.7035,0.000526
1994-W12,1994-03-21,1994-04-03,10,1993-03-22,1994-03-20,OWA,1,0.016672,0.000449,0.021178,0.013643,0.2777,0.1244,0.3527,0.000338
1994-W14,1994-04-04,1994-04-17,10,1993-04-05,1994-04-03,OWA,1,0.07781,0.011285,0.10623,0.055563,1.219,2.7695,1.6642,0.001477
1994-W16,1994-04-18,1994-05-01,10,1993-04-19,1994-04-17,OWA,1,0.106158,0.01582,0.125778,0.052412,1.5577,3.4063,1.8456,0.001865
1994-W18,1994-05-02,1994-05-15,10,1993-05-03,1994-05-01,OWA,1,0.056835,0.004096,0.063999,0.025386,0.8169,0.8462,0.9199,0.000973
1994-W20,1994-05-16,1994-05-29,10,1993-05-17,1994-05-15,OWA,1,0.063025,0.005257,0.072506,0.027618,0.9092,1.0941,1.046,0.001079
