periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,operador,num_lags,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
1996,1996-01-01,1996-12-31,262,1993-01-01,1995-12-31,OWA,1,0.812522,1.31679,1.147515,0.298242,51.615,5313.7009,72.8951,0.050761
1997,1997-01-01,1997-12-31,261,1994-01-01,1996-12-31,OWA,1,2.203105,6.931883,2.632847,0.855141,205.323,60208.2985,245.3738,0.171636
1998,1998-01-01,1998-12-31,261,1995-01-01,1997-12-31,OWA,1,1.378295,2.717806,1.648577,0.361154,157.3923,35440.622,188.2568,0.106338
1999,1999-01-01,1999-12-31,261,1996-01-01,1998-12-31,OWA,1,0.957922,1.523862,1.234448,0.26196,174.6481,50653.8947,225.0642,0.092548
2000,2000-01-01,2000-12-31,260,1997-01-01,1999-12-31,OWA,1,0.666809,0.539881,0.734766,0.274037,187.7555,42803.6199,206.8904,0.087934
2001,2001-01-01,2001-12-31,261,1998-01-01,2000-12-31,OWA,1,0.118459,0.023521,0.153365,0.064229,35.4379,2105.0131,45.8804,0.015334
2002,2002-01-01,2002-12-31,261,1999-01-01,2001-12-31,OWA,1,1.044994,2.003405,1.415417,0.426717,262.2706,126194.5471,355.2387,0.096833
2003,2003-01-01,2003-12-31,261,2000-01-01,2002-12-31,OWA,1,2.308206,8.647876,2.940727,0.952606,517.8828,435334.8334,659.7991,0.181983
2004,2004-01-01,2004-12-31,262,2001-01-01,2003-12-31,OWA,1,0.87408,0.900061,0.948716,25.688917,239.6422,67654.4065,260.1046,0.091446
2005,2005-01-01,2005-12-31,260,2002-01-01,2004-12-31,OWA,1,0.117255,0.019652,0.140187,0.069927,24.8356,881.6602,29.6928,0.010749
2006,2006-01-01,2006-12-31,259,2003-01-01,2005-12-31,OWA,1,0.57578,0.544955,0.73821,7.928324,136.2888,30532.8216,174.7364,0.055969
2007,2007-01-01,2007-12-31,257,2004-01-01,2006-12-31,OWA,1,1.261185,2.149257,1.466034,0.495205,201.2162,54708.7376,233.899,0.100192
2008,2008-01-01,2008-12-31,256,2005-01-01,2007-12-31,OWA,1,1.39025,2.480536,1.574972,3.50715,212.6952,58059.7501,240.9559,0.113276
2009,2009-01-01,2009-12-31,258,2006-01-01,2008-12-31,OWA,1,0.998116,1.260979,1.122933,2.422377,222.745,62800.299,250.5999,0.107132
2010,2010-01-01,2010-12-31,260,2007-01-01,2009-12-31,OWA,1,0.303503,0.134707,0.367024,0.355618,59.9547,5256.646,72.5027,0.032232
2011,2011-01-01,2011-12-31,253,2008-01-01,2010-12-31,OWA,1,0.395702,0.23432,0.484066,0.440602,81.4434,9926.2525,99.6306,0.045167
2012,2012-01-01,2012-12-31,243,2009-01-01,2011-12-31,OWA,1,0.999324,1.028042,1.013924,1.087223,186.404,35769.2015,189.1275,0.104061
2013,2013-01-01,2013-12-31,242,2010-01-01,2012-12-31,OWA,1,0.538097,0.388787,0.623528,1.699735,36.2654,1765.9388,42.0231,0.01919
2014,2014-01-01,2014-12-31,240,2011-01-01,2013-12-31,OWA,1,1.631035,5.686371,2.384611,1.005222,95.312,19417.958,139.3483,0.045227
2015,2015-01-01,2015-12-31,250,2012-01-01,2014-12-31,OWA,1,0.984809,1.486339,1.219155,0.157109,116.8451,20923.5098,144.6496,0.043247
2016,2016-01-01,2016-12-31,252,2013-01-01,2015-12-31,OWA,1,0.401955,0.194545,0.441073,0.224279,174.7215,36758.5571,191.7252,0.058083
2017,2017-01-01,2017-12-31,233,2014-01-01,2016-12-31,OWA,1,0.148273,0.031482,0.177432,0.240356,71.818,7385.9178,85.9414,0.024628
2018,2018-01-01,2018-12-31,244,2015-01-01,2017-12-31,OWA,1,1.536817,2.938281,1.714141,7.938815,355.0099,156794.2465,395.9725,0.11767
2019,2019-01-01,2019-12-31,251,2016-01-01,2018-12-31,OWA,1,1.174715,2.067462,1.437867,0.472338,155.9235,36424.6978,190.8526,0.046323
2020,2020-01-01,2020-12-31,244,2017-01-01,2019-12-31,OWA,1,2.159814,5.849171,2.418506,0.620532,421.6094,222885.662,472.1077,0.111247
2021,2021-01-01,2021-12-31,246,2018-01-01,2020-12-31,OWA,1,2.834372,9.779777,3.127264,2.063912,967.537,1139594.5474,1067.5179,0.253782
2022,2022-01-01,2022-12-31,250,2019-01-01,2021-12-31,OWA,1,1.338208,2.854744,1.689599,0.573762,357.295,203504.449,451.1147,0.07967
2023,2023-01-01,2023-12-31,239,2020-01-01,2022-12-31,OWA,1,0.698596,0.674839,0.821486,4.128943,261.2328,94363.2589,307.186,0.063117
2024,2024-01-01,2024-12-31,246,2021-01-01,2023-12-31,OWA,1,0.310139,0.142647,0.377687,0.936075,122.9095,22403.8454,149.6791,0.030383
