periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,operador,num_lags,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
1993-W52,1993-12-27,1994-01-02,5,1992-12-28,1993-12-26,OWA,1,0.121775,0.027776,0.166661,0.150781,2.9097,15.8576,3.9822,0.003609
1994-W01,1994-01-03,1994-01-09,5,1993-01-04,1994-01-02,OWA,1,0.245898,0.098582,0.313978,0.248784,5.8069,54.9756,7.4146,0.007163
1994-W02,1994-01-10,1994-01-16,5,1993-01-11,1994-01-09,OWA,1,0.199608,0.04015,0.200374,0.147147,4.5456,20.821,4.563,0.00555
1994-W03,1994-01-17,1994-01-23,5,1993-01-18,1994-01-16,OWA,1,0.177795,0.04094,0.202335,0.152004,3.9737,20.4499,4.5222,0.004872
1994-W04,1994-01-24,1994-01-30,5,1993-01-25,1994-01-23,OWA,1,0.157931,0.036349,0.190655,0.122336,3.4573,17.4198,4.1737,0.00422
1994-W05,1994-01-31,1994-02-06,5,1993-02-01,1994-01-30,OWA,1,0.218858,0.050029,0.223672,0.18201,4.6692,22.7715,4.7719,0.005709
1994-W06,1994-02-07,1994-02-13,5,1993-02-08,1994-02-06,OWA,1,0.020592,0.000493,0.022198,0.017488,0.4239,0.2088,0.4569,0.000518
1994-W07,1994-02-14,1994-02-20,5,1993-02-15,1994-02-13,OWA,1,0.038641,0.003658,0.060479,0.036948,0.7617,1.4211,1.1921,0.000934
1994-W08,1994-02-21,1994-02-27,5,1993-02-22,1994-02-20,OWA,1,0.211357,0.062407,0.249814,0.174009,3.976,22.0852,4.6995,0.004853
1994-W09,1994-02-28,1994-03-06,5,1993-03-01,1994-02-27,OWA,1,0.030964,0.001937,0.04401,0.026024,0.5631,0.6406,0.8004,0.000687
1994-W10,1994-03-07,1994-03-13,5,1993-03-08,1994-03-06,OWA,1,0.053605,0.002941,0.054235,0.048762,0.9478,0.9196,0.9589,0.001159
1994-W11,1994-03-14,1994-03-20,5,1993-03-15,1994-03-13,OWA,1,0.051778,0.005762,0.075905,0.042657,0.8893,1.6996,1.3037,0.001084
1994-W12,1994-03-21,1994-03-27,5,1993-03-22,1994-03-20,OWA,1,0.011967,0.000193,0.013878,0.00956,0.1993,0.0534,0.2311,0.000243
1994-W13,1994-03-28,1994-04-03,5,1993-03-29,1994-03-27,OWA,1,0.081356,0.007005,0.083695,0.069348,1.3185,1.8399,1.3564,0.001606
1994-W14,1994-04-04,1994-04-10,5,1993-04-05,1994-04-03,OWA,1,0.045873,0.00379,0.061565,0.039748,0.7186,0.9302,0.9645,0.000875
1994-W15,1994-04-11,1994-04-17,5,1993-04-12,1994-04-10,OWA,1,0.338434,0.122839,0.350484,0.207927,5.1095,27.9993,5.2914,0.006168
1994-W16,1994-04-18,1994-04-24,5,1993-04-19,1994-04-17,OWA,1,0.121305,0.026532,0.162887,0.066034,1.78,5.7128,2.3901,0.002139
1994-W17,1994-04-25,1994-05-01,5,1993-04-26,1994-04-24,OWA,1,0.113076,0.017718,0.133108,0.051454,1.6311,3.6866,1.92,0.001947
1994-W18,1994-05-02,1994-05-08,5,1993-05-03,1994-05-01,OWA,1,0.10299,0.013767,0.117333,0.04861,1.4803,2.8441,1.6864,0.001767
1994-W19,1994-05-09,1994-05-15,5,1993-05-10,1994-05-08,OWA,1,0.102208,0.013051,0.114242,0.044721,1.4661,2.6853,1.6387,0.001743
1994-W20,1994-05-16,1994-05-22,5,1993-05-17,1994-05-15,OWA,1,0.086425,0.01014,0.100695,0.037876,1.2468,2.1103,1.4527,0.00148
1994-W21,1994-05-23,1994-05-29,5,1993-05-24,1994-05-22,OWA,1,0.136821,0.022293,0.149309,0.062774,1.9954,4.7416,2.1775,0.002368
1994-W22,1994-05-30,1994-06-05,5,1993-05-31,1994-05-29,OWA,1,0.170914,0.034093,0.184642,0.085327,2.5099,7.3519,2.7114,0.002983
1994-W23,1994-06-06,1994-06-12,5,1993-06-07,1994-06-05,OWA,1,0.267681,0.109533,0.330958,0.16251,3.8847,23.0692,4.803,0.00464
1994-W24,1994-06-13,1994-06-19,5,1993-06-14,1994-06-12,OWA,1,0.041934,0.002089,0.045704,0.032322,0.6002,0.4279,0.6542,0.000721
1994-W25,1994-06-20,1994-06-26,5,1993-06-21,1994-06-19,OWA,1,0.200243,0.048634,0.220532,0.286961,2.802,9.523,3.0859,0.003396
1994-W26,1994-06-27,1994-07-03,5,1993-06-28,1994-06-26,OWA,1,0.075459,0.010547,0.102696,0.34415,1.0188,1.9225,1.3865,0.001244
1994-W27,1994-07-04,1994-07-10,5,1993-07-05,1994-07-03,OWA,1,0.292809,0.11953,0.345732,1.367054,3.7729,19.8454,4.4548,0.004603
1994-W28,1994-07-11,1994-07-17,5,1993-07-12,1994-07-10,OWA,1,0.316337,0.105513,0.324827,0.709114,3.8986,16.0262,4.0033,0.00474
1994-W29,1994-07-18,1994-07-24,5,1993-07-19,1994-07-17,OWA,1,0.216192,0.052263,0.228611,10.105339,2.5873,7.4856,2.736,0.003163
1994-W30,1994-07-25,1994-07-31,5,1993-07-26,1994-07-24,OWA,1,0.015021,0.000344,0.018556,0.09243,0.1748,0.0466,0.2159,0.000214
1994-W31,1994-08-01,1994-08-07,5,1993-08-02,1994-07-31,OWA,1,0.089356,0.011909,0.109128,0.232155,1.015,1.5367,1.2396,0.001248
1994-W32,1994-08-08,1994-08-14,5,1993-08-09,1994-08-07,OWA,1,0.193648,0.061118,0.24722,0.668528,2.1556,7.5734,2.752,0.002645
1994-W33,1994-08-15,1994-08-21,5,1993-08-16,1994-08-14,OWA,1,0.067123,0.005465,0.073924,0.167138,0.7349,0.6551,0.8094,0.000903
1994-W34,1994-08-22,1994-08-28,5,1993-08-23,1994-08-21,OWA,1,0.240724,0.07855,0.280268,1.284175,2.5999,9.1627,3.027,0.003183
