periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,operador,num_lags,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
1994-01,1994-01-01,1994-02-28,41,1993-01-01,1993-12-31,OWA,1,0.793201,0.686332,0.828452,0.6119,18.8668,388.2991,19.7053,0.023076
1994-03,1994-03-01,1994-04-30,44,1993-03-01,1994-02-28,OWA,1,0.216346,0.109486,0.330887,0.124991,3.9382,36.2788,6.0232,0.004741
1994-05,1994-05-01,1994-06-30,44,1993-05-01,1994-04-30,OWA,1,0.640852,0.851228,0.92262,0.487331,9.2111,175.8534,13.261,0.011113
1994-07,1994-07-01,1994-08-31,44,1993-07-01,1994-06-30,OWA,1,1.94666,5.355696,2.314238,121.64463,25.5366,921.6426,30.3586,0.031298
1994-09,1994-09-01,1994-10-31,43,1993-09-01,1994-08-31,OWA,1,2.021397,5.029155,2.242578,2.694966,21.4691,567.3079,23.8182,0.0256
1994-11,1994-11-01,1994-12-31,44,1993-11-01,1994-10-31,OWA,1,1.374893,2.149332,1.46606,3.219042,16.3026,302.1893,17.3836,0.019672
1995-01,1995-01-01,1995-02-28,42,1994-01-01,1994-12-31,OWA,1,1.307805,2.094543,1.447254,0.539938,12.7772,199.9281,14.1396,0.015
1995-03,1995-03-01,1995-04-30,43,1994-03-01,1995-02-28,OWA,1,0.481918,0.337101,0.580604,0.140155,5.6699,46.6625,6.831,0.006498
1995-05,1995-05-01,1995-06-30,45,1994-05-01,1995-04-30,OWA,1,0.528371,0.378012,0.614827,0.249799,9.253,115.9295,10.7671,0.01056
1995-07,1995-07-01,1995-08-31,44,1994-07-01,1995-06-30,OWA,1,13.897565,325.368469,18.037973,3.742914,306.2942,158043.1733,397.5464,0.327364
1995-09,1995-09-01,1995-10-31,43,1994-09-01,1995-08-31,OWA,1,0.586226,0.380331,0.61671,0.162634,18.4688,377.4913,19.4291,0.018898
