periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,operador,num_lags,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
1993-W52,1993-12-27,1994-01-09,10,1992-12-28,1993-12-26,OWA,1,0.226616,0.087234,0.295355,0.24908,5.4147,49.8033,7.0571,0.006695
1994-W02,1994-01-10,1994-01-23,10,1993-01-11,1994-01-09,OWA,1,0.14497,0.027133,0.164722,0.107854,3.3013,14.0709,3.7511,0.004032
1994-W04,1994-01-24,1994-02-06,10,1993-01-25,1994-01-23,OWA,1,0.171886,0.036049,0.189865,0.135725,3.7628,17.2759,4.1564,0.004596
1994-W06,1994-02-07,1994-02-20,10,1993-02-08,1994-02-06,OWA,1,0.03088,0.001238,0.035187,0.02729,0.6356,0.5246,0.7243,0.000778
1994-W08,1994-02-21,1994-03-06,10,1993-02-22,1994-02-20,OWA,1,0.29677,0.104401,0.323112,0.241386,5.5828,36.9464,6.0784,0.006813
1994-W10,1994-03-07,1994-03-20,10,1993-03-08,1994-03-06,OWA,1,0.052456,0.002836,0.053255,0.046147,0.9275,0.8866,0.9416,0.001133
1994-W12,1994-03-21,1994-04-03,10,1993-03-22,1994-03-20,OWA,1,0.042352,0.002899,0.053847,0.034974,0.7054,0.8043,0.8968,0.000859
1994-W14,1994-04-04,1994-04-17,10,1993-04-05,1994-04-03,OWA,1,0.244856,0.104571,0.323374,0.156287,3.8359,25.6637,5.0659,0.004635
1994-W16,1994-04-18,1994-05-01,10,1993-04-19,1994-04-17,OWA,1,0.297769,0.128527,0.358507,0.140319,4.3694,27.6741,5.2606,0.005224
1994-W18,1994-05-02,1994-05-15,10,1993-05-03,1994-05-01,OWA,1,0.084393,0.009859,0.099294,0.038242,1.213,2.0368,1.4272,0.001446
1994-W20,1994-05-16,1994-05-29,10,1993-05-17,1994-05-15,OWA,1,0.163687,0.035254,0.187762,0.071621,2.3614,7.3372,2.7087,0.002803
1994-W22,1994-05-30,1994-06-12,10,1993-05-31,1994-05-29,OWA,1,0.347122,0.173072,0.416019,0.191192,5.0974,37.322,6.1092,0.006077
1994-W24,1994-06-13,1994-06-26,10,1993-06-14,1994-06-12,OWA,1,0.177248,0.054969,0.234455,0.222505,2.5369,11.261,3.3557,0.00307
1994-W26,1994-06-27,1994-07-10,10,1993-06-28,1994-06-26,OWA,1,0.325898,0.201563,0.448957,1.378342,4.4001,36.7426,6.0616,0.00537
1994-W28,1994-07-11,1994-07-24,10,1993-07-12,1994-07-10,OWA,1,0.264435,0.077108,0.277683,3.288654,3.259,11.7118,3.4223,0.003969
1994-W30,1994-07-25,1994-08-07,10,1993-07-26,1994-07-24,OWA,1,0.044257,0.00369,0.060743,0.172069,0.515,0.4996,0.7068,0.000632
1994-W32,1994-08-08,1994-08-21,10,1993-08-09,1994-08-07,OWA,1,0.274244,0.094218,0.30695,0.868067,3.0528,11.6751,3.4169,0.003747
1994-W34,1994-08-22,1994-09-04,10,1993-08-23,1994-08-21,OWA,1,0.307604,0.111873,0.334474,1.616274,3.3222,13.0498,3.6125,0.004068
1994-W36,1994-09-05,1994-09-18,10,1993-09-06,1994-09-04,OWA,1,0.503351,0.483586,0.695404,11.767315,5.3205,54.0311,7.3506,0.006437
1994-W38,1994-09-19,1994-10-02,10,1993-09-20,1994-09-18,OWA,1,0.678501,0.481154,0.693653,0.336478,7.0815,52.4122,7.2396,0.008421
1994-W40,1994-10-03,1994-10-16,10,1993-10-04,1994-10-02,OWA,1,0.483303,0.352585,0.593788,0.33881,5.3144,42.6315,6.5293,0.00635
1994-W42,1994-10-17,1994-10-30,10,1993-10-18,1994-10-16,OWA,1,0.219494,0.075983,0.27565,0.135679,2.5075,9.9167,3.1491,0.002982
1994-W44,1994-10-31,1994-11-13,10,1993-11-01,1994-10-30,OWA,1,0.919924,1.042891,1.02122,1.370517,10.8986,146.3781,12.0987,0.01311
1994-W46,1994-11-14,1994-11-27,10,1993-11-15,1994-11-13,OWA,1,0.191364,0.050006,0.223619,0.755053,2.2788,7.0911,2.6629,0.002755
1994-W48,1994-11-28,1994-12-11,10,1993-11-29,1994-11-27,OWA,1,0.030905,0.001743,0.041748,0.076048,0.3638,0.2415,0.4915,0.000439
1994-W50,1994-12-12,1994-12-25,10,1993-12-13,1994-12-11,OWA,1,0.795599,0.768185,0.876462,15.320559,8.9636,97.5079,9.8746,0.010835
1994-W52,1994-12-26,1995-01-08,10,1993-12-27,1994-12-25,OWA,1,0.40332,0.267789,0.517484,0.526012,4.1357,28.158,5.3064,0.004951
1995-W02,1995-01-09,1995-01-22,10,1994-01-10,1995-01-08,OWA,1,0.294,0.125105,0.353702,0.168242,2.783,11.21,3.3481,0.00329
1995-W04,1995-01-23,1995-02-05,10,1994-01-24,1995-01-22,OWA,1,0.305107,0.206658,0.454597,0.112697,3.0134,20.1588,4.4899,0.003525
1995-W06,1995-02-06,1995-02-19,10,1994-02-07,1995-02-05,OWA,1,0.88454,0.889079,0.94291,0.548393,9.7925,108.9673,10.4387,0.011557
1995-W08,1995-02-20,1995-03-05,10,1994-02-21,1995-02-19,OWA,1,0.520989,0.342442,0.585186,0.224928,5.9131,44.1122,6.6417,0.006899
1995-W10,1995-03-06,1995-03-19,10,1994-03-07,1995-03-05,OWA,1,0.123291,0.020047,0.141589,0.048495,1.4872,2.9171,1.7079,0.001723
1995-W12,1995-03-20,1995-04-02,10,1994-03-21,1995-03-19,OWA,1,0.199967,0.089639,0.299398,0.065959,2.639,15.6118,3.9512,0.003017
1995-W14,1995-04-03,1995-04-16,10,1994-04-04,1995-04-02,OWA,1,1.180515,1.694653,1.301788,0.522286,17.3687,366.838,19.153,0.019986
1995-W16,1995-04-17,1995-04-30,10,1994-04-18,1995-04-16,OWA,1,0.942328,1.035769,1.017727,0.391589,15.0882,265.5418,16.2955,0.017224
1995-W18,1995-05-01,1995-05-14,10,1994-05-02,1995-04-30,OWA,1,0.347957,0.147561,0.384137,0.144457,6.0935,45.2545,6.7271,0.006915
1995-W20,1995-05-15,1995-05-28,10,1994-05-16,1995-05-14,OWA,1,0.089926,0.010471,0.102328,0.053093,1.7296,3.8735,1.9681,0.001981
1995-W22,1995-05-29,1995-06-11,10,1994-05-30,1995-05-28,OWA,1,2.358638,7.157317,2.675316,1.495106,47.899,2951.7615,54.3301,0.054812
1995-W24,1995-06-12,1995-06-25,10,1994-06-13,1995-06-11,OWA,1,4.259677,24.567127,4.956524,2.880265,90.4996,11089.0463,105.3045,0.103491
1995-W26,1995-06-26,1995-07-09,10,1994-06-27,1995-06-25,OWA,1,3.139103,13.596202,3.687303,1.775983,68.6362,6499.9875,80.6225,0.077645
1995-W28,1995-07-10,1995-07-23,10,1994-07-11,1995-07-09,OWA,1,1.005666,1.274109,1.128764,0.479453,22.4592,635.4615,25.2084,0.025123
1995-W30,1995-07-24,1995-08-06,10,1994-07-25,1995-07-23,OWA,1,0.616027,0.598233,0.773455,0.268406,14.4205,327.8178,18.1057,0.015938
1995-W32,1995-08-07,1995-08-20,10,1994-08-08,1995-08-06,OWA,1,0.225035,0.076671,0.276894,0.072104,5.4619,45.1657,6.7205,0.005867
1995-W34,1995-08-21,1995-09-03,10,1994-08-22,1995-08-20,OWA,1,0.675455,0.794453,0.891321,0.184089,18.0766,568.9966,23.8536,0.018904
1995-W36,1995-09-04,1995-09-17,10,1994-09-05,1995-09-03,OWA,1,0.123724,0.01867,0.136637,0.041541,3.9306,18.8429,4.3408,0.004105
1995-W38,1995-09-18,1995-10-01,10,1994-09-19,1995-09-17,OWA,1,0.259247,0.088454,0.297412,0.085603,9.188,111.104,10.5406,0.009419
1995-W40,1995-10-02,1995-10-15,10,1994-10-03,1995-10-01,OWA,1,0.069423,0.005838,0.076406,0.026708,2.7927,9.4467,3.0735,0.002856
1995-W42,1995-10-16,1995-10-29,10,1994-10-17,1995-10-15,OWA,1,0.032278,0.001416,0.037628,0.012698,1.4313,2.7841,1.6686,0.001444
1995-W44,1995-10-30,1995-11-12,10,1994-10-31,1995-10-29,OWA,1,0.042662,0.002168,0.046563,0.018363,2.0716,5.1122,2.261,0.002078
1995-W46,1995-11-13,1995-11-26,10,1994-11-14,1995-11-12,OWA,1,0.058737,0.004994,0.070666,0.027574,3.0562,13.5196,3.6769,0.003052
1995-W48,1995-11-27,1995-12-10,10,1994-11-28,1995-11-26,OWA,1,0.143747,0.04658,0.215823,0.091975,7.8548,139.08,11.7932,0.007983
1995-W50,1995-12-11,1995-12-24,10,1994-12-12,1995-12-10,OWA,1,0.43748,0.218348,0.467278,0.292351,24.508,685.2522,26.1773,0.024815
1995-W52,1995-12-25,1996-01-07,10,1994-12-26,1995-12-24,OWA,1,0.108569,0.017037,0.130527,0.073298,6.0876,53.5659,7.3189,0.006131
1996-W02,1996-01-08,1996-01-21,10,1995-01-09,1996-01-07,OWA,1,0.108508,0.017211,0.13119,0.064744,6.0673,53.8119,7.3357,0.006009
1996-W04,1996-01-22,1996-02-04,10,1995-01-23,1996-01-21,OWA,1,0.122506,0.016511,0.128494,0.066741,6.9334,52.8869,7.2723,0.006758
1996-W06,1996-02-05,1996-02-18,10,1995-02-06,1996-02-04,OWA,1,0.081571,0.007379,0.085904,0.049861,4.7593,25.1213,5.0121,0.004648
1996-W08,1996-02-19,1996-03-03,10,1995-02-20,1996-02-18,OWA,1,0.047035,0.002466,0.049659,0.027254,2.769,8.5471,2.9235,0.00267
1996-W10,1996-03-04,1996-03-17,10,1995-03-06,1996-03-03,OWA,1,0.013916,0.00026,0.016117,0.008211,0.8307,0.9256,0.9621,0.000796
1996-W12,1996-03-18,1996-03-31,10,1995-03-20,1996-03-17,OWA,1,0.076263,0.007371,0.085852,0.046671,4.6175,27.0199,5.1981,0.004406
1996-W14,1996-04-01,1996-04-14,10,1995-04-03,1996-03-31,OWA,1,0.107944,0.01268,0.112605,0.073896,6.6114,47.5672,6.8969,0.006324
1996-W16,1996-04-15,1996-04-28,10,1995-04-17,1996-04-14,OWA,1,0.026849,0.001144,0.033829,0.018033,1.6414,4.2772,2.0681,0.001558
1996-W18,1996-04-29,1996-05-12,10,1995-05-01,1996-04-28,OWA,1,0.071946,0.00623,0.078932,0.047312,4.3804,23.0945,4.8057,0.004124
1996-W20,1996-05-13,1996-05-26,10,1995-05-15,1996-05-12,OWA,1,0.045275,0.002372,0.048707,0.030401,2.7448,8.7197,2.9529,0.002573
1996-W22,1996-05-27,1996-06-09,10,1995-05-29,1996-05-26,OWA,1,0.009934,0.000146,0.012091,0.006694,0.5901,0.5158,0.7182,0.00055
1996-W24,1996-06-10,1996-06-23,10,1995-06-12,1996-06-09,OWA,1,0.070705,0.006454,0.080336,0.051202,4.0665,21.3483,4.6204,0.003797
1996-W26,1996-06-24,1996-07-07,10,1995-06-26,1996-06-23,OWA,1,0.051331,0.003874,0.062244,0.03993,2.7954,11.4902,3.3897,0.002615
1996-W28,1996-07-08,1996-07-21,10,1995-07-10,1996-07-07,OWA,1,0.034905,0.00202,0.04494,0.031341,1.7681,5.1819,2.2764,0.001663
