periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,operador,num_lags,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
1996,1996-01-01,1996-12-31,262,1993-01-01,1995-12-31,OWA,2,0.054998,0.006942,0.083321,0.018715,3.4937,28.0149,5.2929,0.003389
1997,1997-01-01,1997-12-31,261,1994-01-01,1996-12-31,OWA,2,0.054038,0.006989,0.083598,0.026691,5.0362,60.7012,7.7911,0.004391
1998,1998-01-01,1998-12-31,261,1995-01-01,1997-12-31,OWA,2,0.072932,0.015392,0.124063,0.020084,8.3284,200.7095,14.1672,0.00571
1999,1999-01-01,1999-12-31,261,1996-01-01,1998-12-31,OWA,2,0.072921,0.010587,0.102891,0.025179,13.2949,351.9048,18.7591,0.007541
2000,2000-01-01,2000-12-31,260,1997-01-01,1999-12-31,OWA,2,0.029482,0.001696,0.041188,0.01309,8.3013,134.5033,11.5976,0.003975
2001,2001-01-01,2001-12-31,261,1998-01-01,2000-12-31,OWA,2,0.025286,0.001255,0.035421,0.014054,7.5645,112.2865,10.5965,0.003291
2002,2002-01-01,2002-12-31,261,1999-01-01,2001-12-31,OWA,2,0.064519,0.007854,0.088626,0.038022,16.1929,494.7547,22.2431,0.006313
2003,2003-01-01,2003-12-31,261,2000-01-01,2002-12-31,OWA,2,0.05355,0.005492,0.074106,0.020964,12.0148,276.4557,16.627,0.004177
2004,2004-01-01,2004-12-31,262,2001-01-01,2003-12-31,OWA,2,0.052102,0.004932,0.070227,1.377031,14.2844,370.7043,19.2537,0.0055
2005,2005-01-01,2005-12-31,260,2002-01-01,2004-12-31,OWA,2,0.038189,0.003158,0.056197,0.024168,8.0888,141.6783,11.9029,0.003468
2006,2006-01-01,2006-12-31,259,2003-01-01,2005-12-31,OWA,2,0.057506,0.008345,0.091351,0.624048,13.6118,467.5582,21.6231,0.005628
2007,2007-01-01,2007-12-31,257,2004-01-01,2006-12-31,OWA,2,0.105975,0.021494,0.146607,0.049378,16.9078,547.1121,23.3904,0.00822
2008,2008-01-01,2008-12-31,256,2005-01-01,2007-12-31,OWA,2,0.160865,0.054603,0.233673,1.256029,24.6108,1278.0507,35.7498,0.01233
2009,2009-01-01,2009-12-31,258,2006-01-01,2008-12-31,OWA,2,0.111845,0.021443,0.146434,0.5005,24.96,1067.9163,32.679,0.011408
2010,2010-01-01,2010-12-31,260,2007-01-01,2009-12-31,OWA,2,0.068886,0.009653,0.09825,0.115901,13.6079,376.6865,19.4084,0.007109
2011,2011-01-01,2011-12-31,253,2008-01-01,2010-12-31,OWA,2,0.055834,0.005204,0.07214,0.093344,11.4917,220.4594,14.8479,0.006208
2012,2012-01-01,2012-12-31,243,2009-01-01,2011-12-31,OWA,2,0.050842,0.004953,0.070381,0.060922,9.4836,172.3479,13.1281,0.005268
2013,2013-01-01,2013-12-31,242,2010-01-01,2012-12-31,OWA,2,0.124261,0.027923,0.167103,0.720141,8.3747,126.8331,11.262,0.004459
2014,2014-01-01,2014-12-31,240,2011-01-01,2013-12-31,OWA,2,0.240133,0.15469,0.393307,0.152029,14.0326,528.2408,22.9835,0.006756
2015,2015-01-01,2015-12-31,250,2012-01-01,2014-12-31,OWA,2,0.307747,0.169604,0.41183,0.043824,36.5134,2387.5525,48.8626,0.013072
2016,2016-01-01,2016-12-31,252,2013-01-01,2015-12-31,OWA,2,0.094665,0.015199,0.123283,0.050102,41.1491,2871.7247,53.5885,0.013478
2017,2017-01-01,2017-12-31,233,2014-01-01,2016-12-31,OWA,2,0.03868,0.002479,0.049786,0.056209,18.7351,581.5075,24.1145,0.006343
2018,2018-01-01,2018-12-31,244,2015-01-01,2017-12-31,OWA,2,0.10604,0.018218,0.134975,0.619302,24.4956,972.1728,31.1797,0.008271
2019,2019-01-01,2019-12-31,251,2016-01-01,2018-12-31,OWA,2,0.178174,0.054082,0.232556,0.094633,23.6496,952.8264,30.8679,0.007171
2020,2020-01-01,2020-12-31,244,2017-01-01,2019-12-31,OWA,2,0.205909,0.082185,0.286679,0.068514,40.1947,3131.6859,55.9615,0.010794
2021,2021-01-01,2021-12-31,246,2018-01-01,2020-12-31,OWA,2,0.09347,0.015036,0.122621,0.082207,31.9068,1752.0708,41.8577,0.008505
2022,2022-01-01,2022-12-31,250,2019-01-01,2021-12-31,OWA,2,0.203367,0.075745,0.275219,0.099738,54.2981,5399.6094,73.482,0.012537
2023,2023-01-01,2023-12-31,239,2020-01-01,2022-12-31,OWA,2,0.150706,0.036643,0.191424,0.391759,56.3549,5123.8604,71.5811,0.012972
2024,2024-01-01,2024-12-31,246,2021-01-01,2023-12-31,OWA,2,0.090188,0.013504,0.116205,0.477976,35.742,2120.8354,46.0525,0.008737
