periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,operador,num_lags,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
1993-W52,1993-12-27,1994-01-02,5,1992-12-28,1993-12-26,OWA,2,0.158855,0.045696,0.213766,0.208151,3.7956,26.0885,5.1077,0.004715
1994-W01,1994-01-03,1994-01-09,5,1993-01-04,1994-01-02,OWA,2,0.169764,0.044681,0.211378,0.173667,4.009,24.9168,4.9917,0.004946
1994-W02,1994-01-10,1994-01-16,5,1993-01-11,1994-01-09,OWA,2,0.139626,0.044683,0.211384,0.103343,3.1796,23.1721,4.8137,0.003883
1994-W03,1994-01-17,1994-01-23,5,1993-01-18,1994-01-16,OWA,2,0.112521,0.01606,0.126726,0.093577,2.5148,8.022,2.8323,0.00308
1994-W04,1994-01-24,1994-01-30,5,1993-01-25,1994-01-23,OWA,2,0.104786,0.018206,0.134929,0.080462,2.2939,8.7249,2.9538,0.002799
1994-W05,1994-01-31,1994-02-06,5,1993-02-01,1994-01-30,OWA,2,0.08274,0.013061,0.114283,0.069952,1.7652,5.9447,2.4382,0.002159
1994-W06,1994-02-07,1994-02-13,5,1993-02-08,1994-02-06,OWA,2,0.007501,8.5e-05,0.009246,0.006357,0.1544,0.0362,0.1903,0.000189
1994-W07,1994-02-14,1994-02-20,5,1993-02-15,1994-02-13,OWA,2,0.04611,0.004401,0.066342,0.043743,0.9089,1.71,1.3077,0.001114
1994-W08,1994-02-21,1994-02-27,5,1993-02-22,1994-02-20,OWA,2,0.148118,0.029568,0.171954,0.126223,2.7864,10.4639,3.2348,0.003404
1994-W09,1994-02-28,1994-03-06,5,1993-03-01,1994-02-27,OWA,2,0.037834,0.001794,0.042354,0.031347,0.688,0.5933,0.7703,0.00084
1994-W10,1994-03-07,1994-03-13,5,1993-03-08,1994-03-06,OWA,2,0.047192,0.003163,0.056239,0.043044,0.8344,0.9888,0.9944,0.00102
1994-W11,1994-03-14,1994-03-20,5,1993-03-15,1994-03-13,OWA,2,0.06049,0.007329,0.085607,0.050056,1.0389,2.1619,1.4703,0.001266
1994-W12,1994-03-21,1994-03-27,5,1993-03-22,1994-03-20,OWA,2,0.032248,0.001322,0.036356,0.025862,0.5371,0.3666,0.6055,0.000654
1994-W13,1994-03-28,1994-04-03,5,1993-03-29,1994-03-27,OWA,2,0.028527,0.001296,0.035996,0.024292,0.4623,0.3403,0.5834,0.000563
1994-W14,1994-04-04,1994-04-10,5,1993-04-05,1994-04-03,OWA,2,0.076215,0.006442,0.080263,0.065758,1.194,1.581,1.2574,0.001454
1994-W15,1994-04-11,1994-04-17,5,1993-04-12,1994-04-10,OWA,2,0.228109,0.07772,0.278783,0.143174,3.4439,17.7151,4.2089,0.004159
1994-W16,1994-04-18,1994-04-24,5,1993-04-19,1994-04-17,OWA,2,0.170585,0.04379,0.209261,0.094161,2.5031,9.4288,3.0706,0.003009
1994-W17,1994-04-25,1994-05-01,5,1993-04-26,1994-04-24,OWA,2,0.239054,0.08429,0.290327,0.109756,3.4483,17.5384,4.1879,0.004117
1994-W18,1994-05-02,1994-05-08,5,1993-05-03,1994-05-01,OWA,2,0.10676,0.017401,0.131914,0.048031,1.5345,3.5949,1.896,0.001828
1994-W19,1994-05-09,1994-05-15,5,1993-05-10,1994-05-08,OWA,2,0.049037,0.005275,0.07263,0.021455,0.7034,1.0854,1.0418,0.000836
1994-W20,1994-05-16,1994-05-22,5,1993-05-17,1994-05-15,OWA,2,0.096481,0.011653,0.107948,0.041934,1.3919,2.4252,1.5573,0.001651
1994-W21,1994-05-23,1994-05-29,5,1993-05-24,1994-05-22,OWA,2,0.036989,0.001856,0.043077,0.017004,0.5395,0.3947,0.6282,0.00064
1994-W22,1994-05-30,1994-06-05,5,1993-05-31,1994-05-29,OWA,2,0.081795,0.007395,0.085994,0.040774,1.2011,1.5947,1.2628,0.001428
1994-W23,1994-06-06,1994-06-12,5,1993-06-07,1994-06-05,OWA,2,0.16711,0.038855,0.197116,0.100548,2.4252,8.1833,2.8607,0.002896
1994-W24,1994-06-13,1994-06-19,5,1993-06-14,1994-06-12,OWA,2,0.145937,0.029807,0.172646,0.108464,2.0888,6.1062,2.4711,0.002506
1994-W25,1994-06-20,1994-06-26,5,1993-06-21,1994-06-19,OWA,2,0.320331,0.124427,0.352742,0.434965,4.4824,24.3638,4.936,0.005428
1994-W26,1994-06-27,1994-07-03,5,1993-06-28,1994-06-26,OWA,2,0.177319,0.043082,0.207562,0.615404,2.3941,7.8534,2.8024,0.00292
1994-W27,1994-07-04,1994-07-10,5,1993-07-05,1994-07-03,OWA,2,0.117625,0.020426,0.142921,0.594366,1.5156,3.3913,1.8416,0.001849
1994-W28,1994-07-11,1994-07-17,5,1993-07-12,1994-07-10,OWA,2,0.111385,0.015478,0.12441,0.258282,1.3727,2.3509,1.5333,0.001669
1994-W29,1994-07-18,1994-07-24,5,1993-07-19,1994-07-17,OWA,2,0.208744,0.053821,0.231994,5.089212,2.4982,7.7087,2.7765,0.003052
1994-W30,1994-07-25,1994-07-31,5,1993-07-26,1994-07-24,OWA,2,0.073025,0.00617,0.078549,0.479812,0.8498,0.8355,0.9141,0.001041
1994-W31,1994-08-01,1994-08-07,5,1993-08-02,1994-07-31,OWA,2,0.141616,0.03513,0.187431,0.325427,1.6087,4.5331,2.1291,0.001978
1994-W32,1994-08-08,1994-08-14,5,1993-08-09,1994-08-07,OWA,2,0.166349,0.036746,0.191694,0.530345,1.8518,4.5535,2.1339,0.002273
1994-W33,1994-08-15,1994-08-21,5,1993-08-16,1994-08-14,OWA,2,0.097654,0.011257,0.106098,0.254534,1.0692,1.3494,1.1617,0.001313
1994-W34,1994-08-22,1994-08-28,5,1993-08-23,1994-08-21,OWA,2,0.137142,0.027602,0.166139,0.63371,1.4812,3.2198,1.7944,0.001814
1994-W35,1994-08-29,1994-09-04,5,1993-08-30,1994-08-28,OWA,2,0.064477,0.007505,0.086629,0.320317,0.6891,0.8573,0.9259,0.000844
1994-W36,1994-09-05,1994-09-11,5,1993-09-06,1994-09-04,OWA,2,0.153161,0.031096,0.176341,15.629394,1.6189,3.4744,1.864,0.001977
1994-W37,1994-09-12,1994-09-18,5,1993-09-13,1994-09-11,OWA,2,0.464046,0.314381,0.560697,0.951105,4.854,34.3976,5.8649,0.005859
1994-W38,1994-09-19,1994-09-25,5,1993-09-20,1994-09-18,OWA,2,0.581147,0.466401,0.682936,0.312454,6.0654,50.8051,7.1278,0.007226
1994-W39,1994-09-26,1994-10-02,5,1993-09-27,1994-09-25,OWA,2,0.203696,0.052401,0.228913,0.108704,2.1864,6.0373,2.4571,0.002601
1994-W40,1994-10-03,1994-10-09,5,1993-10-04,1994-10-02,OWA,2,0.219577,0.065109,0.255165,0.114497,2.4145,7.8724,2.8058,0.002867
1994-W41,1994-10-10,1994-10-16,5,1993-10-11,1994-10-09,OWA,2,0.309071,0.152842,0.39095,0.239788,3.4819,19.3976,4.4043,0.004164
