periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,operador,num_lags,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
1993-W52,1993-12-27,1994-01-09,10,1992-12-28,1993-12-26,OWA,2,0.166778,0.046664,0.216019,0.192295,3.985,26.6413,5.1615,0.004933
1994-W02,1994-01-10,1994-01-23,10,1993-01-11,1994-01-09,OWA,2,0.123408,0.029589,0.172013,0.094802,2.8103,15.3442,3.9172,0.003436
1994-W04,1994-01-24,1994-02-06,10,1993-01-25,1994-01-23,OWA,2,0.09229,0.015115,0.122941,0.073066,2.0204,7.2434,2.6914,0.002468
1994-W06,1994-02-07,1994-02-20,10,1993-02-08,1994-02-06,OWA,2,0.025807,0.002056,0.045338,0.023656,0.5312,0.8709,0.9332,0.000651
1994-W08,1994-02-21,1994-03-06,10,1993-02-22,1994-02-20,OWA,2,0.091971,0.015565,0.12476,0.077672,1.7302,5.5083,2.347,0.002113
1994-W10,1994-03-07,1994-03-20,10,1993-03-08,1994-03-06,OWA,2,0.052889,0.005019,0.070846,0.045271,0.9352,1.5692,1.2527,0.001141
1994-W12,1994-03-21,1994-04-03,10,1993-03-22,1994-03-20,OWA,2,0.029919,0.001254,0.035415,0.024373,0.4983,0.3479,0.5898,0.000607
1994-W14,1994-04-04,1994-04-17,10,1993-04-05,1994-04-03,OWA,2,0.148962,0.0399,0.199749,0.102153,2.3336,9.7922,3.1292,0.002825
1994-W16,1994-04-18,1994-05-01,10,1993-04-19,1994-04-17,OWA,2,0.205516,0.063795,0.252576,0.101284,3.0157,13.7361,3.7062,0.003611
1994-W18,1994-05-02,1994-05-15,10,1993-05-03,1994-05-01,OWA,2,0.07715,0.011482,0.107155,0.03406,1.1089,2.3721,1.5402,0.00132
1994-W20,1994-05-16,1994-05-29,10,1993-05-17,1994-05-15,OWA,2,0.066847,0.006784,0.082362,0.029129,0.9644,1.4118,1.1882,0.001144
1994-W22,1994-05-30,1994-06-12,10,1993-05-31,1994-05-29,OWA,2,0.124116,0.02287,0.15123,0.06862,1.8226,4.9319,2.2208,0.002173
1994-W24,1994-06-13,1994-06-26,10,1993-06-14,1994-06-12,OWA,2,0.231347,0.075566,0.274892,0.255738,3.3113,15.4804,3.9345,0.003998
1994-W26,1994-06-27,1994-07-10,10,1993-06-28,1994-06-26,OWA,2,0.144548,0.030751,0.17536,0.538465,1.9516,5.6056,2.3676,0.002381
1994-W28,1994-07-11,1994-07-24,10,1993-07-12,1994-07-10,OWA,2,0.157082,0.033174,0.182136,2.37772,1.9359,5.0387,2.2447,0.002361
1994-W30,1994-07-25,1994-08-07,10,1993-07-26,1994-07-24,OWA,2,0.105378,0.019665,0.140232,0.414088,1.2263,2.6629,1.6318,0.001506
1994-W32,1994-08-08,1994-08-21,10,1993-08-09,1994-08-07,OWA,2,0.131315,0.023838,0.154395,0.399508,1.4618,2.9539,1.7187,0.001794
1994-W34,1994-08-22,1994-09-04,10,1993-08-23,1994-08-21,OWA,2,0.100175,0.017462,0.132142,0.491604,1.0819,2.0369,1.4272,0.001325
1994-W36,1994-09-05,1994-09-18,10,1993-09-06,1994-09-04,OWA,2,0.304502,0.167145,0.408833,8.24333,3.2187,18.6751,4.3215,0.003896
1994-W38,1994-09-19,1994-10-02,10,1993-09-20,1994-09-18,OWA,2,0.391333,0.259026,0.508946,0.207073,4.0843,28.2157,5.3118,0.004864
1994-W40,1994-10-03,1994-10-16,10,1993-10-04,1994-10-02,OWA,2,0.265275,0.110565,0.332514,0.17005,2.917,13.3686,3.6563,0.003478
1994-W42,1994-10-17,1994-10-30,10,1993-10-18,1994-10-16,OWA,2,0.251471,0.09247,0.304088,0.164598,2.8729,12.0684,3.474,0.00342
1994-W44,1994-10-31,1994-11-13,10,1993-11-01,1994-10-30,OWA,2,0.26482,0.092974,0.304917,0.321139,3.1374,13.0497,3.6124,0.003765
1994-W46,1994-11-14,1994-11-27,10,1993-11-15,1994-11-13,OWA,2,0.265386,0.088192,0.296971,0.877014,3.1603,12.5062,3.5364,0.003817
1994-W48,1994-11-28,1994-12-11,10,1993-11-29,1994-11-27,OWA,2,0.053167,0.004751,0.068926,0.11212,0.6259,0.6584,0.8114,0.000754
1994-W50,1994-12-12,1994-12-25,10,1993-12-13,1994-12-11,OWA,2,0.294189,0.148168,0.384926,10.463932,3.3145,18.8074,4.3368,0.004009
1994-W52,1994-12-26,1995-01-08,10,1993-12-27,1994-12-25,OWA,2,0.263947,0.098586,0.313984,0.436875,2.7066,10.3663,3.2197,0.003243
1995-W02,1995-01-09,1995-01-22,10,1994-01-10,1995-01-08,OWA,2,0.448106,0.255492,0.505462,0.246413,4.2418,22.8932,4.7847,0.005017
1995-W04,1995-01-23,1995-02-05,10,1994-01-24,1995-01-22,OWA,2,0.292771,0.119265,0.345348,0.104533,2.8916,11.6339,3.4108,0.003379
1995-W06,1995-02-06,1995-02-19,10,1994-02-07,1995-02-05,OWA,2,0.240356,0.073883,0.271814,0.142314,2.6609,9.0553,3.0092,0.003137
1995-W08,1995-02-20,1995-03-05,10,1994-02-21,1995-02-19,OWA,2,0.244801,0.069835,0.264263,0.11188,2.7784,8.9959,2.9993,0.003247
1995-W10,1995-03-06,1995-03-19,10,1994-03-07,1995-03-05,OWA,2,0.166813,0.040357,0.200889,0.065396,2.0122,5.8723,2.4233,0.002332
1995-W12,1995-03-20,1995-04-02,10,1994-03-21,1995-03-19,OWA,2,0.254273,0.101382,0.318405,0.086683,3.3557,17.657,4.202,0.003843
1995-W14,1995-04-03,1995-04-16,10,1994-04-04,1995-04-02,OWA,2,0.246686,0.081033,0.284663,0.101642,3.6295,17.5411,4.1882,0.004164
1995-W16,1995-04-17,1995-04-30,10,1994-04-18,1995-04-16,OWA,2,0.222043,0.086171,0.293549,0.099462,3.5553,22.0918,4.7002,0.00407
1995-W18,1995-05-01,1995-05-14,10,1994-05-02,1995-04-30,OWA,2,0.116223,0.022594,0.150315,0.048238,2.0353,6.9293,2.6324,0.00231
