periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,operador,num_lags,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
1995-S1,1995-01-01,1995-06-30,130,1993-01-01,1994-12-31,OWA,2,0.10434,0.016593,0.128815,0.052167,2.8128,12.0587,3.4726,0.003255
1995-S2,1995-07-01,1995-12-31,130,1993-07-01,1995-06-30,OWA,2,0.225447,0.103778,0.322145,0.044989,5.2674,56.6513,7.5267,0.005498
1996-S1,1996-01-01,1996-06-30,130,1994-01-01,1995-12-31,OWA,2,0.04031,0.003161,0.05622,0.014387,2.3767,10.9878,3.3148,0.00229
1996-S2,1996-07-01,1996-12-31,132,1994-07-01,1996-06-30,OWA,2,0.047399,0.004799,0.069274,0.042361,4.1837,37.3868,6.1145,0.004072
1997-S1,1997-01-01,1997-06-30,129,1995-01-01,1996-12-31,OWA,2,0.05701,0.007274,0.08529,0.055497,4.2916,41.221,6.4204,0.004055
1997-S2,1997-07-01,1997-12-31,132,1995-07-01,1997-06-30,OWA,2,0.131897,0.039222,0.198044,0.035685,6.2338,87.6111,9.3601,0.005089
1998-S1,1998-01-01,1998-06-30,129,1996-01-01,1997-12-31,OWA,2,0.055516,0.006915,0.083157,0.01817,4.8781,53.3891,7.3068,0.00359
1998-S2,1998-07-01,1998-12-31,132,1996-07-01,1998-06-30,OWA,2,0.086604,0.018109,0.13457,0.038214,12.0483,350.4879,18.7213,0.008045
1999-S1,1999-01-01,1999-06-30,129,1997-01-01,1998-12-31,OWA,2,0.065378,0.007326,0.085594,0.035852,11.1512,213.14,14.5993,0.00696
1999-S2,1999-07-01,1999-12-31,132,1997-07-01,1999-06-30,OWA,2,0.097708,0.019471,0.139537,0.032177,15.417,484.7493,22.017,0.008107
2000-S1,2000-01-01,2000-06-30,130,1998-01-01,1999-12-31,OWA,2,0.040982,0.003299,0.057435,0.0213,8.8178,152.7191,12.358,0.00437
2000-S2,2000-07-01,2000-12-31,130,1998-07-01,2000-06-30,OWA,2,0.033197,0.002113,0.045968,0.017581,7.4483,106.3753,10.3138,0.00342
2001-S1,2001-01-01,2001-06-30,130,1999-01-01,2000-12-31,OWA,2,0.039816,0.003137,0.056009,0.023939,8.6379,147.639,12.1507,0.003772
2001-S2,2001-07-01,2001-12-31,131,1999-07-01,2001-06-30,OWA,2,0.042081,0.003307,0.057509,0.030997,6.5786,80.8298,8.9905,0.002848
2002-S1,2002-01-01,2002-06-30,129,2000-01-01,2001-12-31,OWA,2,0.078887,0.010679,0.103341,0.112619,10.2275,179.5034,13.3979,0.004441
2002-S2,2002-07-01,2002-12-31,132,2000-07-01,2002-06-30,OWA,2,0.384661,0.24133,0.491253,0.059241,23.8698,929.2908,30.4843,0.008818
