periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,operador,num_lags,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
2019-W01,2019-12-30,2020-01-05,5,2018-12-31,2019-12-29,OWA,2,0.19932,0.047503,0.217951,3.053863,25.3262,766.9263,27.6934,0.007746
2020-W02,2020-01-06,2020-01-12,5,2019-01-07,2020-01-05,OWA,2,0.127119,0.02182,0.147717,0.760699,16.0987,349.9656,18.7074,0.004942
2020-W03,2020-01-13,2020-01-19,5,2019-01-14,2020-01-12,OWA,2,0.115901,0.020894,0.144547,0.796185,14.5361,328.6568,18.1289,0.004381
2020-W04,2020-01-20,2020-01-26,5,2019-01-21,2020-01-19,OWA,2,0.087313,0.012254,0.1107,0.163477,10.7931,187.252,13.684,0.003215
2020-W05,2020-01-27,2020-02-02,5,2019-01-28,2020-01-26,OWA,2,0.155786,0.026573,0.163012,0.17228,19.0494,397.326,19.933,0.005596
2020-W06,2020-02-03,2020-02-09,5,2019-02-04,2020-02-02,OWA,2,0.355967,0.166368,0.407882,0.574044,43.1132,2440.4498,49.4009,0.012767
2020-W07,2020-02-10,2020-02-16,5,2019-02-11,2020-02-09,OWA,2,0.426457,0.262901,0.512739,0.552177,50.5699,3696.7932,60.8013,0.014869
2020-W08,2020-02-17,2020-02-23,5,2019-02-18,2020-02-16,OWA,2,0.125625,0.020527,0.143272,0.175275,14.7218,281.8977,16.7898,0.004339
2020-W09,2020-02-24,2020-03-01,5,2019-02-25,2020-02-23,OWA,2,0.371,0.180353,0.42468,0.269249,42.6023,2378.1711,48.7665,0.012242
2020-W10,2020-03-02,2020-03-08,5,2019-03-04,2020-03-01,OWA,2,0.537597,0.370151,0.6084,0.351834,60.376,4668.6666,68.3276,0.017233
2020-W11,2020-03-09,2020-03-15,5,2019-03-11,2020-03-08,OWA,2,1.484486,2.597554,1.611693,0.317795,166.0042,32482.616,180.2293,0.043003
