periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,operador,num_lags,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
2020-01,2020-01-01,2020-02-29,43,2019-01-01,2019-12-31,OWA,2,0.200176,0.070171,0.264898,0.471755,25.3375,1124.2424,33.5297,0.007498
2020-03,2020-03-01,2020-04-30,44,2019-03-01,2020-02-29,OWA,2,0.593037,0.555404,0.745254,0.136751,66.9806,7085.0653,84.1728,0.017166
2020-05,2020-05-01,2020-06-30,43,2019-05-01,2020-04-30,OWA,2,7.962026,65.238419,8.07703,6.672465,1922.5259,3803651.011,1950.2951,0.508994
2020-07,2020-07-01,2020-08-31,44,2019-07-01,2020-06-30,OWA,2,0.686393,0.611762,0.782152,0.984319,176.3427,40378.6049,200.9443,0.047073
2020-09,2020-09-01,2020-10-31,44,2019-09-01,2020-08-31,OWA,2,0.126705,0.028965,0.170192,0.207629,30.5299,1681.6868,41.0084,0.008061
2020-11,2020-11-01,2020-12-31,44,2019-11-01,2020-10-31,OWA,2,0.250317,0.08733,0.295516,0.946834,58.8445,4826.0507,69.4698,0.016527
2021-01,2021-01-01,2021-02-28,41,2020-01-01,2020-12-31,OWA,2,0.156622,0.042787,0.206851,0.217599,33.2393,1927.1406,43.8992,0.009444
2021-03,2021-03-01,2021-04-30,45,2020-03-01,2021-02-28,OWA,2,0.188285,0.05503,0.234584,2.92135,33.0223,1692.7074,41.1425,0.009095
2021-05,2021-05-01,2021-06-30,43,2020-05-01,2021-04-30,OWA,2,0.294758,0.123982,0.352111,1.828639,38.6132,2127.6457,46.1264,0.010379
2021-07,2021-07-01,2021-08-31,44,2020-07-01,2021-06-30,OWA,2,0.300906,0.148049,0.384771,0.191064,35.9713,2115.7144,45.9969,0.009307
2021-09,2021-09-01,2021-10-31,43,2020-09-01,2021-08-31,OWA,2,0.178204,0.044766,0.211581,0.269156,24.8059,867.4163,29.4519,0.00655
2021-11,2021-11-01,2021-12-31,45,2020-11-01,2021-10-31,OWA,2,0.676916,0.573303,0.757168,0.350282,93.243,10877.964,104.2975,0.023505
2022-01,2022-01-01,2022-02-28,41,2021-01-01,2021-12-31,OWA,2,0.272556,0.09882,0.314356,0.201179,40.8152,2216.0213,47.0746,0.010317
2022-03,2022-03-01,2022-04-30,44,2021-03-01,2022-02-28,OWA,2,0.34172,0.188884,0.434608,14.356107,44.9392,3266.657,57.1547,0.011831
2022-05,2022-05-01,2022-06-30,44,2021-05-01,2022-04-30,OWA,2,0.483221,0.395837,0.629155,0.7219,51.1284,4431.4815,66.5694,0.01286
2022-07,2022-07-01,2022-08-31,44,2021-07-01,2022-06-30,OWA,2,0.759551,0.886094,0.941326,0.172568,78.3458,9427.5334,97.0955,0.017922
2022-09,2022-09-01,2022-10-31,43,2021-09-01,2022-08-31,OWA,2,0.355436,0.205804,0.453657,0.113628,72.252,8504.1832,92.2181,0.015494
2022-11,2022-11-01,2022-12-31,44,2021-11-01,2022-10-31,OWA,2,0.213442,0.085104,0.291725,0.079727,62.9025,7391.3628,85.973,0.01282
2023-01,2023-01-01,2023-02-28,42,2022-01-01,2022-12-31,OWA,2,0.17605,0.046234,0.215021,0.153257,69.3447,7173.2982,84.6953,0.014601
2023-03,2023-03-01,2023-04-30,43,2022-03-01,2023-02-28,OWA,2,0.143711,0.03158,0.177708,0.400742,58.7462,5277.1079,72.6437,0.012631
2023-05,2023-05-01,2023-06-30,45,2022-05-01,2023-04-30,OWA,2,0.139202,0.029018,0.170347,3.956125,44.4751,2962.1598,54.4257,0.01015
2023-07,2023-07-01,2023-08-31,44,2022-07-01,2023-06-30,OWA,2,0.210119,0.094679,0.3077,0.097354,49.4146,5236.4225,72.3631,0.012123
2023-09,2023-09-01,2023-10-31,43,2022-09-01,2023-08-31,OWA,2,0.164399,0.053047,0.23032,0.142055,49.5291,4814.8929,69.3894,0.011937
2023-11,2023-11-01,2023-12-31,43,2022-11-01,2023-10-31,OWA,2,0.18622,0.045902,0.214248,0.133283,62.2171,5123.9056,71.5815,0.015597
2024-01,2024-01-01,2024-02-29,44,2023-01-01,2023-12-31,OWA,2,0.225933,0.064354,0.253682,0.185625,71.9122,6519.6526,80.7444,0.018293
2024-03,2024-03-01,2024-04-30,43,2023-03-01,2024-02-29,OWA,2,0.103055,0.019094,0.13818,0.091412,28.2368,1433.4574,37.861,0.007307
2024-05,2024-05-01,2024-06-30,43,2023-05-01,2024-04-30,OWA,2,0.203713,0.06925,0.263153,0.412598,38.7117,2500.7129,50.0071,0.009725
2024-07,2024-07-01,2024-08-31,45,2023-07-01,2024-06-30,OWA,2,0.425716,0.228879,0.478413,1.367153,49.567,3102.7863,55.7027,0.012217
2024-09,2024-09-01,2024-10-31,44,2023-09-01,2024-08-31,OWA,2,0.351616,0.193513,0.439901,0.166897,39.7389,2471.7351,49.7165,0.009368
2024-11,2024-11-01,2024-12-31,43,2023-11-01,2024-10-31,OWA,2,0.295186,0.132635,0.364191,0.103793,39.5985,2386.8475,48.8554,0.009012
2025-01,2025-01-01,2025-02-28,43,2024-01-01,2024-12-31,OWA,2,0.169472,0.041755,0.204341,0.670375,32.9818,1581.4881,39.7679,0.00784
2025-03,2025-03-01,2025-04-30,43,2024-03-01,2025-02-28,OWA,2,0.249595,0.11804,0.34357,1.164273,47.707,4312.4527,65.6693,0.011239
2025-05,2025-05-01,2025-06-30,43,2024-05-01,2025-04-30,OWA,2,0.224167,0.069195,0.263049,11.277726,36.2822,1812.6575,42.5753,0.008726
2025-07,2025-07-01,2025-08-31,44,2024-07-01,2025-06-30,OWA,2,0.275898,0.129365,0.359673,0.319615,34.5111,2024.1291,44.9903,0.008507
2025-09,2025-09-01,2025-10-31,45,2024-09-01,2025-08-31,OWA,2,0.279616,0.108279,0.329058,0.112576,35.1511,1711.2008,41.3667,0.00904
2025-11,2025-11-01,2025-12-31,43,2024-11-01,2025-10-31,OWA,2,0.39258,0.223053,0.472285,0.177248,66.2056,6343.6708,79.6472,0.017554
