periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,operador,num_lags,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
2019-W01,2019-12-30,2020-01-12,10,2018-12-31,2019-12-29,OWA,2,0.16343,0.034931,0.186898,1.922315,20.7659,563.9585,23.7478,0.00636
2020-W03,2020-01-13,2020-01-26,10,2019-01-14,2020-01-12,OWA,2,0.101515,0.016355,0.127887,0.477357,12.7318,257.2612,16.0394,0.003818
2020-W05,2020-01-27,2020-02-09,10,2019-01-28,2020-01-26,OWA,2,0.246996,0.089747,0.299578,0.341542,30.2026,1341.9261,36.6323,0.00892
2020-W07,2020-02-10,2020-02-23,10,2019-02-11,2020-02-09,OWA,2,0.287814,0.146837,0.383194,0.375028,34.1294,2064.7585,45.4396,0.010041
2020-W09,2020-02-24,2020-03-08,10,2019-02-25,2020-02-23,OWA,2,0.501517,0.368769,0.607263,0.306797,57.5898,4862.661,69.7328,0.016393
2020-W11,2020-03-09,2020-03-22,10,2019-03-11,2020-03-08,OWA,2,1.033711,1.524648,1.234766,0.202439,115.5959,19065.8407,138.0791,0.029495
2020-W13,2020-03-23,2020-04-05,10,2019-03-25,2020-03-22,OWA,2,0.263357,0.1059,0.325423,0.063664,42.9739,2819.7897,53.1017,0.010645
2020-W15,2020-04-06,2020-04-19,10,2019-04-08,2020-04-05,OWA,2,0.344656,0.166557,0.408114,0.140027,70.8725,7042.8452,83.9217,0.018155
2020-W17,2020-04-20,2020-05-03,10,2019-04-22,2020-04-19,OWA,2,7.793654,61.443169,7.838569,2.981966,1721.5092,2997850.9377,1731.4303,0.429726
2020-W19,2020-05-04,2020-05-17,10,2019-05-06,2020-05-03,OWA,2,6.581517,44.684097,6.684616,3.396365,1601.0282,2644227.8487,1626.1082,0.40752
2020-W21,2020-05-18,2020-05-31,10,2019-05-20,2020-05-17,OWA,2,2.937723,8.885114,2.980791,2.707261,754.4518,586009.0085,765.5123,0.200373
2020-W23,2020-06-01,2020-06-14,10,2019-06-03,2020-05-31,OWA,2,8.918851,83.929047,9.16128,17.16902,2334.4304,5749847.4804,2397.884,0.638724
2020-W25,2020-06-15,2020-06-28,10,2019-06-17,2020-06-14,OWA,2,0.979384,0.97943,0.989661,1.119283,255.049,66422.3732,257.7254,0.068198
2020-W27,2020-06-29,2020-07-12,10,2019-07-01,2020-06-28,OWA,2,0.634358,0.41565,0.644709,1.296335,163.1308,27487.2387,165.7928,0.044434
2020-W29,2020-07-13,2020-07-26,10,2019-07-15,2020-07-12,OWA,2,0.125516,0.020652,0.143708,0.329624,31.397,1292.2288,35.9476,0.008603
2020-W31,2020-07-27,2020-08-09,10,2019-07-29,2020-07-26,OWA,2,0.950341,1.007911,1.003948,1.285313,228.4957,58266.5753,241.3847,0.060951
2020-W33,2020-08-10,2020-08-23,10,2019-08-12,2020-08-09,OWA,2,0.383052,0.173497,0.416529,0.442251,91.5858,9918.1698,99.59,0.024163
2020-W35,2020-08-24,2020-09-06,10,2019-08-26,2020-08-23,OWA,2,0.237494,0.077747,0.278832,0.488281,56.9871,4476.4319,66.9061,0.015227
2020-W37,2020-09-07,2020-09-20,10,2019-09-09,2020-09-06,OWA,2,0.073564,0.008107,0.090037,0.16324,17.6587,467.1242,21.6131,0.004751
2020-W39,2020-09-21,2020-10-04,10,2019-09-23,2020-09-20,OWA,2,0.193137,0.058926,0.242748,0.205643,45.6443,3291.1863,57.3689,0.011874
2020-W41,2020-10-05,2020-10-18,10,2019-10-07,2020-10-04,OWA,2,0.24705,0.076526,0.276633,0.292829,58.8114,4336.7344,65.8539,0.015333
2020-W43,2020-10-19,2020-11-01,10,2019-10-21,2020-10-18,OWA,2,0.168912,0.05585,0.236326,0.276114,40.2278,3167.7688,56.2829,0.010586
2020-W45,2020-11-02,2020-11-15,10,2019-11-04,2020-11-01,OWA,2,0.345884,0.154309,0.392821,1.948218,81.1405,8491.8752,92.1514,0.021855
2020-W47,2020-11-16,2020-11-29,10,2019-11-18,2020-11-15,OWA,2,0.115882,0.01798,0.134091,0.596994,26.3776,931.6197,30.5224,0.007264
2020-W49,2020-11-30,2020-12-13,10,2019-12-02,2020-11-29,OWA,2,0.267412,0.095519,0.309061,0.32479,59.7863,4774.5367,69.098,0.017158
2020-W51,2020-12-14,2020-12-27,10,2019-12-16,2020-12-13,OWA,2,0.163058,0.035667,0.188857,0.14283,36.0539,1743.7702,41.7585,0.010504
2020-W53,2020-12-28,2021-01-10,10,2019-12-30,2020-12-27,OWA,2,0.237204,0.082875,0.28788,0.20164,50.7787,3797.8851,61.627,0.014764
2021-W02,2021-01-11,2021-01-24,10,2020-01-13,2021-01-10,OWA,2,0.144431,0.028113,0.167671,0.132975,29.2636,1154.1238,33.9724,0.008413
2021-W04,2021-01-25,2021-02-07,10,2020-01-27,2021-01-24,OWA,2,0.244759,0.096234,0.310216,0.344041,47.3554,3602.3832,60.0199,0.013287
2021-W06,2021-02-08,2021-02-21,10,2020-02-10,2021-02-07,OWA,2,0.127327,0.035039,0.187187,0.125382,23.5956,1203.3016,34.6886,0.006698
2021-W08,2021-02-22,2021-03-07,10,2020-02-24,2021-02-21,OWA,2,0.162347,0.032039,0.178993,0.289156,28.9177,1016.5056,31.8827,0.008007
2021-W10,2021-03-08,2021-03-21,10,2020-03-09,2021-03-07,OWA,2,0.197038,0.053849,0.232054,0.238052,34.112,1613.9641,40.1742,0.00954
2021-W12,2021-03-22,2021-04-04,10,2020-03-23,2021-03-21,OWA,2,0.223232,0.066403,0.257688,2.569549,37.0646,1830.5975,42.7855,0.010142
2021-W14,2021-04-05,2021-04-18,10,2020-04-06,2021-04-04,OWA,2,0.18483,0.050201,0.224056,0.657164,27.9662,1149.3052,33.9014,0.007685
2021-W16,2021-04-19,2021-05-02,10,2020-04-20,2021-04-18,OWA,2,0.168509,0.051785,0.227564,0.684107,24.4706,1092.0621,33.0464,0.006641
2021-W18,2021-05-03,2021-05-16,10,2020-05-04,2021-05-02,OWA,2,0.393909,0.226173,0.475577,0.636942,51.2694,3831.4813,61.899,0.013581
2021-W20,2021-05-17,2021-05-30,10,2020-05-18,2021-05-16,OWA,2,0.264135,0.092485,0.304114,2.264933,32.1706,1371.9603,37.04,0.008668
2021-W22,2021-05-31,2021-06-13,10,2020-06-01,2021-05-30,OWA,2,0.268841,0.10863,0.329591,2.004869,32.2724,1565.3876,39.565,0.008889
2021-W24,2021-06-14,2021-06-27,10,2020-06-15,2021-06-13,OWA,2,0.360833,0.166619,0.40819,2.16692,43.1845,2386.5278,48.8521,0.011602
2021-W26,2021-06-28,2021-07-11,10,2020-06-29,2021-06-27,OWA,2,0.348713,0.174285,0.417474,0.414588,41.7393,2496.9673,49.9697,0.011036
2021-W28,2021-07-12,2021-07-25,10,2020-07-13,2021-07-11,OWA,2,0.197397,0.058741,0.242365,0.141957,24.0435,871.4763,29.5208,0.006266
2021-W30,2021-07-26,2021-08-08,10,2020-07-27,2021-07-25,OWA,2,0.328977,0.148423,0.385257,0.19024,41.5042,2362.4038,48.6046,0.010653
2021-W32,2021-08-09,2021-08-22,10,2020-08-10,2021-08-08,OWA,2,0.355859,0.206603,0.454536,0.226041,47.3712,3661.0774,60.5068,0.012148
2021-W34,2021-08-23,2021-09-05,10,2020-08-24,2021-08-22,OWA,2,0.209326,0.065574,0.256074,0.259787,28.9824,1257.0518,35.4549,0.007625
2021-W36,2021-09-06,2021-09-19,10,2020-09-07,2021-09-05,OWA,2,0.139338,0.026634,0.1632,0.133956,19.493,521.2618,22.8312,0.005088
2021-W38,2021-09-20,2021-10-03,10,2020-09-21,2021-09-19,OWA,2,0.121811,0.026739,0.163519,0.136672,17.3546,542.739,23.2968,0.004545
2021-W40,2021-10-04,2021-10-17,10,2020-10-05,2021-10-03,OWA,2,0.146362,0.032756,0.180986,0.334413,20.72,656.4613,25.6215,0.005511
2021-W42,2021-10-18,2021-10-31,10,2020-10-19,2021-10-17,OWA,2,0.066573,0.005699,0.075489,0.110006,9.2744,110.5951,10.5164,0.00246
