periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,operador,num_lags,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
2019-W01,2019-12-30,2020-01-05,5,2018-12-31,2019-12-29,OWA,1,0.415207,0.199798,0.446987,5.59361,52.7574,3225.7263,56.7955,0.016144
2020-W02,2020-01-06,2020-01-12,5,2019-01-07,2020-01-05,OWA,1,0.222121,0.063589,0.252169,1.45395,28.13,1019.8668,31.9354,0.008633
2020-W03,2020-01-13,2020-01-19,5,2019-01-14,2020-01-12,OWA,1,0.063849,0.006387,0.079916,1.974002,8.0079,100.4586,10.0229,0.002438
2020-W04,2020-01-20,2020-01-26,5,2019-01-21,2020-01-19,OWA,1,0.189505,0.045819,0.214054,0.41587,23.4254,700.134,26.46,0.006995
2020-W05,2020-01-27,2020-02-02,5,2019-01-28,2020-01-26,OWA,1,0.100075,0.01228,0.110815,0.115216,12.2372,183.6137,13.5504,0.003599
2020-W06,2020-02-03,2020-02-09,5,2019-02-04,2020-02-02,OWA,1,0.610657,0.402215,0.634205,0.955124,73.9602,5900.1047,76.8121,0.021889
2020-W07,2020-02-10,2020-02-16,5,2019-02-11,2020-02-09,OWA,1,0.583811,0.439743,0.663131,0.797818,69.2291,6183.4579,78.635,0.020406
2020-W08,2020-02-17,2020-02-23,5,2019-02-18,2020-02-16,OWA,1,0.334231,0.160909,0.401134,0.47442,39.168,2209.7859,47.0084,0.011549
2020-W09,2020-02-24,2020-03-01,5,2019-02-25,2020-02-23,OWA,1,0.607099,0.442524,0.665225,0.442086,69.714,5835.2181,76.3886,0.020033
2020-W10,2020-03-02,2020-03-08,5,2019-03-04,2020-03-01,OWA,1,1.008357,1.094554,1.046209,0.659992,113.2456,13805.4592,117.4966,0.032357
2020-W11,2020-03-09,2020-03-15,5,2019-03-11,2020-03-08,OWA,1,1.998944,4.229297,2.056525,0.403609,223.5341,52887.6946,229.9732,0.057443
2020-W12,2020-03-16,2020-03-22,5,2019-03-18,2020-03-15,OWA,1,0.262576,0.095738,0.309415,0.047369,34.784,1680.0891,40.9889,0.008531
2020-W13,2020-03-23,2020-03-29,5,2019-03-25,2020-03-22,OWA,1,1.010594,1.293733,1.137424,0.243325,164.9063,34448.1209,185.602,0.040813
2020-W14,2020-03-30,2020-04-05,5,2019-04-01,2020-03-29,OWA,1,1.123628,1.449441,1.203927,0.31629,210.3875,50815.4224,225.4228,0.05203
2020-W15,2020-04-06,2020-04-12,5,2019-04-08,2020-04-05,OWA,1,1.983062,4.137119,2.033991,0.797846,407.7827,174937.4502,418.2552,0.104357
2020-W16,2020-04-13,2020-04-19,5,2019-04-15,2020-04-12,OWA,1,2.573703,6.662672,2.581215,1.13491,549.9739,304239.6932,551.5793,0.141106
2020-W17,2020-04-20,2020-04-26,5,2019-04-22,2020-04-19,OWA,1,2.976754,14.040861,3.747114,1.115923,657.5232,685062.4257,827.685,0.163738
2020-W18,2020-04-27,2020-05-03,5,2019-04-29,2020-04-26,OWA,1,8.409349,93.904099,9.690413,3.803217,1961.9151,5111168.0267,2260.7892,0.495387
2020-W19,2020-05-04,2020-05-10,5,2019-05-06,2020-05-03,OWA,1,2.856297,11.416231,3.378791,1.419498,694.8264,675567.3241,821.929,0.17601
2020-W20,2020-05-11,2020-05-17,5,2019-05-13,2020-05-10,OWA,1,1.831264,3.531365,1.879193,1.044,459.5165,222352.9075,471.5431,0.117555
2020-W21,2020-05-18,2020-05-24,5,2019-05-20,2020-05-17,OWA,1,32.05785,2035.848267,45.120377,26.951996,8232.9411,134272389.4261,11587.5964,2.174183
2020-W22,2020-05-25,2020-05-31,5,2019-05-27,2020-05-24,OWA,1,179.300888,85342.460938,292.134308,197.870026,46643.227,5775338499.7908,75995.6479,12.520033
2020-W23,2020-06-01,2020-06-07,5,2019-06-03,2020-05-31,OWA,1,2.109597,4.538418,2.130356,5.036505,552.1685,310919.8533,557.6019,0.152618
2020-W24,2020-06-08,2020-06-14,5,2019-06-10,2020-06-07,OWA,1,0.44298,0.205775,0.453625,0.649693,115.6286,14020.2269,118.407,0.03125
2020-W25,2020-06-15,2020-06-21,5,2019-06-17,2020-06-14,OWA,1,0.825185,0.745823,0.863611,0.89621,214.8928,50579.81,224.8996,0.057296
2020-W26,2020-06-22,2020-06-28,5,2019-06-24,2020-06-21,OWA,1,0.701767,0.529094,0.727388,0.877583,182.1811,35657.7196,188.8325,0.04885
2020-W27,2020-06-29,2020-07-05,5,2019-07-01,2020-06-28,OWA,1,0.760655,0.712494,0.844094,1.403838,195.6092,47117.7325,217.0662,0.053147
2020-W28,2020-07-06,2020-07-12,5,2019-07-08,2020-07-05,OWA,1,0.442175,0.214142,0.462755,1.290837,112.4022,13837.7053,117.6338,0.030982
2020-W29,2020-07-13,2020-07-19,5,2019-07-15,2020-07-12,OWA,1,0.208199,0.045824,0.214066,0.623674,52.0797,2867.2948,53.5471,0.014333
2020-W30,2020-07-20,2020-07-26,5,2019-07-22,2020-07-19,OWA,1,0.097456,0.014175,0.119059,0.301598,23.8912,851.8863,29.1871,0.006564
2020-W31,2020-07-27,2020-08-02,5,2019-07-29,2020-07-26,OWA,1,0.130343,0.020029,0.141525,0.204314,31.339,1157.8862,34.0277,0.008423
2020-W32,2020-08-03,2020-08-09,5,2019-08-05,2020-08-02,OWA,1,0.245819,0.06374,0.252468,0.298598,58.6753,3631.5799,60.2626,0.015562
2020-W33,2020-08-10,2020-08-16,5,2019-08-12,2020-08-09,OWA,1,0.08668,0.011661,0.107986,0.106911,20.7248,666.6176,25.8189,0.005489
2020-W34,2020-08-17,2020-08-23,5,2019-08-19,2020-08-16,OWA,1,0.080434,0.010986,0.104816,0.094868,19.274,630.835,25.1164,0.005079
2020-W35,2020-08-24,2020-08-30,5,2019-08-26,2020-08-23,OWA,1,0.255844,0.133299,0.365102,0.34347,61.3901,7674.9552,87.6068,0.01624
2020-W36,2020-08-31,2020-09-06,5,2019-09-02,2020-08-30,OWA,1,0.252744,0.080594,0.283891,0.819154,60.977,4691.0781,68.4914,0.016563
2020-W37,2020-09-07,2020-09-13,5,2019-09-09,2020-09-06,OWA,1,0.131931,0.025805,0.160638,0.304027,31.6696,1486.9193,38.5606,0.008535
2020-W38,2020-09-14,2020-09-20,5,2019-09-16,2020-09-13,OWA,1,0.076701,0.008172,0.090397,0.219319,18.2672,463.5057,21.5292,0.00494
2020-W39,2020-09-21,2020-09-27,5,2019-09-23,2020-09-20,OWA,1,0.467436,0.241758,0.491689,0.487804,110.4697,13502.7884,116.2015,0.028692
