periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,operador,num_lags,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
2020-01,2020-01-01,2020-02-29,43,2019-01-01,2019-12-31,OWA,1,0.344535,0.151915,0.389763,1.57367,43.6099,2433.907,49.3346,0.013038
2020-03,2020-03-01,2020-04-30,44,2019-03-01,2020-02-29,OWA,1,1.60299,3.146341,1.773793,0.31691,181.0499,40136.6179,200.3413,0.04549
2020-05,2020-05-01,2020-06-30,43,2019-05-01,2020-04-30,OWA,1,3.381277,12.072957,3.474616,2.949929,816.4497,703899.8827,838.9874,0.216992
2020-07,2020-07-01,2020-08-31,44,2019-07-01,2020-06-30,OWA,1,0.831894,0.763855,0.873988,1.529121,213.7237,50417.3665,224.5381,0.057814
2020-09,2020-09-01,2020-10-31,44,2019-09-01,2020-08-31,OWA,1,0.180524,0.053994,0.232366,0.357913,43.4977,3134.7883,55.9892,0.011602
2020-11,2020-11-01,2020-12-31,44,2019-11-01,2020-10-31,OWA,1,2.048837,4.741671,2.177538,7.201729,481.6397,262036.0798,511.8946,0.136897
2021-01,2021-01-01,2021-02-28,41,2020-01-01,2020-12-31,OWA,1,0.44738,0.228002,0.477495,0.595883,94.9459,10269.2271,101.3372,0.02698
2021-03,2021-03-01,2021-04-30,45,2020-03-01,2021-02-28,OWA,1,0.364942,0.199667,0.446841,1.204946,64.0055,6141.7511,78.3693,0.017763
2021-05,2021-05-01,2021-06-30,43,2020-05-01,2021-04-30,OWA,1,0.417129,0.244801,0.494773,1.396858,54.6438,4200.9997,64.8151,0.01469
2021-07,2021-07-01,2021-08-31,44,2020-07-01,2021-06-30,OWA,1,1.061391,1.362972,1.167464,0.598579,126.8823,19477.7342,139.5627,0.032683
2021-09,2021-09-01,2021-10-31,43,2020-09-01,2021-08-31,OWA,1,0.244847,0.072454,0.269172,0.338437,34.0826,1403.9003,37.4687,0.00897
2021-11,2021-11-01,2021-12-31,45,2020-11-01,2021-10-31,OWA,1,1.052606,1.314647,1.14658,0.524915,144.9933,24944.3772,157.9379,0.036494
2022-01,2022-01-01,2022-02-28,41,2021-01-01,2021-12-31,OWA,1,0.999958,1.130354,1.063181,0.744941,149.7431,25348.0882,159.2108,0.037883
2022-03,2022-03-01,2022-04-30,44,2021-03-01,2022-02-28,OWA,1,1.052202,1.283535,1.132932,30.585451,138.3737,22198.1171,148.9903,0.036687
2022-05,2022-05-01,2022-06-30,44,2021-05-01,2022-04-30,OWA,1,0.989542,1.401448,1.183828,1.048671,104.701,15689.5258,125.2578,0.026073
2022-07,2022-07-01,2022-08-31,44,2021-07-01,2022-06-30,OWA,1,2.562463,7.479836,2.734929,0.544076,264.3119,79581.1798,282.1014,0.060176
2022-09,2022-09-01,2022-10-31,43,2021-09-01,2022-08-31,OWA,1,0.848271,1.369007,1.170046,0.234824,172.4344,56569.6993,237.8439,0.036257
2022-11,2022-11-01,2022-12-31,44,2021-11-01,2022-10-31,OWA,1,0.585427,0.415016,0.644217,0.242983,172.5287,36044.6906,189.8544,0.03577
2023-01,2023-01-01,2023-02-28,42,2022-01-01,2022-12-31,OWA,1,0.337494,0.178576,0.422583,0.352663,132.9366,27706.3951,166.4524,0.02848
2023-03,2023-03-01,2023-04-30,43,2022-03-01,2023-02-28,OWA,1,0.307243,0.141854,0.376636,1.323251,125.5947,23704.0717,153.9613,0.027554
2023-05,2023-05-01,2023-06-30,45,2022-05-01,2023-04-30,OWA,1,0.25997,0.094912,0.308077,11.213059,83.0602,9688.5751,98.4306,0.01906
2023-07,2023-07-01,2023-08-31,44,2022-07-01,2023-06-30,OWA,1,2.507298,8.644308,2.94012,1.140241,589.6522,478090.5801,691.4409,0.14495
2023-09,2023-09-01,2023-10-31,43,2022-09-01,2023-08-31,OWA,1,1.347748,2.605228,1.614072,1.21875,406.0412,236465.7814,486.2775,0.097089
2023-11,2023-11-01,2023-12-31,43,2022-11-01,2023-10-31,OWA,1,0.366752,0.173257,0.416241,0.243292,122.534,19340.1163,139.0687,0.031001
2024-01,2024-01-01,2024-02-29,44,2023-01-01,2023-12-31,OWA,1,1.687233,3.170667,1.780637,1.373321,537.0297,321215.9086,566.7591,0.136721
2024-03,2024-03-01,2024-04-30,43,2023-03-01,2024-02-29,OWA,1,0.32753,0.169277,0.411433,0.322565,89.7425,12708.4371,112.7317,0.023006
2024-05,2024-05-01,2024-06-30,43,2023-05-01,2024-04-30,OWA,1,0.507217,0.311492,0.558114,0.785772,96.3868,11248.4645,106.0588,0.024334
2024-07,2024-07-01,2024-08-31,45,2023-07-01,2024-06-30,OWA,1,1.427052,2.308315,1.519314,5.527036,166.1547,31292.5301,176.8969,0.041184
2024-09,2024-09-01,2024-10-31,44,2023-09-01,2024-08-31,OWA,1,1.207892,1.801928,1.342359,0.600123,136.5132,23016.0106,151.7103,0.032294
2024-11,2024-11-01,2024-12-31,43,2023-11-01,2024-10-31,OWA,1,2.539837,8.764461,2.960483,0.908575,340.7133,157721.7582,397.142,0.077697
2025-01,2025-01-01,2025-02-28,43,2024-01-01,2024-12-31,OWA,1,0.753973,0.71586,0.846085,5.184843,146.7345,27113.2639,164.6611,0.035233
2025-03,2025-03-01,2025-04-30,43,2024-03-01,2025-02-28,OWA,1,0.322061,0.151666,0.389443,2.685747,61.5581,5540.9115,74.4373,0.014532
2025-05,2025-05-01,2025-06-30,43,2024-05-01,2025-04-30,OWA,1,0.888271,1.008218,1.004101,187.692673,143.7696,26411.7805,162.517,0.034871
2025-07,2025-07-01,2025-08-31,44,2024-07-01,2025-06-30,OWA,1,0.633465,0.453036,0.673079,0.571095,79.238,7088.4943,84.1932,0.019647
2025-09,2025-09-01,2025-10-31,45,2024-09-01,2025-08-31,OWA,1,1.663077,3.104243,1.761886,0.651766,209.0691,49058.0785,221.4906,0.053823
2025-11,2025-11-01,2025-12-31,43,2024-11-01,2025-10-31,OWA,1,0.995521,1.099558,1.048598,0.451179,167.8867,31271.6122,176.8378,0.044497
