periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,operador,num_lags,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
2019-W01,2019-12-30,2020-01-12,10,2018-12-31,2019-12-29,OWA,1,0.587716,0.393922,0.627632,5.700074,74.6769,6359.86,79.7487,0.022883
2020-W03,2020-01-13,2020-01-26,10,2019-01-14,2020-01-12,OWA,1,0.094652,0.014379,0.11991,1.124885,11.8711,226.1717,15.039,0.00357
2020-W05,2020-01-27,2020-02-09,10,2019-01-28,2020-01-26,OWA,1,0.389012,0.249804,0.499804,0.556185,47.5683,3735.1438,61.1158,0.014066
2020-W07,2020-02-10,2020-02-23,10,2019-02-11,2020-02-09,OWA,1,0.910285,1.007868,1.003926,1.202144,107.9428,14172.1736,119.0469,0.031802
2020-W09,2020-02-24,2020-03-08,10,2019-02-25,2020-02-23,OWA,1,0.712518,0.619276,0.786941,0.452319,81.8193,8165.9021,90.3654,0.023335
2020-W11,2020-03-09,2020-03-22,10,2019-03-11,2020-03-08,OWA,1,2.611472,7.343104,2.709816,0.440397,292.0307,91826.096,303.0282,0.072857
2020-W13,2020-03-23,2020-04-05,10,2019-03-25,2020-03-22,OWA,1,1.384165,2.211597,1.487144,0.330765,225.8646,58888.0187,242.6685,0.055843
2020-W15,2020-04-06,2020-04-19,10,2019-04-08,2020-04-05,OWA,1,2.179947,4.90561,2.214861,0.889356,448.2685,207432.9549,455.4481,0.114909
2020-W17,2020-04-20,2020-05-03,10,2019-04-22,2020-04-19,OWA,1,2.646686,11.013689,3.318688,1.022536,584.6159,537364.8096,733.0517,0.146156
2020-W19,2020-05-04,2020-05-17,10,2019-05-06,2020-05-03,OWA,1,2.609418,9.1689,3.028019,1.343702,634.7702,542579.2244,736.5998,0.161501
2020-W21,2020-05-18,2020-05-31,10,2019-05-20,2020-05-17,OWA,1,885.199097,2981267.5,1726.634766,929.688782,227332.5522,196626587087.9769,443425.9657,61.014582
2020-W23,2020-06-01,2020-06-14,10,2019-06-03,2020-05-31,OWA,1,2.00304,4.100878,2.025063,3.97016,524.2781,280944.7412,530.0422,0.143609
