periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
1993-W01,1993-01-04,1993-01-10,5,2.97998,8.880283,2.97998,1.0,2.98,8.8803,2.98,0.004038
1993-W02,1993-01-11,1993-01-17,5,6.668645,56.245689,7.499712,0.758876,7.406,69.3719,8.329,0.00991
1993-W03,1993-01-18,1993-01-24,5,0.35132,0.2144,0.463033,0.200073,1.676,4.8793,2.2089,0.002236
1993-W04,1993-01-25,1993-01-31,5,0.499561,0.360459,0.600382,1.01333,2.62,9.9147,3.1488,0.003511
1993-W05,1993-02-01,1993-02-07,5,0.026123,0.003412,0.058413,0.087301,0.13,0.0845,0.2907,0.000174
1993-W06,1993-02-08,1993-02-14,5,0.06503,0.005374,0.073311,0.314164,0.292,0.1083,0.3292,0.000392
1993-W07,1993-02-15,1993-02-21,5,0.680045,0.462476,0.680056,0.793736,2.808,7.885,2.808,0.003753
1993-W08,1993-02-22,1993-02-28,5,2.124193,6.536035,2.556567,0.599835,8.544,105.7428,10.2831,0.011234
1993-W09,1993-03-01,1993-03-07,5,0.243935,0.14876,0.385694,0.086321,1.392,4.8441,2.2009,0.001825
1993-W10,1993-03-08,1993-03-14,5,0.105187,0.01844,0.135795,0.046272,0.732,0.8931,0.945,0.000958
1993-W11,1993-03-15,1993-03-21,5,0.055282,0.01528,0.123614,0.026849,0.444,0.9857,0.9928,0.00058
1993-W12,1993-03-22,1993-03-28,5,0.09579,0.013039,0.114188,0.051141,0.838,0.9979,0.9989,0.001092
1993-W13,1993-03-29,1993-04-04,5,0.096091,0.012557,0.112056,0.062633,0.91,1.1261,1.0612,0.001187
1993-W14,1993-04-05,1993-04-11,5,0.044767,0.002097,0.045794,0.029404,0.444,0.2063,0.4542,0.000578
1993-W15,1993-04-12,1993-04-18,5,0.091928,0.01052,0.102569,0.061994,0.948,1.1188,1.0577,0.001232
1993-W16,1993-04-19,1993-04-25,5,0.399834,0.163224,0.40401,0.227248,4.256,18.4939,4.3005,0.005498
1993-W17,1993-04-26,1993-05-02,5,0.041432,0.003164,0.056249,0.026319,0.466,0.4002,0.6326,0.000602
1993-W18,1993-05-03,1993-05-09,5,0.169484,0.036241,0.190371,0.101969,1.986,4.9763,2.2308,0.002555
1993-W19,1993-05-10,1993-05-16,5,0.111475,0.018399,0.135643,0.064567,1.358,2.7304,1.6524,0.001742
1993-W20,1993-05-17,1993-05-23,5,0.058509,0.004412,0.066421,0.033633,0.742,0.7096,0.8424,0.000949
1993-W21,1993-05-24,1993-05-30,5,0.061775,0.005902,0.076822,0.036634,0.818,1.0348,1.0172,0.001045
1993-W22,1993-05-31,1993-06-06,5,0.2716,0.093392,0.305601,0.224639,3.73,17.6145,4.197,0.004792
1993-W23,1993-06-07,1993-06-13,5,0.361769,0.170553,0.41298,0.228659,5.034,33.0233,5.7466,0.006415
1993-W24,1993-06-14,1993-06-20,5,0.051233,0.004536,0.067349,0.031778,0.73,0.921,0.9597,0.000928
1993-W25,1993-06-21,1993-06-27,5,0.040785,0.002271,0.047655,0.026876,0.598,0.4882,0.6987,0.00076
1993-W26,1993-06-28,1993-07-04,5,0.028358,0.001092,0.033049,0.019715,0.426,0.2465,0.4965,0.000541
1993-W27,1993-07-05,1993-07-11,5,0.135786,0.027647,0.166274,0.085024,2.078,6.4748,2.5446,0.002628
1993-W28,1993-07-12,1993-07-18,5,0.241682,0.067205,0.259239,0.130344,3.784,16.4746,4.0589,0.004753
1993-W29,1993-07-19,1993-07-25,5,0.031122,0.001365,0.03695,0.017003,0.506,0.3609,0.6007,0.000634
1993-W30,1993-07-26,1993-08-01,5,0.09788,0.011684,0.108092,0.052983,1.65,3.3203,1.8222,0.002062
1993-W31,1993-08-02,1993-08-08,5,0.027707,0.00128,0.03578,0.015218,0.484,0.3907,0.625,0.000604
1993-W32,1993-08-09,1993-08-15,5,0.083836,0.011246,0.106049,0.04559,1.514,3.6678,1.9151,0.001882
1993-W33,1993-08-16,1993-08-22,5,0.026825,0.001249,0.035343,0.014895,0.5,0.434,0.6588,0.000621
1993-W34,1993-08-23,1993-08-29,5,0.061422,0.004182,0.064671,0.034299,1.18,1.5435,1.2424,0.001461
1993-W35,1993-08-30,1993-09-05,5,0.023548,0.000717,0.026769,0.014021,0.466,0.2806,0.5297,0.000577
1993-W36,1993-09-06,1993-09-12,5,0.032347,0.001541,0.039258,0.019412,0.656,0.6339,0.7962,0.000811
1993-W37,1993-09-13,1993-09-19,5,0.083446,0.009771,0.09885,0.048788,1.73,4.2,2.0494,0.002132
1993-W38,1993-09-20,1993-09-26,5,0.068359,0.005287,0.072712,0.043384,1.45,2.3788,1.5423,0.001789
1993-W39,1993-09-27,1993-10-03,5,0.028321,0.000982,0.031332,0.019027,0.612,0.4584,0.6771,0.000756
1993-W40,1993-10-04,1993-10-10,5,0.173318,0.037442,0.193499,0.129697,3.802,18.0177,4.2447,0.004703
1993-W41,1993-10-11,1993-10-17,5,0.18164,0.041776,0.204392,0.100931,4.034,20.6051,4.5393,0.004924
1993-W42,1993-10-18,1993-10-24,5,0.137192,0.019196,0.138549,0.085868,3.12,9.9281,3.1509,0.003821
1993-W43,1993-10-25,1993-10-31,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-W44,1993-11-01,1993-11-07,5,0.01447,0.000509,0.022563,0.009529,0.34,0.2811,0.5302,0.000416
1993-W45,1993-11-08,1993-11-14,5,0.160431,0.033957,0.184273,0.132407,3.82,19.2517,4.3877,0.004706
1993-W46,1993-11-15,1993-11-21,5,0.155154,0.040181,0.200452,0.113984,3.718,23.0735,4.8035,0.004556
1993-W47,1993-11-22,1993-11-28,5,0.123687,0.02275,0.150829,0.106125,2.982,13.2233,3.6364,0.003671
1993-W48,1993-11-29,1993-12-05,5,0.026567,0.002044,0.045211,0.02532,0.644,1.2011,1.0959,0.000795
1993-W49,1993-12-06,1993-12-12,5,0.299304,0.101811,0.319078,0.462212,7.27,60.0676,7.7503,0.009072
1993-W50,1993-12-13,1993-12-19,5,0.074322,0.014645,0.121015,0.107221,1.796,8.5519,2.9244,0.002237
1993-W51,1993-12-20,1993-12-26,5,0.091976,0.00963,0.098132,0.131477,2.208,5.5496,2.3558,0.00275
