periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_ref_ini,fecha_ref_fin,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
1993-W52,1993-12-27,1994-01-02,5,1992-12-28,1993-12-26,0.090483,0.021871,0.147887,0.106014,2.162,12.4863,3.5336,0.002678
1994-W01,1994-01-03,1994-01-09,5,1993-01-04,1994-01-02,0.212916,0.077801,0.278928,0.21294,5.028,43.3866,6.5868,0.0062
1994-W02,1994-01-10,1994-01-16,5,1993-01-11,1994-01-09,0.209112,0.044103,0.210006,0.154138,4.762,22.8709,4.7824,0.005814
1994-W03,1994-01-17,1994-01-23,5,1993-01-18,1994-01-16,0.143267,0.026189,0.161829,0.122371,3.202,13.0816,3.6169,0.003925
1994-W04,1994-01-24,1994-01-30,5,1993-01-25,1994-01-23,0.146816,0.031968,0.178796,0.11355,3.214,15.3202,3.9141,0.003923
1994-W05,1994-01-31,1994-02-06,5,1993-02-01,1994-01-30,0.16471,0.028425,0.168598,0.137141,3.514,12.9382,3.597,0.004297
1994-W06,1994-02-07,1994-02-13,5,1993-02-08,1994-02-06,0.006607,7e-05,0.008392,0.005595,0.136,0.0298,0.1727,0.000166
1994-W07,1994-02-14,1994-02-20,5,1993-02-15,1994-02-13,0.052254,0.005448,0.073808,0.049495,1.03,2.1166,1.4548,0.001263
1994-W08,1994-02-21,1994-02-27,5,1993-02-22,1994-02-20,0.160643,0.035543,0.188528,0.132992,3.022,12.5781,3.5466,0.003689
1994-W09,1994-02-28,1994-03-06,5,1993-03-01,1994-02-27,0.018146,0.000714,0.026729,0.015188,0.33,0.2363,0.4861,0.000403
1994-W10,1994-03-07,1994-03-13,5,1993-03-08,1994-03-06,0.034273,0.001419,0.03767,0.031316,0.606,0.4436,0.6661,0.000741
1994-W11,1994-03-14,1994-03-20,5,1993-03-15,1994-03-13,0.056475,0.006781,0.082348,0.04655,0.97,2.0004,1.4144,0.001182
1994-W12,1994-03-21,1994-03-27,5,1993-03-22,1994-03-20,0.035426,0.001665,0.040808,0.028141,0.59,0.4619,0.6797,0.000718
1994-W13,1994-03-28,1994-04-03,5,1993-03-29,1994-03-27,0.054174,0.003044,0.055172,0.046175,0.878,0.7995,0.8942,0.00107
1994-W14,1994-04-04,1994-04-10,5,1993-04-05,1994-04-03,0.050172,0.004227,0.065015,0.043183,0.786,1.0374,1.0185,0.000957
1994-W15,1994-04-11,1994-04-17,5,1993-04-12,1994-04-10,0.363504,0.14146,0.376112,0.223347,5.488,32.2437,5.6784,0.006624
1994-W16,1994-04-18,1994-04-24,5,1993-04-19,1994-04-17,0.159196,0.049698,0.222932,0.085331,2.336,10.7009,3.2712,0.002806
1994-W17,1994-04-25,1994-05-01,5,1993-04-26,1994-04-24,0.203819,0.046897,0.216556,0.093106,2.94,9.7579,3.1238,0.00351
1994-W18,1994-05-02,1994-05-08,5,1993-05-03,1994-05-01,0.086968,0.010874,0.104278,0.039355,1.25,2.2464,1.4988,0.00149
1994-W19,1994-05-09,1994-05-15,5,1993-05-10,1994-05-08,0.025237,0.001047,0.032351,0.010945,0.362,0.2153,0.464,0.00043
1994-W20,1994-05-16,1994-05-22,5,1993-05-17,1994-05-15,0.057535,0.004318,0.065711,0.024862,0.83,0.8986,0.948,0.000985
1994-W21,1994-05-23,1994-05-29,5,1993-05-24,1994-05-22,0.022628,0.000687,0.026213,0.010417,0.33,0.1462,0.3823,0.000392
1994-W22,1994-05-30,1994-06-05,5,1993-05-31,1994-05-29,0.048756,0.003696,0.060793,0.024554,0.716,0.797,0.8927,0.000851
1994-W23,1994-06-06,1994-06-12,5,1993-06-07,1994-06-05,0.17695,0.05536,0.235286,0.108878,2.568,11.6595,3.4146,0.003068
1994-W24,1994-06-13,1994-06-19,5,1993-06-14,1994-06-12,0.123806,0.021974,0.148235,0.097589,1.772,4.5015,2.1217,0.002129
1994-W25,1994-06-20,1994-06-26,5,1993-06-21,1994-06-19,0.376185,0.163127,0.40389,0.54153,5.264,31.9418,5.6517,0.006379
