periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
1995,1995-01-01,1996-12-31,522,5.316291,36.060471,6.005037,0.788714,143.3153,26205.8828,161.8823,0.141735
1997,1997-01-01,1998-12-31,522,2.746018,10.375557,3.221111,0.627388,278.1758,106473.8828,326.3034,0.202548
1999,1999-01-01,2000-12-31,521,1.66741,3.687384,1.920256,0.374503,376.1087,187611.9062,433.1419,0.18451
2001,2001-01-01,2002-12-31,522,0.375084,0.324319,0.56949,0.125841,168.914,65773.0,256.4625,0.064781
2003,2003-01-01,2004-12-31,523,0.228571,0.092477,0.304101,0.125251,141.6678,35525.1367,188.4811,0.054053
2005,2005-01-01,2006-12-31,519,0.081609,0.011051,0.105123,0.092042,60.4553,6064.4844,77.8748,0.025607
2007,2007-01-01,2008-12-31,513,0.322909,0.150802,0.388333,13.807883,233.5208,78867.6016,280.8338,0.123012
2009,2009-01-01,2010-12-31,518,0.403716,0.190499,0.436462,640.102234,276.374,89276.4141,298.7916,0.141279
2011,2011-01-01,2012-12-31,496,0.138988,0.024137,0.15536,3.253066,90.6704,10271.9922,101.3508,0.050504
2013,2013-01-01,2014-12-31,482,0.277932,0.114468,0.338332,3.443312,172.4734,44081.2656,209.9554,0.085942
2015,2015-01-01,2016-12-31,502,0.88591,0.998026,0.999012,0.452356,527.3157,353593.25,594.6371,0.173816
2017,2017-01-01,2018-12-31,477,0.154115,0.034906,0.186831,0.099674,99.3545,14507.2051,120.4459,0.033799
2019,2019-01-01,2020-12-31,495,0.408321,0.277931,0.527192,0.167852,275.9065,126899.1875,356.2291,0.075112
2021,2021-01-01,2022-12-31,496,0.764898,0.852845,0.923496,0.277889,578.1919,487311.7188,698.0771,0.136719
2023,2023-01-01,2024-12-31,485,0.754335,0.672916,0.820314,0.361569,659.3445,514110.9062,717.0153,0.162249
