periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_ref_ini,fecha_ref_fin,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
1997,1997-01-01,1998-12-31,522,1993-01-01,1996-12-31,2.746018,10.375557,3.221111,0.627388,278.1758,106473.8828,326.3034,0.202548
1999,1999-01-01,2000-12-31,521,1995-01-01,1998-12-31,1.851629,4.547175,2.132411,0.420991,376.1087,187611.9062,433.1419,0.18451
2001,2001-01-01,2002-12-31,522,1997-01-01,2000-12-31,0.450009,0.46683,0.68325,0.173959,168.914,65773.0,256.4625,0.064781
2003,2003-01-01,2004-12-31,523,1999-01-01,2002-12-31,0.448588,0.356196,0.596821,0.345443,141.6678,35525.1367,188.4811,0.054053
2005,2005-01-01,2006-12-31,519,2001-01-01,2004-12-31,0.247554,0.101687,0.318884,1.659835,60.4553,6064.4844,77.8748,0.025607
2007,2007-01-01,2008-12-31,513,2003-01-01,2006-12-31,0.986194,1.406604,1.186003,0.399848,233.5208,78867.6016,280.8338,0.123012
2009,2009-01-01,2010-12-31,518,2005-01-01,2008-12-31,1.318158,2.030849,1.425078,1.252853,276.374,89276.4141,298.7916,0.141279
2011,2011-01-01,2012-12-31,496,2007-01-01,2010-12-31,0.480359,0.288308,0.536943,0.41675,90.6704,10271.9922,101.3508,0.050504
2013,2013-01-01,2014-12-31,482,2009-01-01,2012-12-31,0.965383,1.381049,1.175181,19.48291,172.4734,44081.2656,209.9554,0.085942
2015,2015-01-01,2016-12-31,502,2011-01-01,2014-12-31,4.869032,30.147251,5.490651,0.466407,527.3157,353593.25,594.6371,0.173816
2017,2017-01-01,2018-12-31,477,2013-01-01,2016-12-31,0.187751,0.051805,0.227608,0.206722,99.3545,14507.2051,120.4459,0.033799
2019,2019-01-01,2020-12-31,495,2015-01-01,2018-12-31,1.291544,2.780695,1.667542,0.44636,275.9065,126899.1875,356.2291,0.075112
2021,2021-01-01,2022-12-31,496,2017-01-01,2020-12-31,1.720844,4.316642,2.077653,0.670841,578.1919,487311.7188,698.0771,0.136719
2023,2023-01-01,2024-12-31,485,2019-01-01,2022-12-31,1.548546,2.835829,1.683992,3.14413,659.3445,514110.9062,717.0153,0.162249
