periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
1993-03,1993-03-01,1993-04-30,45,1.485383,2.822086,1.679907,0.37188,8.4762,91.8961,9.5862,0.011008
1993-05,1993-05-01,1993-06-30,43,0.627105,0.491406,0.701003,0.281426,7.3484,67.4748,8.2143,0.009372
1993-07,1993-07-01,1993-08-31,44,0.831468,0.846444,0.920024,0.349058,12.6398,195.6074,13.986,0.015749
1993-09,1993-09-01,1993-10-31,43,0.280743,0.116575,0.34143,0.139222,5.6123,46.5879,6.8255,0.006886
1993-11,1993-11-01,1993-12-31,45,0.353788,0.198044,0.445021,0.399392,8.3131,109.3454,10.4568,0.010343
1994-01,1994-01-01,1994-02-28,41,0.5951,0.382864,0.61876,0.458849,14.1549,216.609,14.7176,0.017312
1994-03,1994-03-01,1994-04-30,44,0.202139,0.096535,0.3107,0.125066,4.9352,57.5434,7.5857,0.005938
1994-05,1994-05-01,1994-06-30,44,0.22464,0.091038,0.301725,0.172389,5.7234,59.0959,7.6874,0.006892
1994-07,1994-07-01,1994-08-31,44,0.130803,0.021392,0.146259,0.228737,3.5939,16.1484,4.0185,0.004406
1994-09,1994-09-01,1994-10-31,43,0.68229,0.577622,0.760015,0.496895,18.133,407.9873,20.1987,0.021619
1994-11,1994-11-01,1994-12-31,44,0.279686,0.086724,0.29449,0.31573,7.6066,64.1474,8.0092,0.00918
1995-01,1995-01-01,1995-02-28,42,0.640243,0.484502,0.696062,0.38888,17.2595,352.0978,18.7643,0.020268
1995-03,1995-03-01,1995-04-30,43,0.426354,0.226317,0.475728,0.194397,12.0477,180.7107,13.4429,0.013817
1995-05,1995-05-01,1995-06-30,45,0.090033,0.011853,0.108869,0.045373,2.8149,11.5858,3.4038,0.003213
1995-07,1995-07-01,1995-08-31,44,0.980316,1.580928,1.257349,0.299449,33.3659,1831.4149,42.795,0.035672
1995-09,1995-09-01,1995-10-31,43,0.403848,0.237292,0.487126,0.104699,16.5665,399.3091,19.9827,0.01685
1995-11,1995-11-01,1995-12-31,43,0.129464,0.023531,0.153399,0.043832,6.8958,66.7605,8.1707,0.006959
1996-01,1996-01-01,1996-02-29,44,0.489036,0.290027,0.538542,0.169365,31.0657,1170.3593,34.2105,0.030286
1996-03,1996-03-01,1996-04-30,43,0.106831,0.015585,0.124841,0.039491,7.8648,84.4693,9.1907,0.007487
1996-05,1996-05-01,1996-06-30,43,0.085767,0.009584,0.097896,0.034144,7.1593,66.7778,8.1718,0.006686
1996-07,1996-07-01,1996-08-31,45,0.159923,0.04191,0.20472,0.085511,14.8102,359.4362,18.9588,0.014177
1996-09,1996-09-01,1996-10-31,44,0.172205,0.043508,0.208585,0.124206,16.9534,421.6872,20.535,0.016678
1996-11,1996-11-01,1996-12-31,43,0.033167,0.001804,0.042471,0.030096,3.3449,18.3463,4.2833,0.003354
1997-01,1997-01-01,1997-02-28,43,0.430042,0.256089,0.506052,0.252035,43.5639,2627.981,51.2638,0.04089
1997-03,1997-03-01,1997-04-30,43,0.185263,0.036389,0.190759,0.118231,19.2877,394.4145,19.8599,0.018195
1997-05,1997-05-01,1997-06-30,43,0.229928,0.056342,0.237365,0.139158,24.5677,643.2501,25.3624,0.022753
1997-07,1997-07-01,1997-08-31,44,0.239457,0.086632,0.294334,0.120592,26.3216,1046.7625,32.3537,0.023306
1997-09,1997-09-01,1997-10-31,45,0.660974,0.507926,0.712689,0.224691,75.7946,6678.9526,81.7249,0.060388
1997-11,1997-11-01,1997-12-31,43,0.109241,0.01519,0.123248,0.037751,13.978,248.6993,15.7702,0.010761
1998-01,1998-01-01,1998-02-28,42,0.267425,0.083266,0.288558,0.095278,37.9319,1675.2151,40.9294,0.028327
1998-03,1998-03-01,1998-04-30,44,0.090974,0.009539,0.097666,0.034688,14.1368,230.3347,15.1768,0.010391
1998-05,1998-05-01,1998-06-30,43,0.139524,0.02282,0.151063,0.055523,23.5221,648.5966,25.4676,0.016928
1998-07,1998-07-01,1998-08-31,44,0.08531,0.017567,0.13254,0.036723,15.4268,574.4333,23.9673,0.011017
1998-09,1998-09-01,1998-10-31,44,0.580276,0.38119,0.617406,0.192083,110.6625,13863.5156,117.7434,0.070602
1998-11,1998-11-01,1998-12-31,44,0.171163,0.043804,0.209294,0.069839,36.013,1939.1505,44.0358,0.023642
1999-01,1999-01-01,1999-02-28,41,0.102413,0.013501,0.116193,0.041816,23.1007,686.9171,26.2091,0.014671
1999-03,1999-03-01,1999-04-30,45,0.083375,0.010059,0.100296,0.037948,19.9056,573.3842,23.9454,0.012749
1999-05,1999-05-01,1999-06-30,43,0.204069,0.060928,0.246837,0.079351,51.1405,3826.4495,61.8583,0.030161
1999-07,1999-07-01,1999-08-31,44,0.395741,0.197433,0.444335,0.129551,105.3011,13978.5977,118.2311,0.056009
1999-09,1999-09-01,1999-10-31,43,0.146988,0.026607,0.163117,0.047289,42.704,2245.8132,47.39,0.021471
1999-11,1999-11-01,1999-12-31,45,0.17296,0.040533,0.201329,0.069812,55.0149,4100.9536,64.0387,0.029021
2000-01,2000-01-01,2000-02-29,42,0.193753,0.042084,0.205144,0.080078,65.5369,4814.9692,69.39,0.033681
2000-03,2000-03-01,2000-04-30,43,0.068666,0.007512,0.08667,0.028976,24.4035,948.7581,30.8019,0.012277
2000-05,2000-05-01,2000-06-30,45,0.232139,0.066744,0.258348,0.091033,86.4078,9247.4404,96.1636,0.040881
2000-07,2000-07-01,2000-08-31,44,0.074743,0.007625,0.08732,0.02932,29.4091,1180.4532,34.3577,0.013438
2000-09,2000-09-01,2000-10-31,43,0.064113,0.00704,0.083907,0.02761,26.636,1215.2157,34.8599,0.012262
2000-11,2000-11-01,2000-12-31,43,0.075093,0.009202,0.095925,0.034022,32.6453,1739.045,41.7019,0.01492
2001-01,2001-01-01,2001-02-28,43,0.022421,0.000762,0.027604,0.010092,10.0972,154.5346,12.4312,0.004492
2001-03,2001-03-01,2001-04-30,43,0.084797,0.010081,0.100402,0.037696,39.6248,2201.1777,46.9167,0.017089
2001-05,2001-05-01,2001-06-30,44,0.060285,0.004306,0.06562,0.028374,29.2148,1011.2393,31.8,0.012604
2001-07,2001-07-01,2001-08-31,45,0.016096,0.000424,0.020598,0.008163,8.0656,106.5402,10.3218,0.003512
2001-09,2001-09-01,2001-10-31,43,0.044833,0.002619,0.051173,0.022999,23.0865,694.3842,26.3512,0.0099
2001-11,2001-11-01,2001-12-31,43,0.012453,0.000321,0.017917,0.00689,6.5709,89.3792,9.4541,0.002856
2002-01,2002-01-01,2002-02-28,43,0.037755,0.001948,0.044141,0.022058,20.3286,564.8707,23.767,0.008891
2002-03,2002-03-01,2002-04-30,43,0.060323,0.004071,0.063806,0.03724,33.0198,1219.8431,34.9263,0.014562
2002-05,2002-05-01,2002-06-30,43,0.105178,0.015816,0.125761,0.06051,58.3814,4872.9995,69.8069,0.024717
2002-07,2002-07-01,2002-08-31,45,0.317663,0.123836,0.351904,0.148293,179.1027,39365.7539,198.4081,0.068293
2002-09,2002-09-01,2002-10-31,44,0.164523,0.036906,0.192109,0.068419,95.417,12413.4844,111.4158,0.033725
2002-11,2002-11-01,2002-12-31,43,0.075659,0.008224,0.090685,0.034972,45.5105,2975.5586,54.5487,0.016487
2003-01,2003-01-01,2003-02-28,43,0.106873,0.013248,0.115099,0.045262,66.24,5089.1113,71.338,0.022511
2003-03,2003-03-01,2003-04-30,43,0.037355,0.002955,0.054362,0.017004,23.9642,1216.2351,34.8746,0.008229
2003-05,2003-05-01,2003-06-30,43,0.049389,0.003201,0.056578,0.02499,32.6644,1400.1528,37.4186,0.011531
2003-07,2003-07-01,2003-08-31,44,0.07083,0.00613,0.078292,0.036037,47.9025,2803.6228,52.9492,0.016659
2003-09,2003-09-01,2003-10-31,45,0.046386,0.003013,0.054895,0.024498,32.0447,1438.1417,37.9228,0.011145
2003-11,2003-11-01,2003-12-31,43,0.081276,0.00774,0.087976,0.046746,57.2319,3837.7144,61.9493,0.020352
2004-01,2004-01-01,2004-02-29,42,0.06333,0.005781,0.07603,0.040865,45.2679,2953.4155,54.3453,0.016677
2004-03,2004-03-01,2004-04-30,45,0.034188,0.001956,0.044232,0.024295,24.6934,1020.6398,31.9475,0.009357
2004-05,2004-05-01,2004-06-30,43,0.08697,0.008767,0.09363,0.057935,63.3013,4644.272,68.1489,0.023179
2004-07,2004-07-01,2004-08-31,44,0.097252,0.011754,0.108416,0.075156,71.3836,6332.5645,79.5774,0.027412
2004-09,2004-09-01,2004-10-31,43,0.041873,0.00278,0.052728,0.033666,30.8942,1513.4373,38.9029,0.011948
2004-11,2004-11-01,2004-12-31,45,0.140465,0.029238,0.170992,0.142622,103.9684,16018.4277,126.5639,0.043091
2005-01,2005-01-01,2005-02-28,41,0.027532,0.000995,0.031538,0.031362,20.3959,545.8506,23.3634,0.008707
2005-03,2005-03-01,2005-04-30,44,0.037585,0.002141,0.046267,0.041496,27.8041,1171.4373,34.2263,0.01173
2005-05,2005-05-01,2005-06-30,44,0.019988,0.000534,0.0231,0.023807,14.7638,291.1277,17.0625,0.006339
2005-07,2005-07-01,2005-08-31,44,0.021318,0.000562,0.023714,0.02656,15.715,305.5956,17.4813,0.006806
2005-09,2005-09-01,2005-10-31,43,0.013476,0.000238,0.01544,0.017566,9.9107,128.9453,11.3554,0.004329
2005-11,2005-11-01,2005-12-31,44,0.008203,9.4e-05,0.009683,0.011055,6.017,50.4479,7.1027,0.002643
2006-01,2006-01-01,2006-02-28,42,0.030551,0.001162,0.034091,0.043063,22.3429,621.6022,24.932,0.009892
2006-03,2006-03-01,2006-04-30,43,0.073254,0.008788,0.093745,0.091261,53.4115,4672.1104,68.3528,0.022893
2006-05,2006-05-01,2006-06-30,45,0.15943,0.036827,0.191905,0.147725,115.9376,19475.1543,139.5534,0.045601
2006-07,2006-07-01,2006-08-31,44,0.179255,0.040852,0.202118,0.202876,130.3728,21609.2891,147.001,0.05416
2006-09,2006-09-01,2006-10-31,43,0.033056,0.002394,0.048926,0.04177,24.0233,1264.2606,35.5564,0.010235
2006-11,2006-11-01,2006-12-31,42,0.043017,0.002807,0.052986,0.064932,31.205,1477.3295,38.436,0.01381
2007-01,2007-01-01,2007-02-28,42,0.019807,0.000502,0.022396,0.032253,14.3238,262.3156,16.1962,0.006428
2007-03,2007-03-01,2007-04-30,42,0.085962,0.009921,0.099607,0.173315,61.9464,5152.2153,71.7789,0.028832
2007-05,2007-05-01,2007-06-30,43,0.190537,0.042633,0.206477,1.016957,136.7498,21960.1953,148.1897,0.070535
2007-07,2007-07-01,2007-08-31,45,0.087442,0.016735,0.129362,0.240682,62.4218,8527.9404,92.3468,0.029858
2007-09,2007-09-01,2007-10-31,43,0.163331,0.034741,0.186389,0.555654,115.9797,17517.3945,132.3533,0.057669
2007-11,2007-11-01,2007-12-31,42,0.056787,0.004769,0.069061,0.16209,40.1302,2381.7722,48.8034,0.019571
2008-01,2008-01-01,2008-02-29,43,0.110661,0.017034,0.130515,0.890939,77.8253,8425.0889,91.7883,0.040785
2008-03,2008-03-01,2008-04-30,42,0.048302,0.003271,0.057194,2.210812,33.7922,1601.0245,40.0128,0.018735
2008-05,2008-05-01,2008-06-30,42,0.060971,0.006841,0.082709,0.663554,42.4307,3313.0378,57.559,0.024356
2008-07,2008-07-01,2008-08-31,42,0.146838,0.027391,0.165502,13.177333,101.6605,13129.0342,114.582,0.056987
2008-09,2008-09-01,2008-10-31,45,0.365612,0.169101,0.411219,0.598055,251.8251,80223.8438,283.2381,0.111725
2008-11,2008-11-01,2008-12-31,42,0.132762,0.024465,0.156414,0.208335,91.1184,11524.3604,107.3516,0.040452
2009-01,2009-01-01,2009-02-28,41,0.225534,0.083814,0.289507,0.230101,154.3951,39278.9883,198.1893,0.061843
2009-03,2009-03-01,2009-04-30,44,0.192809,0.049161,0.221723,0.240893,131.8262,22981.1387,151.5953,0.055599
2009-05,2009-05-01,2009-06-30,43,0.20085,0.054102,0.232598,0.512805,137.172,25234.8027,158.8547,0.065115
2009-07,2009-07-01,2009-08-31,44,0.161733,0.029528,0.171836,0.593873,110.0387,13668.5342,116.9125,0.054517
2009-09,2009-09-01,2009-10-31,44,0.178441,0.039858,0.199644,4.506605,120.8459,18280.4609,135.2053,0.06336
2009-11,2009-11-01,2009-12-31,42,0.03404,0.001717,0.041443,0.139639,22.9407,780.0687,27.9297,0.011455
2010-01,2010-01-01,2010-02-28,40,0.1221,0.016165,0.127142,0.696454,81.9203,7276.5181,85.3025,0.041909
2010-03,2010-03-01,2010-04-30,45,0.02891,0.001167,0.034164,0.238037,19.3124,520.8612,22.8224,0.010039
2010-05,2010-05-01,2010-06-30,43,0.048726,0.003241,0.056927,0.350841,32.3902,1431.9916,37.8417,0.016655
2010-07,2010-07-01,2010-08-31,44,0.082708,0.008806,0.093843,5.756335,54.7282,3855.9651,62.0964,0.029916
2010-09,2010-09-01,2010-10-31,43,0.03394,0.001375,0.037075,1.397975,22.3504,596.0996,24.4152,0.012409
2010-11,2010-11-01,2010-12-31,45,0.091671,0.012003,0.10956,0.97579,60.0889,5157.373,71.8148,0.031269
2011-01,2011-01-01,2011-02-28,41,0.050694,0.003367,0.05803,2.006129,33.0709,1433.1091,37.8564,0.017739
2011-03,2011-03-01,2011-04-30,43,0.095072,0.013344,0.115517,3.061893,61.7526,5629.9272,75.0328,0.034012
2011-05,2011-05-01,2011-06-30,43,0.044902,0.002997,0.054744,1.69916,29.034,1253.0536,35.3985,0.016072
2011-07,2011-07-01,2011-08-31,44,0.018264,0.00051,0.022591,0.231508,11.7573,211.4789,14.5423,0.006616
2011-09,2011-09-01,2011-10-31,41,0.144195,0.027713,0.166473,1.891449,92.4051,11380.96,106.6816,0.048627
2011-11,2011-11-01,2011-12-31,41,0.095997,0.009785,0.098917,0.670966,61.2625,3984.8704,63.1258,0.031742
2012-01,2012-01-01,2012-02-29,41,0.196026,0.042531,0.206231,14.551105,124.5883,17180.3789,131.0739,0.069332
2012-03,2012-03-01,2012-04-30,40,0.013187,0.000292,0.017094,0.142621,8.347,117.0636,10.8196,0.0047
2012-05,2012-05-01,2012-06-30,40,0.046322,0.003414,0.058425,2.271421,29.2042,1356.7961,36.8347,0.01613
2012-07,2012-07-01,2012-08-31,41,0.026537,0.001247,0.035313,0.966465,16.6644,491.7636,22.1757,0.009214
2012-09,2012-09-01,2012-10-31,42,0.031963,0.001208,0.034755,0.61821,19.9914,472.5238,21.7376,0.011114
2012-11,2012-11-01,2012-12-31,39,0.04081,0.002422,0.049218,0.766667,25.4205,939.9036,30.6578,0.014171
