periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
1993-W02,1993-01-11,1993-01-24,10,7.961675,71.954247,8.482585,0.85589,8.842,88.7464,9.4205,0.011821
1993-W04,1993-01-25,1993-02-07,10,0.70644,0.598535,0.77365,1.760853,3.705,16.4631,4.0575,0.004969
1993-W06,1993-02-08,1993-02-21,10,0.29956,0.14532,0.381208,0.481074,1.345,2.9295,1.7116,0.001798
1993-W08,1993-02-22,1993-03-07,10,2.605019,8.11906,2.849396,0.700433,10.478,131.3537,11.461,0.013774
1993-W10,1993-03-08,1993-03-21,10,0.172148,0.045948,0.214354,0.073052,1.198,2.2253,1.4917,0.001567
1993-W12,1993-03-22,1993-04-04,10,0.102763,0.014488,0.120364,0.054712,0.899,1.1088,1.053,0.001172
1993-W14,1993-04-05,1993-04-18,10,0.097394,0.01342,0.115846,0.060446,0.966,1.3203,1.149,0.001256
1993-W16,1993-04-19,1993-05-02,10,0.432528,0.191202,0.437266,0.241228,4.604,21.664,4.6545,0.005944
1993-W18,1993-05-03,1993-05-16,10,0.249105,0.080685,0.284051,0.139801,2.919,11.0788,3.3285,0.003749
1993-W20,1993-05-17,1993-05-30,10,0.102508,0.014075,0.118637,0.056947,1.3,2.2638,1.5046,0.001661
1993-W22,1993-05-31,1993-06-13,10,0.221721,0.067061,0.258962,0.17258,3.045,12.6484,3.5565,0.003905
1993-W24,1993-06-14,1993-06-27,10,0.064286,0.00558,0.074702,0.039317,0.916,1.133,1.0644,0.001164
1993-W26,1993-06-28,1993-07-11,10,0.109632,0.023547,0.15345,0.067313,1.647,5.3145,2.3053,0.002085
1993-W28,1993-07-12,1993-07-25,10,0.307212,0.103285,0.321379,0.16059,4.81,25.3193,5.0318,0.006035
1993-W30,1993-07-26,1993-08-08,10,0.14842,0.02591,0.160966,0.078022,2.502,7.363,2.7135,0.003123
1993-W32,1993-08-09,1993-08-22,10,0.134227,0.023224,0.152393,0.07148,2.424,7.5739,2.7521,0.003011
1993-W34,1993-08-23,1993-09-05,10,0.06439,0.004725,0.068736,0.035852,1.237,1.7436,1.3205,0.001532
1993-W36,1993-09-06,1993-09-19,10,0.083629,0.011355,0.106561,0.047585,1.696,4.6701,2.161,0.002092
1993-W38,1993-09-20,1993-10-03,10,0.075666,0.006435,0.080217,0.048258,1.605,2.8952,1.7015,0.001981
1993-W40,1993-10-04,1993-10-17,10,0.255417,0.080181,0.283162,0.156947,5.603,38.5843,6.2116,0.006872
1993-W42,1993-10-18,1993-10-31,10,0.132355,0.017728,0.133148,0.082526,3.01,9.1691,3.0281,0.003685
1993-W44,1993-11-01,1993-11-14,10,0.091073,0.018532,0.136132,0.071131,2.14,10.232,3.1987,0.002635
1993-W46,1993-11-15,1993-11-28,10,0.163542,0.040362,0.200902,0.121573,3.919,23.1771,4.8143,0.004804
1993-W48,1993-11-29,1993-12-12,10,0.212947,0.086892,0.294775,0.305696,5.162,51.0589,7.1455,0.006435
1993-W50,1993-12-13,1993-12-26,10,0.136808,0.029839,0.17274,0.186302,3.306,17.4247,4.1743,0.004113
1993-W52,1993-12-27,1994-01-09,10,0.169918,0.057881,0.240584,0.179975,4.06,33.0449,5.7485,0.005015
1994-W02,1994-01-10,1994-01-23,10,0.152506,0.028705,0.169425,0.114358,3.62,16.173,4.0216,0.004422
1994-W04,1994-01-24,1994-02-06,10,0.138704,0.024103,0.155251,0.109014,3.33,13.8925,3.7273,0.004067
1994-W06,1994-02-07,1994-02-20,10,0.020897,0.001527,0.039083,0.018869,0.506,0.8955,0.9463,0.00062
1994-W08,1994-02-21,1994-03-06,10,0.152461,0.027146,0.164761,0.12657,3.711,16.0832,4.0104,0.004529
1994-W10,1994-03-07,1994-03-20,10,0.029743,0.001699,0.041222,0.025641,0.728,1.018,1.009,0.000888
1994-W12,1994-03-21,1994-04-03,10,0.015668,0.000413,0.020315,0.013011,0.385,0.2492,0.4992,0.000469
1994-W14,1994-04-04,1994-04-17,10,0.163155,0.045956,0.214374,0.116385,4.032,28.066,5.2977,0.004872
1994-W16,1994-04-18,1994-05-01,10,0.232898,0.078737,0.280602,0.13665,5.808,48.9667,6.9976,0.006944
1994-W18,1994-05-02,1994-05-15,10,0.082659,0.008609,0.092783,0.046081,2.106,5.5882,2.3639,0.002505
1994-W20,1994-05-16,1994-05-29,10,0.029586,0.001113,0.033358,0.016578,0.775,0.7636,0.8738,0.000919
