periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_ref_ini,fecha_ref_fin,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
1993-W52,1993-12-27,1994-01-09,10,1992-12-28,1993-12-26,0.169918,0.057881,0.240584,0.179975,4.06,33.0449,5.7485,0.005015
1994-W02,1994-01-10,1994-01-23,10,1993-01-11,1994-01-09,0.158963,0.031187,0.176598,0.118646,3.62,16.173,4.0216,0.004422
1994-W04,1994-01-24,1994-02-06,10,1993-01-25,1994-01-23,0.152115,0.028989,0.170261,0.119861,3.33,13.8925,3.7273,0.004067
1994-W06,1994-02-07,1994-02-20,10,1993-02-08,1994-02-06,0.024583,0.002114,0.045975,0.022644,0.506,0.8955,0.9463,0.00062
1994-W08,1994-02-21,1994-03-06,10,1993-02-22,1994-02-20,0.197268,0.045447,0.213183,0.160804,3.711,16.0832,4.0104,0.004529
1994-W10,1994-03-07,1994-03-20,10,1993-03-08,1994-03-06,0.041173,0.003256,0.057064,0.035049,0.728,1.018,1.009,0.000888
1994-W12,1994-03-21,1994-04-03,10,1993-03-22,1994-03-20,0.023116,0.000898,0.029971,0.018548,0.385,0.2492,0.4992,0.000469
1994-W14,1994-04-04,1994-04-17,10,1993-04-05,1994-04-03,0.257374,0.114359,0.338171,0.164426,4.032,28.066,5.2977,0.004872
1994-W16,1994-04-18,1994-05-01,10,1993-04-19,1994-04-17,0.39581,0.227417,0.476882,0.185937,5.808,48.9667,6.9976,0.006944
1994-W18,1994-05-02,1994-05-15,10,1993-05-03,1994-05-01,0.146523,0.02705,0.164469,0.063148,2.106,5.5882,2.3639,0.002505
1994-W20,1994-05-16,1994-05-29,10,1993-05-17,1994-05-15,0.053722,0.003669,0.060571,0.023282,0.775,0.7636,0.8738,0.000919
1994-W22,1994-05-30,1994-06-12,10,1993-05-31,1994-05-29,0.138372,0.039581,0.198949,0.078668,2.032,8.5354,2.9215,0.002425
1994-W24,1994-06-13,1994-06-26,10,1993-06-14,1994-06-12,0.374348,0.216559,0.465359,0.456804,5.358,44.3644,6.6607,0.006481
1994-W26,1994-06-27,1994-07-10,10,1993-06-28,1994-06-26,0.267157,0.077899,0.279103,1.298886,3.607,14.2,3.7683,0.004405
1994-W28,1994-07-11,1994-07-24,10,1993-07-12,1994-07-10,0.175913,0.033594,0.183285,3.690158,2.168,5.1025,2.2589,0.002643
1994-W30,1994-07-25,1994-08-07,10,1993-07-26,1994-07-24,0.174533,0.044213,0.210269,0.657167,2.031,5.987,2.4468,0.002494
1994-W32,1994-08-08,1994-08-21,10,1993-08-09,1994-08-07,0.163048,0.035136,0.187447,0.534757,1.815,4.354,2.0866,0.002227
1994-W34,1994-08-22,1994-09-04,10,1993-08-23,1994-08-21,0.218881,0.056342,0.237364,1.156792,2.364,6.5722,2.5636,0.002895
1994-W36,1994-09-05,1994-09-18,10,1993-09-06,1994-09-04,0.424398,0.376798,0.613839,8.633467,4.486,42.0997,6.4884,0.005424
1994-W38,1994-09-19,1994-10-02,10,1993-09-20,1994-09-18,0.714867,0.534228,0.730909,0.354421,7.461,58.1935,7.6285,0.008873
1994-W40,1994-10-03,1994-10-16,10,1993-10-04,1994-10-02,0.324573,0.131139,0.362132,0.217809,3.569,15.8563,3.982,0.00426
1994-W42,1994-10-17,1994-10-30,10,1993-10-18,1994-10-16,0.318622,0.151651,0.389424,0.19432,3.64,19.7923,4.4488,0.004328
1994-W44,1994-10-31,1994-11-13,10,1993-11-01,1994-10-30,0.599377,0.441775,0.664662,0.892217,7.101,62.0067,7.8744,0.008542
1994-W46,1994-11-14,1994-11-27,10,1993-11-15,1994-11-13,0.157622,0.035912,0.189503,0.645455,1.877,5.0925,2.2567,0.00227
1994-W48,1994-11-28,1994-12-11,10,1993-11-29,1994-11-27,0.099897,0.015609,0.124935,0.18911,1.176,2.1631,1.4707,0.001416
1994-W50,1994-12-12,1994-12-25,10,1993-12-13,1994-12-11,0.282962,0.110817,0.332893,8.557183,3.188,14.0664,3.7505,0.003856
1994-W52,1994-12-26,1995-01-08,10,1993-12-27,1994-12-25,0.492284,0.381514,0.617668,0.652495,5.048,40.1162,6.3337,0.006044
1995-W02,1995-01-09,1995-01-22,10,1994-01-10,1995-01-08,0.630047,0.581896,0.762821,0.312862,5.964,52.1404,7.2208,0.007039
1995-W04,1995-01-23,1995-02-05,10,1994-01-24,1995-01-22,0.37746,0.16974,0.411995,0.127965,3.728,16.5575,4.0691,0.00435
1995-W06,1995-02-06,1995-02-19,10,1994-02-07,1995-02-05,0.393736,0.182279,0.426941,0.247536,4.359,22.3405,4.7266,0.005146
1995-W08,1995-02-20,1995-03-05,10,1994-02-21,1995-02-19,0.577544,0.419148,0.647417,0.249517,6.555,53.9932,7.348,0.007648
1995-W10,1995-03-06,1995-03-19,10,1994-03-07,1995-03-05,0.245797,0.079209,0.281441,0.09131,2.965,11.5257,3.395,0.003429
1995-W12,1995-03-20,1995-04-02,10,1994-03-21,1995-03-19,0.368339,0.244819,0.494792,0.121739,4.861,42.6383,6.5298,0.00556
1995-W14,1995-04-03,1995-04-16,10,1994-04-04,1995-04-02,0.63808,0.477114,0.690734,0.281036,9.388,103.2798,10.1627,0.0108
1995-W16,1995-04-17,1995-04-30,10,1994-04-18,1995-04-16,0.571648,0.374284,0.611788,0.237427,9.153,95.9559,9.7957,0.010449
