periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_ref_ini,fecha_ref_fin,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
1994-Q1,1994-01-01,1994-03-31,64,1993-01-01,1993-12-31,0.646048,0.441554,0.664495,0.482949,15.3667,249.8132,15.8055,0.018772
1994-Q2,1994-04-01,1994-06-30,65,1993-04-01,1994-03-31,0.837231,0.9327,0.965764,0.379166,13.3127,235.8231,15.3565,0.015878
1994-Q3,1994-07-01,1994-09-30,66,1993-07-01,1994-06-30,0.469809,0.476408,0.690223,6.803581,6.163,81.9834,9.0545,0.007431
1994-Q4,1994-10-01,1994-12-31,65,1993-10-01,1994-09-30,0.821371,0.854147,0.9242,1.155208,9.0289,103.2111,10.1593,0.01088
1995-Q1,1995-01-01,1995-03-31,65,1994-01-01,1994-12-31,2.395051,6.932247,2.632916,0.784148,23.3995,661.6959,25.7235,0.027229
1995-Q2,1995-04-01,1995-06-30,65,1994-04-01,1995-03-31,0.383834,0.202545,0.45005,0.15405,5.6474,43.8458,6.6216,0.006472
1995-Q3,1995-07-01,1995-09-30,65,1994-07-01,1995-06-30,2.231792,7.122278,2.66876,0.502999,49.1874,3459.5469,58.8179,0.051725
1995-Q4,1995-10-01,1995-12-31,65,1994-10-01,1995-09-30,0.447031,0.24799,0.497986,0.147361,17.9824,401.2885,20.0322,0.018064
1996-Q1,1996-01-01,1996-03-31,65,1995-01-01,1995-12-31,0.703958,0.587106,0.766228,0.326238,39.3696,1836.3005,42.8521,0.038051
1996-Q2,1996-04-01,1996-06-30,65,1995-04-01,1996-03-31,0.241115,0.076431,0.276461,0.132796,14.768,286.7235,16.9329,0.013833
1996-Q3,1996-07-01,1996-09-30,66,1995-07-01,1996-06-30,0.379445,0.204461,0.452174,0.571745,19.9358,564.3885,23.7569,0.019158
1996-Q4,1996-10-01,1996-12-31,66,1995-10-01,1996-09-30,0.738566,0.619815,0.787284,0.754725,21.985,549.2078,23.4352,0.021953
1997-Q1,1997-01-01,1997-03-31,64,1996-01-01,1996-12-31,1.892262,4.421945,2.102842,1.999914,47.814,2823.3315,53.135,0.044928
1997-Q2,1997-04-01,1997-06-30,65,1996-04-01,1997-03-31,0.50158,0.352042,0.593331,0.406647,13.4386,252.7099,15.8969,0.012464
1997-Q3,1997-07-01,1997-09-30,66,1996-07-01,1997-06-30,2.134493,8.202921,2.864074,0.464748,61.7579,6866.9502,82.8671,0.051511
1997-Q4,1997-10-01,1997-12-31,66,1996-10-01,1997-09-30,0.61484,0.460479,0.678586,0.171179,37.8512,1745.199,41.7756,0.029291
1998-Q1,1998-01-01,1998-03-31,64,1997-01-01,1997-12-31,0.479675,0.262265,0.512118,0.224639,46.1861,2431.4602,49.3098,0.034275
1998-Q2,1998-04-01,1998-06-30,65,1997-04-01,1998-03-31,0.15475,0.036656,0.191458,0.097626,17.0485,444.8934,21.0925,0.012291
1998-Q3,1998-07-01,1998-09-30,66,1997-07-01,1998-06-30,0.658761,0.977741,0.988808,0.312232,60.1709,8157.2007,90.3172,0.040049
1998-Q4,1998-10-01,1998-12-31,66,1997-10-01,1998-09-30,0.388664,0.229821,0.479396,0.1339,25.1791,964.5385,31.057,0.016198
1999-Q1,1999-01-01,1999-03-31,64,1998-01-01,1998-12-31,0.197708,0.057783,0.240381,0.128844,18.0725,482.821,21.9732,0.011514
1999-Q2,1999-04-01,1999-06-30,65,1998-04-01,1999-03-31,1.16692,1.739991,1.319087,0.607474,105.4612,14211.8438,119.2134,0.063253
1999-Q3,1999-07-01,1999-09-30,66,1998-07-01,1999-06-30,1.628345,3.351018,1.830579,0.391272,148.3968,27831.2676,166.8271,0.076733
1999-Q4,1999-10-01,1999-12-31,66,1998-10-01,1999-09-30,0.477418,0.300844,0.548493,0.291497,70.7627,6609.2661,81.2974,0.03703
2000-Q1,2000-01-01,2000-03-31,65,1999-01-01,1999-12-31,0.429272,0.19944,0.446587,0.382057,72.5538,5697.2837,75.4804,0.03719
2000-Q2,2000-04-01,2000-06-30,65,1999-04-01,2000-03-31,0.760462,0.768538,0.876663,0.449324,103.2193,14158.9668,118.9915,0.049274
2000-Q3,2000-07-01,2000-09-30,65,1999-07-01,2000-06-30,0.504219,0.331942,0.576144,0.170159,41.1208,2207.73,46.9865,0.018674
2000-Q4,2000-10-01,2000-12-31,65,1999-10-01,2000-09-30,0.431597,0.234384,0.484132,0.41203,47.7038,2863.3657,53.5104,0.022157
2001-Q1,2001-01-01,2001-03-31,65,2000-01-01,2000-12-31,0.215037,0.084888,0.291355,0.122337,22.2494,908.7721,30.1458,0.009777
2001-Q2,2001-04-01,2001-06-30,65,2000-04-01,2001-03-31,0.245979,0.11296,0.336095,0.11344,19.3985,702.5278,26.5052,0.008277
2001-Q3,2001-07-01,2001-09-30,65,2000-07-01,2001-06-30,0.243086,0.109316,0.330629,0.199738,16.0939,479.1611,21.8897,0.006931
2001-Q4,2001-10-01,2001-12-31,66,2000-10-01,2001-09-30,0.357835,0.156479,0.395574,0.633103,23.5051,675.1698,25.984,0.010194
2002-Q1,2002-01-01,2002-03-31,64,2001-01-01,2001-12-31,0.509104,0.399504,0.632064,36.978012,16.4559,417.4009,20.4304,0.007199
2002-Q2,2002-04-01,2002-06-30,65,2001-04-01,2002-03-31,1.877258,6.302918,2.510561,1.701938,45.7869,3749.5288,61.2334,0.019463
2002-Q3,2002-07-01,2002-09-30,66,2001-07-01,2002-06-30,7.750051,73.840179,8.593031,0.648442,235.4124,68130.625,261.0184,0.0875
