periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
1998-S1,1998-01-01,1998-06-30,129,1993-01-01,1997-12-31,0.42593,0.207893,0.455953,0.141664,60.4143,4182.5776,64.6729,0.044166
1998-S2,1998-07-01,1998-12-31,132,1993-07-01,1998-06-30,0.627333,0.547438,0.739891,0.205406,110.4535,16970.6133,130.2713,0.07164
1999-S1,1999-01-01,1999-06-30,129,1994-01-01,1998-12-31,0.251059,0.113999,0.337637,0.095388,54.8186,5435.0679,73.7229,0.033269
1999-S2,1999-07-01,1999-12-31,132,1994-07-01,1999-06-30,0.815381,0.732334,0.855765,0.263222,206.6557,47041.6836,216.8909,0.106915
2000-S1,2000-01-01,2000-06-30,130,1995-01-01,1999-12-31,0.242481,0.102972,0.320893,0.096549,77.5739,10538.8838,102.6591,0.037608
2000-S2,2000-07-01,2000-12-31,130,1995-07-01,2000-06-30,0.13859,0.026826,0.163785,0.060904,50.0842,3503.3584,59.1892,0.022854
2001-S1,2001-01-01,2001-06-30,130,1996-01-01,2000-12-31,0.248018,0.071866,0.268077,0.123538,100.5988,11823.3672,108.7353,0.043636
2001-S2,2001-07-01,2001-12-31,131,1996-07-01,2001-06-30,0.06084,0.004789,0.069205,0.038863,26.7536,926.101,30.4319,0.011619
2002-S1,2002-01-01,2002-06-30,129,1997-01-01,2001-12-31,0.077191,0.008516,0.092282,0.060561,33.6883,1622.0198,40.2743,0.014628
2002-S2,2002-07-01,2002-12-31,132,1997-07-01,2002-06-30,0.962692,1.011321,1.005645,0.44074,385.3616,162050.75,402.5553,0.140213
2003-S1,2003-01-01,2003-06-30,129,1998-01-01,2002-12-31,0.215904,0.060419,0.245803,0.097344,88.7268,10203.835,101.014,0.030284
2003-S2,2003-07-01,2003-12-31,132,1998-07-01,2003-06-30,0.070028,0.007493,0.086565,0.04469,29.7702,1354.2783,36.8005,0.010491
2004-S1,2004-01-01,2004-06-30,130,1999-01-01,2003-12-31,0.309711,0.108018,0.328661,0.330607,124.381,17421.7266,131.9914,0.046282
2004-S2,2004-07-01,2004-12-31,132,1999-07-01,2004-06-30,0.479745,0.289808,0.538339,3.098945,162.8391,33389.3711,182.7276,0.065003
2005-S1,2005-01-01,2005-06-30,129,2000-01-01,2004-12-31,0.425956,0.190968,0.436999,0.942536,126.1819,16758.1348,129.4532,0.053843
2005-S2,2005-07-01,2005-12-31,131,2000-07-01,2005-06-30,0.156672,0.028621,0.169177,0.177396,40.0043,1866.0297,43.1976,0.017477
2006-S1,2006-01-01,2006-06-30,130,2001-01-01,2005-12-31,0.371108,0.311946,0.558522,1.853833,89.7465,18243.7734,135.0695,0.036274
2006-S2,2006-07-01,2006-12-31,129,2001-07-01,2006-06-30,0.532231,0.362944,0.602448,1.016821,127.0886,20694.3984,143.8555,0.054618
2007-S1,2007-01-01,2007-06-30,127,2002-01-01,2006-12-31,0.678739,0.730501,0.854693,0.332979,159.7723,40477.9492,201.1913,0.079057
2007-S2,2007-07-01,2007-12-31,130,2002-07-01,2007-06-30,0.383119,0.214295,0.46292,0.229132,99.7536,14527.8145,120.5314,0.048145
2008-S1,2008-01-01,2008-06-30,127,2003-01-01,2007-12-31,0.660941,0.536196,0.732254,0.292314,189.8716,44250.4375,210.3579,0.105966
2008-S2,2008-07-01,2008-12-31,129,2003-07-01,2008-06-30,1.273514,2.207327,1.485708,19.855295,380.0066,196535.8281,443.3236,0.170924
