periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
2003,2003-01-01,2003-12-31,261,1993-01-01,2002-12-31,0.159924,0.035552,0.188553,0.072207,99.1205,13657.4219,116.865,0.034751
2004,2004-01-01,2004-12-31,262,1994-01-01,2003-12-31,0.325435,0.128061,0.357856,0.258994,227.3562,62503.1758,250.0063,0.088276
2005,2005-01-01,2005-12-31,260,1995-01-01,2004-12-31,0.22195,0.052156,0.228376,0.342533,152.2658,24546.8477,156.6743,0.065799
2006,2006-01-01,2006-12-31,259,1996-01-01,2005-12-31,0.148558,0.0428,0.206882,0.217848,91.6127,16276.5811,127.5797,0.037386
2007,2007-01-01,2007-12-31,257,1997-01-01,2006-12-31,0.439081,0.238357,0.488218,4.881716,232.879,67050.1328,258.9404,0.115338
2008,2008-01-01,2008-12-31,256,1998-01-01,2007-12-31,0.487389,0.287209,0.535919,1.648799,202.9339,49791.6289,223.1404,0.104605
2009,2009-01-01,2009-12-31,258,1999-01-01,2008-12-31,0.656646,0.546862,0.739501,1.245273,223.2044,63186.0625,251.3684,0.107823
2010,2010-01-01,2010-12-31,260,2000-01-01,2009-12-31,0.420516,0.221336,0.470464,0.274743,125.3982,19682.0469,140.2927,0.067273
2011,2011-01-01,2011-12-31,253,2001-01-01,2010-12-31,0.216949,0.066495,0.257865,0.140368,68.9137,6709.3804,81.9108,0.03806
2012,2012-01-01,2012-12-31,243,2002-01-01,2011-12-31,0.354077,0.131354,0.362429,0.259076,122.9564,15839.8232,125.8564,0.068687
2013,2013-01-01,2013-12-31,242,2003-01-01,2012-12-31,0.280274,0.105539,0.324867,0.34122,99.6264,13335.1143,115.4778,0.052439
2014,2014-01-01,2014-12-31,240,2004-01-01,2013-12-31,0.361156,0.292169,0.540527,1.830566,102.2568,23422.3145,153.0435,0.048113
2015,2015-01-01,2015-12-31,250,2005-01-01,2014-12-31,2.477013,7.899044,2.810524,0.717273,548.837,387797.0312,622.7335,0.190515
2016,2016-01-01,2016-12-31,252,2006-01-01,2015-12-31,0.427722,0.247579,0.497573,0.140405,134.4435,24460.7812,156.3994,0.044069
2017,2017-01-01,2017-12-31,233,2007-01-01,2016-12-31,0.211994,0.060981,0.246944,0.117129,90.7279,11169.4492,105.6856,0.03108
2018,2018-01-01,2018-12-31,244,2008-01-01,2017-12-31,0.27631,0.096442,0.310551,0.192835,134.7495,22936.5703,151.4482,0.045639
2019,2019-01-01,2019-12-31,251,2009-01-01,2018-12-31,0.237605,0.081367,0.28525,0.122653,124.0814,22189.7637,148.9623,0.037059
2020,2020-01-01,2020-12-31,244,2010-01-01,2019-12-31,0.521641,0.377555,0.614455,0.226712,307.7258,131390.375,362.4781,0.080729
2021,2021-01-01,2021-12-31,246,2011-01-01,2020-12-31,0.244478,0.088651,0.297744,0.135014,163.2536,39530.2773,198.8222,0.04251
2022,2022-01-01,2022-12-31,250,2012-01-01,2021-12-31,0.555444,0.545128,0.738328,0.227416,383.8667,260362.3906,510.2572,0.084161
2023,2023-01-01,2023-12-31,239,2013-01-01,2022-12-31,0.789413,0.817293,0.904043,0.55603,580.2812,441617.9375,664.5434,0.140408
2024,2024-01-01,2024-12-31,246,2014-01-01,2023-12-31,0.233642,0.081186,0.284932,0.208916,166.0974,41030.4805,202.5598,0.039977
