periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
2003,2003-01-01,2004-12-31,523,1993-01-01,2002-12-31,0.425424,0.255575,0.505544,0.227084,263.6766,98178.8828,313.3351,0.099486
2005,2005-01-01,2006-12-31,519,1995-01-01,2004-12-31,0.208651,0.050625,0.225,0.324288,143.1424,23826.4473,154.3582,0.061824
2007,2007-01-01,2008-12-31,513,1997-01-01,2006-12-31,0.505369,0.353148,0.594263,2.925714,268.0366,99340.9453,315.184,0.140763
2009,2009-01-01,2010-12-31,518,1999-01-01,2008-12-31,0.836611,0.820974,0.906076,1.28859,284.3776,94857.7734,307.9899,0.145659
2011,2011-01-01,2012-12-31,496,2001-01-01,2010-12-31,0.218204,0.061201,0.247388,0.1387,69.3123,6175.209,78.5825,0.038433
2013,2013-01-01,2014-12-31,482,2003-01-01,2012-12-31,0.464737,0.332531,0.576655,1.000517,165.196,42016.1719,204.9785,0.082128
2015,2015-01-01,2016-12-31,502,2005-01-01,2014-12-31,3.170198,11.662182,3.414994,0.775184,702.4273,572545.25,756.6672,0.234576
2017,2017-01-01,2018-12-31,477,2007-01-01,2016-12-31,0.297476,0.116482,0.341294,0.166827,127.3121,21334.9512,146.0649,0.043628
2019,2019-01-01,2020-12-31,495,2009-01-01,2018-12-31,0.582645,0.541976,0.73619,0.231711,304.2672,147802.9531,384.4515,0.082899
2021,2021-01-01,2022-12-31,496,2011-01-01,2020-12-31,0.514964,0.538412,0.733765,0.206256,343.8737,240081.9844,489.9816,0.078939
2023,2023-01-01,2024-12-31,485,2013-01-01,2022-12-31,0.999202,1.165393,1.079534,0.748813,734.4933,629711.0625,793.5433,0.180487
