periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
1995-W52,1995-12-25,1996-01-07,10,1992-12-28,1995-12-24,0.109392,0.015127,0.12299,0.046432,6.8518,59.3447,7.7035,0.006932
1996-W02,1996-01-08,1996-01-21,10,1993-01-11,1996-01-07,0.154885,0.032752,0.180974,0.059921,9.917,134.2688,11.5874,0.009826
1996-W04,1996-01-22,1996-02-04,10,1993-01-25,1996-01-21,0.372568,0.143835,0.379255,0.1369,24.4506,619.4846,24.8894,0.023841
1996-W06,1996-02-05,1996-02-18,10,1993-02-08,1996-02-04,0.174786,0.037966,0.19485,0.06772,11.8179,173.5661,13.1744,0.011529
1996-W08,1996-02-19,1996-03-03,10,1993-02-22,1996-02-18,0.209085,0.055292,0.235142,0.079228,14.5029,266.0256,16.3103,0.013984
1996-W10,1996-03-04,1996-03-17,10,1993-03-08,1996-03-03,0.167477,0.038879,0.197177,0.0645,11.9681,198.5429,14.0905,0.011473
1996-W12,1996-03-18,1996-03-31,10,1993-03-22,1996-03-17,0.11605,0.018987,0.137795,0.045866,8.5446,102.9337,10.1456,0.008157
1996-W14,1996-04-01,1996-04-14,10,1993-04-05,1996-03-31,0.051045,0.004549,0.067447,0.02132,3.8673,26.1124,5.11,0.003697
1996-W16,1996-04-15,1996-04-28,10,1993-04-19,1996-04-14,0.068649,0.005092,0.071356,0.02885,5.3307,30.7023,5.541,0.005062
1996-W18,1996-04-29,1996-05-12,10,1993-05-03,1996-04-28,0.134398,0.019495,0.139626,0.056372,10.7031,123.6426,11.1195,0.01008
1996-W20,1996-05-13,1996-05-26,10,1993-05-17,1996-05-12,0.112164,0.013316,0.115393,0.047981,9.1638,88.8792,9.4276,0.008592
1996-W22,1996-05-27,1996-06-09,10,1993-05-31,1996-05-26,0.111765,0.014591,0.120794,0.048376,9.3618,102.3751,10.1181,0.008727
1996-W24,1996-06-10,1996-06-23,10,1993-06-14,1996-06-09,0.052674,0.003476,0.058954,0.023977,4.518,25.5694,5.0566,0.004217
1996-W26,1996-06-24,1996-07-07,10,1993-06-28,1996-06-23,0.03614,0.001672,0.040889,0.017315,3.1673,12.8413,3.5835,0.002961
1996-W28,1996-07-08,1996-07-21,10,1993-07-12,1996-07-07,0.069965,0.006097,0.078082,0.036065,6.2476,48.614,6.9724,0.005875
1996-W30,1996-07-22,1996-08-04,10,1993-07-26,1996-07-21,0.110893,0.012832,0.11328,0.060559,10.0658,105.7277,10.2824,0.009497
1996-W32,1996-08-05,1996-08-18,10,1993-08-09,1996-08-04,0.265539,0.081626,0.285703,0.172883,24.4435,691.6686,26.2996,0.023523
1996-W34,1996-08-19,1996-09-01,10,1993-08-23,1996-08-18,0.237436,0.059391,0.243702,0.156092,22.0567,512.5157,22.6388,0.02118
1996-W36,1996-09-02,1996-09-15,10,1993-09-06,1996-09-01,0.156322,0.027804,0.166745,0.104433,14.6389,243.8289,15.615,0.014032
1996-W38,1996-09-16,1996-09-29,10,1993-09-20,1996-09-15,0.172513,0.033012,0.181693,0.129384,16.2779,293.9201,17.1441,0.015773
1996-W40,1996-09-30,1996-10-13,10,1993-10-04,1996-09-29,0.272594,0.07632,0.276261,0.240942,25.8403,685.8026,26.1878,0.025425
1996-W42,1996-10-14,1996-10-27,10,1993-10-18,1996-10-13,0.204237,0.04329,0.208061,0.187393,19.3906,390.21,19.7537,0.019104
1996-W44,1996-10-28,1996-11-10,10,1993-11-01,1996-10-27,0.280528,0.080807,0.284266,0.298339,26.6585,729.7417,27.0137,0.026566
1996-W46,1996-11-11,1996-11-24,10,1993-11-15,1996-11-10,0.257187,0.071266,0.266956,0.307355,24.4026,641.5831,25.3295,0.024502
1996-W48,1996-11-25,1996-12-08,10,1993-11-29,1996-11-24,0.175732,0.032698,0.180827,0.214138,16.6194,292.453,17.1013,0.016678
1996-W50,1996-12-09,1996-12-22,10,1993-12-13,1996-12-08,0.031853,0.001412,0.037571,0.038344,2.9976,12.5007,3.5356,0.002999
1996-W52,1996-12-23,1997-01-05,10,1993-12-27,1996-12-22,0.037187,0.002033,0.045087,0.042801,3.4777,17.7787,4.2165,0.00346
1997-W02,1997-01-06,1997-01-19,10,1994-01-10,1997-01-05,0.2033,0.044479,0.210901,0.201157,18.9,384.4205,19.6066,0.018521
1997-W04,1997-01-20,1997-02-02,10,1994-01-24,1997-01-19,0.403668,0.195476,0.442127,0.319983,37.4258,1680.3082,40.9916,0.035715
1997-W06,1997-02-03,1997-02-16,10,1994-02-07,1997-02-02,0.55443,0.319698,0.565418,0.367546,51.3973,2747.4321,52.416,0.047958
1997-W08,1997-02-17,1997-03-02,10,1994-02-21,1997-02-16,0.199792,0.054149,0.2327,0.130018,18.598,469.2129,21.6613,0.01725
1997-W10,1997-03-03,1997-03-16,10,1994-03-07,1997-03-02,0.10445,0.015271,0.123574,0.077308,9.7652,133.4761,11.5532,0.009169
1997-W12,1997-03-17,1997-03-30,10,1994-03-21,1997-03-16,0.167729,0.032447,0.18013,0.132065,15.69,283.9221,16.85,0.014798
1997-W14,1997-03-31,1997-04-13,10,1994-04-04,1997-03-30,0.04741,0.003477,0.058969,0.037792,4.4313,30.3779,5.5116,0.004173
1997-W16,1997-04-14,1997-04-27,10,1994-04-18,1997-04-13,0.117827,0.015924,0.126189,0.100201,11.0017,138.8254,11.7824,0.010403
1997-W18,1997-04-28,1997-05-11,10,1994-05-02,1997-04-27,0.085039,0.009694,0.098459,0.06866,7.9332,84.3679,9.1852,0.007436
1997-W20,1997-05-12,1997-05-25,10,1994-05-16,1997-05-11,0.10406,0.012417,0.111434,0.078792,9.7144,108.2178,10.4028,0.009022
