periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
2003-Q1,2003-01-01,2003-03-31,64,1993-01-01,2002-12-31,0.128591,0.021604,0.146984,0.054155,79.7005,8299.3223,91.1006,0.02701
2003-Q2,2003-04-01,2003-06-30,65,1993-04-01,2003-03-31,0.157626,0.030233,0.173877,0.077737,102.2414,12719.8818,112.7825,0.035896
2003-Q3,2003-07-01,2003-09-30,66,1993-07-01,2003-06-30,0.036221,0.001911,0.043715,0.019203,24.2546,856.8695,29.2723,0.008516
2003-Q4,2003-10-01,2003-12-31,66,1993-10-01,2003-09-30,0.06158,0.006011,0.077529,0.035814,42.2744,2832.7776,53.2238,0.015004
2004-Q1,2004-01-01,2004-03-31,65,1994-01-01,2003-12-31,0.181139,0.037096,0.192604,0.125414,126.5478,18105.7031,134.5574,0.046906
2004-Q2,2004-04-01,2004-06-30,65,1994-04-01,2004-03-31,0.051147,0.003992,0.063182,0.03827,35.9225,1969.1721,44.3754,0.013427
2004-Q3,2004-07-01,2004-09-30,66,1994-07-01,2004-06-30,0.163098,0.030929,0.175867,0.143488,114.6182,15274.7715,123.5911,0.0444
2004-Q4,2004-10-01,2004-12-31,66,1994-10-01,2004-09-30,0.12181,0.026872,0.163926,0.142795,84.8774,13047.1797,114.2243,0.034967
2005-Q1,2005-01-01,2005-03-31,64,1995-01-01,2004-12-31,0.167754,0.030364,0.174251,0.239649,115.0856,14290.4932,119.5429,0.048989
2005-Q2,2005-04-01,2005-06-30,65,1995-04-01,2005-03-31,0.027923,0.00111,0.033318,0.043744,18.7243,499.1906,22.3426,0.008024
2005-Q3,2005-07-01,2005-09-30,66,1995-07-01,2005-06-30,0.042745,0.002271,0.047656,0.077855,27.9185,968.845,31.1263,0.012136
2005-Q4,2005-10-01,2005-12-31,65,1995-10-01,2005-09-30,0.027766,0.000916,0.030273,0.057932,17.6293,369.449,19.2211,0.00773
2006-Q1,2006-01-01,2006-03-31,65,1996-01-01,2005-12-31,0.028776,0.001068,0.032676,0.071004,17.7457,406.0377,20.1504,0.007857
2006-Q2,2006-04-01,2006-06-30,65,1996-04-01,2006-03-31,0.302148,0.11995,0.346338,0.412677,180.5348,42823.5586,206.9385,0.072364
2006-Q3,2006-07-01,2006-09-30,65,1996-07-01,2006-06-30,0.136584,0.02327,0.152545,0.239537,79.2147,7827.1782,88.4713,0.032869
2006-Q4,2006-10-01,2006-12-31,64,1996-10-01,2006-09-30,0.1932,0.045064,0.212283,0.641474,107.9118,14058.9521,118.5704,0.047267
2007-Q1,2007-01-01,2007-03-31,64,1997-01-01,2006-12-31,0.107172,0.01429,0.119542,1.13821,56.8415,4019.8811,63.4025,0.025731
2007-Q2,2007-04-01,2007-06-30,63,1997-04-01,2007-03-31,0.380746,0.184141,0.429116,6.403034,190.9764,46327.4766,215.2382,0.097074
2007-Q3,2007-07-01,2007-09-30,65,1997-07-01,2007-06-30,0.192076,0.063683,0.252355,4.151509,90.4854,14132.9736,118.8822,0.042826
2007-Q4,2007-10-01,2007-12-31,65,1997-10-01,2007-09-30,0.146302,0.025881,0.160875,0.319402,64.556,5039.0342,70.9862,0.032115
2008-Q1,2008-01-01,2008-03-31,63,1998-01-01,2007-12-31,0.283325,0.104514,0.323286,0.335403,117.9679,18118.873,134.6064,0.062924
2008-Q2,2008-04-01,2008-06-30,64,1998-04-01,2008-03-31,0.300376,0.105043,0.324103,0.238843,118.7287,16411.4746,128.1073,0.067989
2008-Q3,2008-07-01,2008-09-30,64,1998-07-01,2008-06-30,0.398333,0.289838,0.538366,0.975925,150.6068,41433.5938,203.5524,0.074388
2008-Q4,2008-10-01,2008-12-31,65,1998-10-01,2008-09-30,0.605425,0.420414,0.648393,7.949156,217.2055,54112.5117,232.621,0.093993
2009-Q1,2009-01-01,2009-03-31,63,1999-01-01,2008-12-31,0.510347,0.367301,0.606053,2.256569,173.4751,42438.9883,206.0072,0.069508
2009-Q2,2009-04-01,2009-06-30,65,1999-04-01,2009-03-31,0.719259,0.67511,0.821651,3.141045,230.6674,69434.75,263.5047,0.106988
2009-Q3,2009-07-01,2009-09-30,66,1999-07-01,2009-06-30,0.33358,0.155431,0.394247,0.302928,101.0675,14267.8926,119.4483,0.050912
2009-Q4,2009-10-01,2009-12-31,64,1999-10-01,2009-09-30,0.155078,0.038729,0.196796,0.126165,46.3949,3466.373,58.8759,0.0239
2010-Q1,2010-01-01,2010-03-31,63,2000-01-01,2009-12-31,0.246707,0.074455,0.272865,0.183842,73.5682,6620.8652,81.3687,0.038174
2010-Q2,2010-04-01,2010-06-30,65,2000-04-01,2010-03-31,0.143962,0.031529,0.177564,0.120522,42.9335,2804.1826,52.9545,0.021778
2010-Q3,2010-07-01,2010-09-30,66,2000-07-01,2010-06-30,0.308857,0.109285,0.330583,0.184091,93.0159,9911.9521,99.5588,0.051099
2010-Q4,2010-10-01,2010-12-31,66,2000-10-01,2010-09-30,0.215436,0.07115,0.26674,0.165428,66.8769,6856.2983,82.8028,0.035092
2011-Q1,2011-01-01,2011-03-31,64,2001-01-01,2010-12-31,0.138721,0.024037,0.155039,0.100335,44.0646,2425.365,49.248,0.023556
2011-Q2,2011-04-01,2011-06-30,63,2001-04-01,2011-03-31,0.243497,0.064044,0.253068,0.154951,79.0522,6750.1768,82.1595,0.044164
2011-Q3,2011-07-01,2011-09-30,66,2001-07-01,2011-06-30,0.08714,0.019638,0.140134,0.067423,29.0966,2189.4421,46.7915,0.015763
2011-Q4,2011-10-01,2011-12-31,60,2001-10-01,2011-09-30,0.221634,0.058153,0.241149,0.219918,75.965,6831.6465,82.6538,0.039395
2012-Q1,2012-01-01,2012-03-31,62,2002-01-01,2011-12-31,0.379481,0.156372,0.395439,0.27449,131.7779,18856.6934,137.3197,0.073877
2012-Q2,2012-04-01,2012-06-30,59,2002-04-01,2012-03-31,0.0662,0.007893,0.088841,0.052504,23.4869,993.4873,31.5196,0.013008
2012-Q3,2012-07-01,2012-09-30,61,2002-07-01,2012-06-30,0.047611,0.003688,0.060733,0.039584,17.2269,482.8805,21.9745,0.009537
