periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
2019-W01,2019-12-30,2020-01-05,5,2018-12-31,2019-12-29,0.870612,0.782009,0.884313,13.918886,110.6224,12625.5049,112.3633,0.033822
2020-W02,2020-01-06,2020-01-12,5,2019-01-07,2020-01-05,0.751625,0.597137,0.772746,5.171417,95.1879,9577.127,97.8628,0.029196
2020-W03,2020-01-13,2020-01-19,5,2019-01-14,2020-01-12,0.540933,0.378586,0.615293,17.256395,67.8431,5955.0933,77.1693,0.020614
2020-W04,2020-01-20,2020-01-26,5,2019-01-21,2020-01-19,0.251375,0.107885,0.328459,0.62458,31.0734,1648.5219,40.602,0.0093
2020-W05,2020-01-27,2020-02-02,5,2019-01-28,2020-01-26,0.218869,0.066107,0.257113,0.231008,26.7632,988.4514,31.4396,0.00785
2020-W06,2020-02-03,2020-02-09,5,2019-02-04,2020-02-02,0.239378,0.098051,0.313131,0.302571,28.9924,1438.3083,37.925,0.008532
2020-W07,2020-02-10,2020-02-16,5,2019-02-11,2020-02-09,0.655087,0.52227,0.722683,0.722936,77.6812,7343.9272,85.6967,0.02273
2020-W08,2020-02-17,2020-02-23,5,2019-02-18,2020-02-16,0.624502,0.394591,0.628165,0.834239,73.1846,5418.9893,73.6138,0.021546
2020-W09,2020-02-24,2020-03-01,5,2019-02-25,2020-02-23,0.705889,0.609683,0.780822,0.512037,81.0581,8039.3975,89.6627,0.02329
2020-W10,2020-03-02,2020-03-08,5,2019-03-04,2020-03-01,0.915948,0.958248,0.978902,0.534937,102.8674,12086.2598,109.9375,0.029208
2020-W11,2020-03-09,2020-03-15,5,2019-03-11,2020-03-08,3.914911,15.820147,3.977455,0.797062,437.7892,197832.1875,444.7833,0.112637
2020-W12,2020-03-16,2020-03-22,5,2019-03-18,2020-03-15,4.180813,17.717081,4.209167,0.747131,553.8408,310914.1875,557.5968,0.135611
2020-W13,2020-03-23,2020-03-29,5,2019-03-25,2020-03-22,1.909047,3.745435,1.935313,0.443715,311.5137,99729.3984,315.7996,0.076641
2020-W14,2020-03-30,2020-04-05,5,2019-04-01,2020-03-29,1.0825,1.251508,1.118708,0.301108,202.6868,43876.1953,209.4665,0.05003
2020-W15,2020-04-06,2020-04-12,5,2019-04-08,2020-04-05,0.285805,0.122857,0.35051,0.109096,58.7709,5195.0107,72.0764,0.014929
2020-W16,2020-04-13,2020-04-19,5,2019-04-15,2020-04-12,0.238478,0.081988,0.286335,0.107087,50.9604,3743.8257,61.1868,0.013103
2020-W17,2020-04-20,2020-04-26,5,2019-04-22,2020-04-19,0.458139,0.265924,0.515678,0.165968,101.1965,12974.6016,113.9061,0.025077
2020-W18,2020-04-27,2020-05-03,5,2019-04-29,2020-04-26,0.40061,0.177733,0.421583,0.170645,93.4628,9673.9082,98.356,0.023399
2020-W19,2020-05-04,2020-05-10,5,2019-05-06,2020-05-03,0.342431,0.167558,0.409338,0.179271,83.3001,9915.4082,99.5761,0.021242
2020-W20,2020-05-11,2020-05-17,5,2019-05-13,2020-05-10,0.460715,0.225943,0.475335,0.263238,115.6066,14226.5576,119.2751,0.029581
2020-W21,2020-05-18,2020-05-24,5,2019-05-20,2020-05-17,0.74923,0.581735,0.762716,0.597804,192.4137,38367.8125,195.877,0.050575
2020-W22,2020-05-25,2020-05-31,5,2019-05-27,2020-05-24,0.911369,0.852522,0.923321,0.988123,237.083,57692.3516,240.1923,0.063546
2020-W23,2020-06-01,2020-06-07,5,2019-06-03,2020-05-31,1.039052,1.197678,1.094385,2.614517,271.9626,82051.0078,286.4455,0.075328
2020-W24,2020-06-08,2020-06-14,5,2019-06-10,2020-06-07,0.677465,0.565314,0.751874,1.201219,176.8346,38516.8516,196.2571,0.048209
2020-W25,2020-06-15,2020-06-21,5,2019-06-17,2020-06-14,0.280448,0.110546,0.332485,0.308644,73.0337,7496.9546,86.585,0.01949
2020-W26,2020-06-22,2020-06-28,5,2019-06-24,2020-06-21,0.528271,0.347103,0.589155,0.674115,137.141,23392.6504,152.9466,0.036814
2020-W27,2020-06-29,2020-07-05,5,2019-07-01,2020-06-28,0.417221,0.265377,0.515147,0.819829,107.2922,17549.5586,132.4747,0.029239
2020-W28,2020-07-06,2020-07-12,5,2019-07-08,2020-07-05,0.607926,0.371486,0.609496,1.746233,154.5368,24005.1309,154.9359,0.042579
2020-W29,2020-07-13,2020-07-19,5,2019-07-15,2020-07-12,0.425756,0.184762,0.429839,1.311344,106.5001,11560.8809,107.5215,0.02933
2020-W30,2020-07-20,2020-07-26,5,2019-07-22,2020-07-19,0.214396,0.067274,0.259373,0.631968,52.5591,4043.0579,63.585,0.014425
2020-W31,2020-07-27,2020-08-02,5,2019-07-29,2020-07-26,0.114544,0.019056,0.138044,0.174294,27.5404,1101.6292,33.1908,0.007394
2020-W32,2020-08-03,2020-08-09,5,2019-08-05,2020-08-02,0.410681,0.180998,0.425439,0.497968,98.0269,10312.2969,101.5495,0.025997
2020-W33,2020-08-10,2020-08-16,5,2019-08-12,2020-08-09,0.295084,0.111983,0.334639,0.363137,70.553,6401.6787,80.0105,0.018687
2020-W34,2020-08-17,2020-08-23,5,2019-08-19,2020-08-16,0.289071,0.092263,0.303748,0.325099,69.2682,5297.7046,72.7853,0.018217
2020-W35,2020-08-24,2020-08-30,5,2019-08-26,2020-08-23,0.463458,0.266145,0.515892,0.448817,111.2075,15323.7734,123.7892,0.028928
2020-W36,2020-08-31,2020-09-06,5,2019-09-02,2020-08-30,0.408734,0.179911,0.42416,1.227651,98.6111,10471.9854,102.3327,0.026717
2020-W37,2020-09-07,2020-09-13,5,2019-09-09,2020-09-06,0.231106,0.055695,0.235997,0.512848,55.4762,3209.2712,56.6504,0.014932
2020-W38,2020-09-14,2020-09-20,5,2019-09-16,2020-09-13,0.278183,0.086794,0.294608,0.758162,66.2524,4923.0229,70.1643,0.017892
2020-W39,2020-09-21,2020-09-27,5,2019-09-23,2020-09-20,0.364152,0.146389,0.382609,0.380941,86.0605,8176.2212,90.4225,0.022358
2020-W40,2020-09-28,2020-10-04,5,2019-09-30,2020-09-27,0.318077,0.106895,0.326947,0.31859,75.3671,6001.4424,77.469,0.019499
2020-W41,2020-10-05,2020-10-11,5,2019-10-07,2020-10-04,0.174118,0.041786,0.204415,0.206254,41.4495,2367.9897,48.662,0.010807
2020-W42,2020-10-12,2020-10-18,5,2019-10-14,2020-10-11,0.119948,0.019223,0.138647,0.139046,28.5717,1090.6953,33.0257,0.007425
2020-W43,2020-10-19,2020-10-25,5,2019-10-21,2020-10-18,0.13763,0.025795,0.160607,0.240312,32.7777,1463.0638,38.25,0.008652
2020-W44,2020-10-26,2020-11-01,5,2019-10-28,2020-10-25,0.091184,0.009555,0.097748,0.121702,21.5896,535.6365,23.1438,0.005626
2020-W45,2020-11-02,2020-11-08,5,2019-11-04,2020-11-01,0.160313,0.052983,0.23018,0.520237,37.6075,2915.7544,53.9977,0.010024
2020-W46,2020-11-09,2020-11-15,5,2019-11-11,2020-11-08,0.825633,0.685614,0.828018,5.402236,190.3687,36449.957,190.9187,0.052326
2020-W47,2020-11-16,2020-11-22,5,2019-11-18,2020-11-15,0.711443,0.509992,0.714137,4.473217,161.9416,26424.1055,162.5549,0.044458
2020-W48,2020-11-23,2020-11-29,5,2019-11-25,2020-11-22,0.635323,0.420802,0.648692,2.647003,143.0032,21319.6465,146.0125,0.039439
2020-W49,2020-11-30,2020-12-06,5,2019-12-02,2020-11-29,1.041881,1.125809,1.061041,1.586275,232.9372,56273.8047,237.221,0.066182
2020-W50,2020-12-07,2020-12-13,5,2019-12-09,2020-12-06,1.19576,1.50294,1.225945,1.190262,266.3723,74581.6641,273.0964,0.076968
2020-W51,2020-12-14,2020-12-20,5,2019-12-16,2020-12-13,1.287137,1.714719,1.309473,1.064077,284.6003,83832.8125,289.539,0.083199
2020-W52,2020-12-21,2020-12-27,5,2019-12-23,2020-12-20,0.78773,0.750062,0.866061,0.762495,172.3131,35890.5078,189.4479,0.049803
2020-W53,2020-12-28,2021-01-03,5,2019-12-30,2020-12-27,0.838077,0.758436,0.870882,0.734106,179.409,34756.7695,186.4317,0.052069
2021-W01,2021-01-04,2021-01-10,5,2020-01-06,2021-01-03,0.4834,0.306614,0.553727,0.402794,100.8571,13347.2236,115.5302,0.029282
2021-W02,2021-01-11,2021-01-17,5,2020-01-13,2021-01-10,0.375812,0.177942,0.421832,0.329627,76.1446,7304.9307,85.4689,0.021949
2021-W03,2021-01-18,2021-01-24,5,2020-01-20,2021-01-17,0.165393,0.037,0.192353,0.159747,32.6503,1441.9143,37.9725,0.009338
2021-W04,2021-01-25,2021-01-31,5,2020-01-27,2021-01-24,0.625098,0.398378,0.631172,1.095083,120.9425,14912.7344,122.1177,0.033663
2021-W05,2021-02-01,2021-02-07,5,2020-02-03,2021-01-31,0.296546,0.0894,0.298998,0.34838,56.1849,3209.1643,56.6495,0.015839
2021-W06,2021-02-08,2021-02-14,5,2020-02-10,2021-02-07,0.2702,0.087587,0.295951,0.329887,50.0722,3007.8774,54.8441,0.014071
2021-W07,2021-02-15,2021-02-21,5,2020-02-17,2021-02-14,0.199443,0.056921,0.238581,0.211532,36.2558,1881.0082,43.3706,0.010232
2021-W08,2021-02-22,2021-02-28,5,2020-02-24,2021-02-21,0.52047,0.300006,0.547728,0.758202,92.7073,9518.4629,97.5626,0.025785
2021-W09,2021-03-01,2021-03-07,5,2020-03-02,2021-02-28,0.765211,0.593283,0.770249,1.717307,134.2067,18249.3633,135.0902,0.036867
2021-W10,2021-03-08,2021-03-14,5,2020-03-09,2021-03-07,0.288732,0.122633,0.35019,0.40448,49.9865,3675.554,60.6263,0.013896
2021-W11,2021-03-15,2021-03-21,5,2020-03-16,2021-03-14,0.101388,0.015155,0.123106,0.111524,17.4979,451.392,21.246,0.004914
2021-W12,2021-03-22,2021-03-28,5,2020-03-23,2021-03-21,0.355812,0.190646,0.43663,0.978245,59.0775,5255.71,72.4963,0.016269
2021-W13,2021-03-29,2021-04-04,5,2020-03-30,2021-03-28,0.859098,0.750575,0.866357,18.596237,136.63,18984.5742,137.7845,0.036883
2021-W14,2021-04-05,2021-04-11,5,2020-04-06,2021-04-04,0.431127,0.213138,0.461669,1.540455,65.2331,4879.6216,69.8543,0.017881
2021-W15,2021-04-12,2021-04-18,5,2020-04-13,2021-04-11,0.225936,0.074673,0.273264,1.507315,33.4638,1638.1116,40.4736,0.009143
2021-W16,2021-04-19,2021-04-25,5,2020-04-20,2021-04-18,0.101303,0.017465,0.132154,0.313027,14.711,368.3039,19.1912,0.004049
2021-W17,2021-04-26,2021-05-02,5,2020-04-27,2021-04-25,0.558385,0.348293,0.590163,2.011508,76.6104,6556.1982,80.9704,0.020638
2021-W18,2021-05-03,2021-05-09,5,2020-05-04,2021-05-02,1.405415,2.010922,1.41807,1.277227,182.9226,34065.9688,184.5697,0.04791
