periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
2019-W01,2019-12-30,2020-01-12,10,2018-12-31,2019-12-29,1.002604,1.041443,1.020511,11.696429,127.3938,16814.0742,129.6691,0.039008
2020-W03,2020-01-13,2020-01-26,10,2019-01-14,2020-01-12,0.418275,0.258677,0.508603,9.093277,52.4594,4068.9399,63.7882,0.015856
2020-W05,2020-01-27,2020-02-09,10,2019-01-28,2020-01-26,0.390281,0.2032,0.450777,0.467887,47.7233,3038.3013,55.1208,0.014051
2020-W07,2020-02-10,2020-02-23,10,2019-02-11,2020-02-09,0.402687,0.183237,0.428062,0.476704,47.7512,2576.5991,50.7602,0.014013
2020-W09,2020-02-24,2020-03-08,10,2019-02-25,2020-02-23,1.296044,1.821584,1.349661,0.859536,148.8262,24019.7852,154.9832,0.042546
2020-W11,2020-03-09,2020-03-22,10,2019-03-11,2020-03-08,4.857115,24.817316,4.981698,0.827202,543.1522,310342.5,557.0839,0.135707
2020-W13,2020-03-23,2020-04-05,10,2019-03-25,2020-03-22,1.956981,4.075911,2.018888,0.456503,319.3355,108528.9609,329.4373,0.078627
2020-W15,2020-04-06,2020-04-19,10,2019-04-08,2020-04-05,0.348231,0.190927,0.436951,0.140089,71.6077,8073.3018,89.8516,0.018321
2020-W17,2020-04-20,2020-05-03,10,2019-04-22,2020-04-19,0.410425,0.213113,0.461642,0.153678,90.6571,10397.9072,101.9701,0.022562
2020-W19,2020-05-04,2020-05-17,10,2019-05-06,2020-05-03,0.352935,0.197552,0.444468,0.186343,85.8555,11690.3379,108.1219,0.021918
2020-W21,2020-05-18,2020-05-31,10,2019-05-20,2020-05-17,0.931903,0.907235,0.952489,0.863512,239.3269,59835.7695,244.6135,0.063593
2020-W23,2020-06-01,2020-06-14,10,2019-06-03,2020-05-31,1.082334,1.25273,1.119254,2.228534,283.2912,85822.5234,292.9548,0.077754
