periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
1998,1998-01-01,1998-12-31,261,1993-01-01,1997-12-31,0.878538,1.182217,1.087298,0.232567,124.6127,23784.8594,154.2234,0.0838
1999,1999-01-01,1999-12-31,261,1994-01-01,1998-12-31,0.954102,1.471662,1.213121,0.258821,208.3278,70163.7578,264.8844,0.110513
2000,2000-01-01,2000-12-31,260,1995-01-01,1999-12-31,0.51263,0.357056,0.597542,0.184007,163.9992,36543.5938,191.1638,0.076281
2001,2001-01-01,2001-12-31,261,1996-01-01,2000-12-31,0.336805,0.120126,0.346593,0.167292,136.6121,19763.2871,140.582,0.059211
2002,2002-01-01,2002-12-31,261,1997-01-01,2001-12-31,0.507256,0.473393,0.688036,0.236148,221.3791,90165.4844,300.2757,0.081818
2003,2003-01-01,2003-12-31,261,1998-01-01,2002-12-31,0.142924,0.03281,0.181135,0.066198,58.7354,5541.0366,74.4381,0.020208
2004,2004-01-01,2004-12-31,262,1999-01-01,2003-12-31,0.523554,0.339304,0.582498,1.61707,210.2614,54724.8086,233.9333,0.081738
2005,2005-01-01,2005-12-31,260,2000-01-01,2004-12-31,0.514394,0.28216,0.531188,0.950417,152.38,24760.582,157.3549,0.065853
2006,2006-01-01,2006-12-31,259,2001-01-01,2005-12-31,0.37886,0.277894,0.527156,1.907302,91.6213,16252.2588,127.4843,0.037394
2007,2007-01-01,2007-12-31,257,2002-01-01,2006-12-31,0.874658,0.978318,0.9891,0.409242,205.8908,54209.7852,232.83,0.102199
2008,2008-01-01,2008-12-31,256,2003-01-01,2007-12-31,0.68365,0.58069,0.76203,0.791976,196.3952,47922.4492,218.912,0.0998
2009,2009-01-01,2009-12-31,258,2004-01-01,2008-12-31,0.749011,0.706721,0.840667,0.998916,196.5124,48646.5508,220.5596,0.09339
2010,2010-01-01,2010-12-31,260,2005-01-01,2009-12-31,0.402106,0.232439,0.48212,0.272456,84.0428,10153.8496,100.7663,0.045296
2011,2011-01-01,2011-12-31,253,2006-01-01,2010-12-31,0.315443,0.137199,0.370404,0.269833,69.5331,6666.4404,81.6483,0.03832
2012,2012-01-01,2012-12-31,243,2007-01-01,2011-12-31,0.657426,0.454095,0.673866,0.621988,121.8572,15601.1416,124.9045,0.068078
2013,2013-01-01,2013-12-31,242,2008-01-01,2012-12-31,0.409046,0.230745,0.48036,16.383348,76.6667,8105.9351,90.033,0.04035
2014,2014-01-01,2014-12-31,240,2009-01-01,2013-12-31,0.615026,0.861572,0.928209,1.032384,100.8197,23152.3809,152.1591,0.047386
2015,2015-01-01,2015-12-31,250,2010-01-01,2014-12-31,5.467817,38.214561,6.181793,0.589944,551.5887,388894.4062,623.614,0.191638
2016,2016-01-01,2016-12-31,252,2011-01-01,2015-12-31,0.364585,0.173764,0.41685,0.149406,141.6149,26216.7988,161.916,0.046925
2017,2017-01-01,2017-12-31,233,2012-01-01,2016-12-31,0.188387,0.04543,0.213144,0.164039,101.155,13098.3086,114.4478,0.034608
2018,2018-01-01,2018-12-31,244,2013-01-01,2017-12-31,0.260607,0.085794,0.292907,0.36554,135.1955,23089.332,151.9517,0.045785
2019,2019-01-01,2019-12-31,251,2014-01-01,2018-12-31,0.301489,0.132734,0.364327,0.219096,126.3344,23306.7852,152.6656,0.037706
2020,2020-01-01,2020-12-31,244,2015-01-01,2019-12-31,1.280536,2.248903,1.499634,0.407124,313.9394,135169.4688,367.654,0.082404
2021,2021-01-01,2021-12-31,246,2016-01-01,2020-12-31,0.546764,0.436334,0.660556,0.283421,171.8671,43112.7305,207.636,0.044862
2022,2022-01-01,2022-12-31,250,2017-01-01,2021-12-31,0.994508,1.733545,1.316641,0.341361,371.1303,241418.9844,491.3441,0.081563
2023,2023-01-01,2023-12-31,239,2018-01-01,2022-12-31,1.141971,1.703795,1.305295,1.164395,568.9421,422905.5312,650.3119,0.137619
2024,2024-01-01,2024-12-31,246,2019-01-01,2023-12-31,0.357104,0.185337,0.430508,3.398865,166.3166,40201.6211,200.5034,0.040032
