periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
1997-W52,1997-12-22,1997-12-28,5,1992-12-28,1997-12-21,0.10846,0.012189,0.110405,0.043446,15.1423,237.5893,15.4139,0.011765
1997-W01,1997-12-29,1998-01-04,5,1993-01-04,1997-12-28,0.063532,0.004508,0.067143,0.025481,8.9542,89.5512,9.4631,0.006933
1998-W02,1998-01-05,1998-01-11,5,1993-01-11,1998-01-04,0.114745,0.013808,0.117508,0.043728,16.3004,278.6517,16.6929,0.012396
1998-W03,1998-01-12,1998-01-18,5,1993-01-18,1998-01-11,0.098409,0.009917,0.099583,0.037837,14.1099,203.8686,14.2783,0.010711
1998-W04,1998-01-19,1998-01-25,5,1993-01-25,1998-01-18,0.145128,0.022357,0.149521,0.054897,21.0007,468.1346,21.6364,0.0158
1998-W05,1998-01-26,1998-02-01,5,1993-02-01,1998-01-25,0.146879,0.022366,0.149554,0.055176,21.4572,477.34,21.8481,0.01604
1998-W06,1998-02-02,1998-02-08,5,1993-02-08,1998-02-01,0.118776,0.0148,0.121654,0.044531,17.5205,322.0193,17.9449,0.013031
1998-W07,1998-02-09,1998-02-15,5,1993-02-15,1998-02-08,0.053711,0.003881,0.062296,0.020265,8.0003,86.0997,9.279,0.005934
1998-W08,1998-02-16,1998-02-22,5,1993-02-22,1998-02-15,0.044331,0.003423,0.058507,0.016886,6.6671,77.4219,8.799,0.004937
1998-W09,1998-02-23,1998-03-01,5,1993-03-01,1998-02-22,0.079188,0.00881,0.093863,0.031709,12.0247,203.1524,14.2532,0.008992
1998-W10,1998-03-02,1998-03-08,5,1993-03-08,1998-03-01,0.053312,0.00325,0.05701,0.021167,8.166,76.2562,8.7325,0.006067
1998-W11,1998-03-09,1998-03-15,5,1993-03-15,1998-03-08,0.037246,0.001833,0.042811,0.014622,5.7563,43.7774,6.6164,0.004245
1998-W12,1998-03-16,1998-03-22,5,1993-03-22,1998-03-15,0.059221,0.003898,0.062434,0.023396,9.2363,94.8181,9.7375,0.006794
1998-W13,1998-03-23,1998-03-29,5,1993-03-29,1998-03-22,0.043207,0.002096,0.045778,0.017141,6.8,51.9067,7.2046,0.004986
1998-W14,1998-03-30,1998-04-05,5,1993-04-05,1998-03-29,0.027028,0.000873,0.029555,0.010988,4.2917,22.0239,4.693,0.003156
1998-W15,1998-04-06,1998-04-12,5,1993-04-12,1998-04-05,0.026362,0.001461,0.038221,0.011035,4.221,37.4521,6.1198,0.003117
1998-W16,1998-04-13,1998-04-19,5,1993-04-19,1998-04-12,0.017965,0.000416,0.020407,0.007465,2.8993,10.8475,3.2936,0.002128
1998-W17,1998-04-20,1998-04-26,5,1993-04-26,1998-04-19,0.039055,0.001879,0.043343,0.016725,6.3538,49.723,7.0515,0.004686
1998-W18,1998-04-27,1998-05-03,5,1993-05-03,1998-04-26,0.030656,0.00149,0.038607,0.012893,5.0247,40.0416,6.3278,0.003673
1998-W19,1998-05-04,1998-05-10,5,1993-05-10,1998-05-03,0.077218,0.008,0.089444,0.031925,12.7535,218.2353,14.7728,0.009241
1998-W20,1998-05-11,1998-05-17,5,1993-05-17,1998-05-10,0.109939,0.012274,0.110787,0.045386,18.3038,340.2179,18.445,0.013204
1998-W21,1998-05-18,1998-05-24,5,1993-05-24,1998-05-17,0.106963,0.011655,0.107957,0.044174,17.9567,328.4661,18.1236,0.012902
1998-W22,1998-05-25,1998-05-31,5,1993-05-31,1998-05-24,0.076585,0.006027,0.077636,0.031734,12.964,172.7101,13.1419,0.009286
1998-W23,1998-06-01,1998-06-07,5,1993-06-07,1998-05-31,0.027338,0.001025,0.032008,0.011451,4.6655,29.8374,5.4624,0.003339
1998-W24,1998-06-08,1998-06-14,5,1993-06-14,1998-06-07,0.074155,0.006412,0.080076,0.032807,12.7558,189.7303,13.7743,0.009236
1998-W25,1998-06-15,1998-06-21,5,1993-06-21,1998-06-14,0.030264,0.001357,0.036842,0.0134,5.242,40.7211,6.3813,0.003783
1998-W26,1998-06-22,1998-06-28,5,1993-06-28,1998-06-21,0.082546,0.01002,0.100102,0.038353,14.3978,304.8513,17.46,0.010491
1998-W27,1998-06-29,1998-07-05,5,1993-07-05,1998-06-28,0.189361,0.040902,0.202241,0.093195,33.2406,1260.3636,35.5016,0.024513
1998-W28,1998-07-06,1998-07-12,5,1993-07-12,1998-07-05,0.116673,0.016594,0.128818,0.057449,20.5893,516.762,22.7324,0.01514
1998-W29,1998-07-13,1998-07-19,5,1993-07-19,1998-07-12,0.025795,0.001374,0.037066,0.012299,4.5765,43.2483,6.5763,0.003327
1998-W30,1998-07-20,1998-07-26,5,1993-07-26,1998-07-19,0.043273,0.002652,0.051496,0.020824,7.7229,84.4637,9.1904,0.00561
1998-W31,1998-07-27,1998-08-02,5,1993-08-02,1998-07-26,0.081162,0.007565,0.086977,0.04029,14.5673,243.7021,15.611,0.010636
1998-W32,1998-08-03,1998-08-09,5,1993-08-09,1998-08-02,0.13137,0.018081,0.134466,0.067442,23.7011,588.5294,24.2596,0.017406
1998-W33,1998-08-10,1998-08-16,5,1993-08-16,1998-08-09,0.048414,0.003073,0.055439,0.024946,8.7759,100.9862,10.0492,0.006433
1998-W34,1998-08-17,1998-08-23,5,1993-08-23,1998-08-16,0.055618,0.004655,0.068231,0.026866,10.1303,154.4474,12.4277,0.007279
1998-W35,1998-08-24,1998-08-30,5,1993-08-30,1998-08-23,0.274344,0.078113,0.279486,0.122704,50.2404,2619.6094,51.1821,0.035224
1998-W36,1998-08-31,1998-09-06,5,1993-09-06,1998-08-30,0.441849,0.248244,0.49824,0.170719,81.4762,8440.9473,91.8746,0.054352
1998-W37,1998-09-07,1998-09-13,5,1993-09-13,1998-09-06,0.401647,0.181766,0.426341,0.152621,74.7555,6296.6797,79.3516,0.049448
1998-W38,1998-09-14,1998-09-20,5,1993-09-20,1998-09-13,0.309675,0.104839,0.323789,0.118132,58.2416,3708.3379,60.8961,0.03838
1998-W39,1998-09-21,1998-09-27,5,1993-09-27,1998-09-20,0.208874,0.046374,0.215346,0.077112,39.7006,1675.3248,40.9307,0.025746
