periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
1999,1999-01-01,2000-12-31,521,1993-01-01,1998-12-31,1.569196,3.303219,1.817476,0.351509,353.9551,168065.7969,409.9583,0.173419
2001,2001-01-01,2002-12-31,522,1995-01-01,2000-12-31,0.430017,0.38609,0.621362,0.157818,184.3829,70983.6953,266.4276,0.071288
2003,2003-01-01,2004-12-31,523,1997-01-01,2002-12-31,0.294595,0.151153,0.388784,0.200895,146.9673,37619.0117,193.9562,0.055995
2005,2005-01-01,2006-12-31,519,1999-01-01,2004-12-31,0.36691,0.155767,0.394674,9.560731,142.1681,23386.2656,152.9257,0.061385
2007,2007-01-01,2008-12-31,513,2001-01-01,2006-12-31,1.147468,1.82488,1.350881,0.50222,267.3527,99065.4062,314.7466,0.140437
2009,2009-01-01,2010-12-31,518,2003-01-01,2008-12-31,0.70486,0.591594,0.769151,1.231937,232.3304,64273.2422,253.5217,0.117801
2011,2011-01-01,2012-12-31,496,2005-01-01,2010-12-31,0.227092,0.070611,0.265727,0.170215,49.7326,3386.5034,58.1937,0.027341
2013,2013-01-01,2014-12-31,482,2007-01-01,2012-12-31,0.71589,0.898112,0.947688,2.843105,131.9805,30525.082,174.7143,0.06516
2015,2015-01-01,2016-12-31,502,2009-01-01,2014-12-31,4.311545,21.522873,4.639275,0.685709,698.9153,565566.3125,752.0414,0.233491
2017,2017-01-01,2018-12-31,477,2011-01-01,2016-12-31,0.231944,0.072696,0.269622,0.178283,120.3719,19579.2188,139.9258,0.041304
2019,2019-01-01,2020-12-31,495,2013-01-01,2018-12-31,0.60478,0.597213,0.772795,0.2965,304.3875,151282.4219,388.9504,0.082796
2021,2021-01-01,2022-12-31,496,2015-01-01,2020-12-31,1.305032,3.017982,1.737234,0.426604,458.5124,372543.3125,610.3633,0.106442
2023,2023-01-01,2024-12-31,485,2017-01-01,2022-12-31,1.478652,2.56017,1.600053,1.426664,759.7034,675811.125,822.0773,0.18673
