periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
1995-S1,1995-01-01,1995-06-30,130,1993-01-01,1994-12-31,1.280625,1.861824,1.364487,0.566002,34.5228,1353.0259,36.7835,0.03971
1995-S2,1995-07-01,1995-12-31,130,1993-07-01,1995-06-30,3.508214,14.959286,3.867724,0.581663,81.967,8166.1396,90.3667,0.083819
1996-S1,1996-01-01,1996-06-30,130,1994-01-01,1995-12-31,0.861063,0.867128,0.931197,0.277829,50.7694,3014.522,54.9047,0.048181
1996-S2,1996-07-01,1996-12-31,132,1994-07-01,1996-06-30,0.523181,0.362672,0.602223,0.54053,46.1788,2825.5024,53.1555,0.045612
1997-S1,1997-01-01,1997-06-30,129,1995-01-01,1996-12-31,0.832954,0.764969,0.874625,0.68445,62.7022,4334.7827,65.8391,0.058652
1997-S2,1997-07-01,1997-12-31,132,1995-07-01,1997-06-30,2.768439,10.299791,3.209329,0.591645,130.8434,23007.1094,151.6809,0.103738
1998-S1,1998-01-01,1998-06-30,129,1996-01-01,1997-12-31,0.749355,0.638486,0.799053,0.236848,65.8442,4929.5908,70.211,0.048144
1998-S2,1998-07-01,1998-12-31,132,1996-07-01,1998-06-30,0.792252,0.887563,0.942106,0.298281,110.2174,17178.0234,131.065,0.071396
1999-S1,1999-01-01,1999-06-30,129,1997-01-01,1998-12-31,0.299719,0.176899,0.420594,0.142273,51.1215,5146.4062,71.7385,0.030955
1999-S2,1999-07-01,1999-12-31,132,1997-07-01,1999-06-30,1.37266,2.038922,1.427908,0.424889,216.5869,50761.9961,225.3042,0.112153
2000-S1,2000-01-01,2000-06-30,130,1998-01-01,1999-12-31,0.312923,0.190516,0.436481,0.144252,67.3298,8820.0283,93.915,0.032545
2000-S2,2000-07-01,2000-12-31,130,1998-07-01,2000-06-30,0.222581,0.067119,0.259073,0.114119,49.9402,3378.8467,58.1278,0.02279
2001-S1,2001-01-01,2001-06-30,130,1999-01-01,2000-12-31,0.389296,0.186369,0.431705,0.223074,84.4548,8771.2783,93.6551,0.036607
2001-S2,2001-07-01,2001-12-31,131,1999-07-01,2001-06-30,0.203184,0.057467,0.239723,0.154494,31.7644,1404.4989,37.4766,0.013794
2002-S1,2002-01-01,2002-06-30,129,2000-01-01,2001-12-31,0.260223,0.097995,0.313041,0.388555,33.7371,1647.1289,40.5848,0.014649
