periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
2019-W01,2019-12-30,2020-01-05,4,2018-12-31,2019-12-29,1.032186,1.12485,1.06059,14.154684,132.057,18412.041,135.691,0.040401
2020-W02,2020-01-06,2020-01-12,5,2019-01-07,2020-01-05,1.020267,1.047716,1.02358,7.649474,130.1014,17036.4902,130.5239,0.039886
2020-W03,2020-01-13,2020-01-19,5,2019-01-14,2020-01-12,0.734556,0.598548,0.773659,18.686481,92.7348,9539.6953,97.6714,0.02813
2020-W04,2020-01-20,2020-01-26,5,2019-01-21,2020-01-19,0.258967,0.076372,0.276354,0.544792,32.207,1181.2595,34.3695,0.009611
2020-W05,2020-01-27,2020-02-02,5,2019-01-28,2020-01-26,0.367142,0.184396,0.429414,0.391778,45.1465,2788.2524,52.8039,0.013241
2020-W06,2020-02-03,2020-02-09,5,2019-02-04,2020-02-02,0.3898,0.187007,0.432443,0.562548,47.4496,2771.02,52.6405,0.014008
2020-W07,2020-02-10,2020-02-16,5,2019-02-11,2020-02-09,0.525779,0.333034,0.577091,0.588483,62.5976,4720.5981,68.7066,0.018314
2020-W08,2020-02-17,2020-02-23,5,2019-02-18,2020-02-16,0.350081,0.148419,0.385252,0.463764,41.1547,2051.125,45.2893,0.012109
2020-W09,2020-02-24,2020-03-01,5,2019-02-25,2020-02-23,0.95072,1.094073,1.045979,0.708367,109.3747,14480.2002,120.3337,0.031438
2020-W10,2020-03-02,2020-03-08,5,2019-03-04,2020-03-01,0.930857,1.047261,1.023358,0.539743,104.5437,13209.4785,114.9325,0.029642
2020-W11,2020-03-09,2020-03-15,5,2019-03-11,2020-03-08,3.944691,16.017326,4.002165,0.806242,440.5143,199748.75,446.9326,0.113356
2020-W12,2020-03-16,2020-03-22,5,2019-03-18,2020-03-15,3.696862,13.708694,3.702525,0.665281,491.0893,241908.125,491.8416,0.120257
2020-W13,2020-03-23,2020-03-29,4,2019-03-25,2020-03-22,1.692202,2.98254,1.727003,0.40109,277.8867,80429.8594,283.6016,0.068456
2020-W14,2020-03-30,2020-04-05,5,2019-04-01,2020-03-29,1.006339,1.120702,1.058632,0.27514,185.0932,37912.4805,194.7113,0.045688
2020-W15,2020-04-06,2020-04-12,3,2019-04-08,2020-04-05,0.136914,0.021912,0.148027,0.05397,27.8315,905.4375,30.0905,0.007112
2020-W16,2020-04-13,2020-04-19,5,2019-04-15,2020-04-12,0.340544,0.161921,0.402394,0.151377,70.8311,7004.9492,83.6956,0.018265
2020-W17,2020-04-20,2020-04-26,5,2019-04-22,2020-04-19,0.342662,0.141005,0.375506,0.120926,74.0408,6583.3047,81.1376,0.018349
2020-W18,2020-04-27,2020-05-03,4,2019-04-29,2020-04-26,0.206089,0.045734,0.213856,0.086178,47.2899,2408.0718,49.0721,0.011841
2020-W19,2020-05-04,2020-05-10,5,2019-05-06,2020-05-03,0.337061,0.159842,0.399803,0.17146,80.3914,9092.6895,95.3556,0.0205
2020-W20,2020-05-11,2020-05-17,5,2019-05-13,2020-05-10,0.510245,0.286805,0.535542,0.285956,125.965,17479.5117,132.2101,0.03225
2020-W21,2020-05-18,2020-05-24,5,2019-05-20,2020-05-17,0.840363,0.749589,0.865788,0.657713,212.8467,48086.5234,219.2864,0.055965
2020-W22,2020-05-25,2020-05-31,4,2019-05-27,2020-05-24,1.01852,1.040395,1.019997,1.108569,261.6592,68664.2422,262.0386,0.070281
2020-W23,2020-06-01,2020-06-07,5,2019-06-03,2020-05-31,1.099853,1.293932,1.137511,2.530018,284.36,86492.6484,294.0963,0.078652
2020-W24,2020-06-08,2020-06-14,5,2019-06-10,2020-06-07,0.637179,0.446695,0.668352,1.000843,164.0484,29609.5781,172.0743,0.044541
