periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
2020-01,2020-01-01,2020-02-29,42,2019-01-01,2019-12-31,0.472219,0.356764,0.597297,2.634819,60.1745,5793.2095,76.1131,0.018055
2020-03,2020-03-01,2020-04-30,41,2019-03-01,2020-02-29,5.112013,28.628847,5.350593,0.939815,577.5912,365477.9375,604.5477,0.145071
2020-05,2020-05-01,2020-06-30,38,2019-05-01,2020-04-30,0.951143,1.218192,1.103717,0.930377,226.5793,69129.6172,262.9251,0.060939
2020-07,2020-07-01,2020-08-31,42,2019-07-01,2020-06-30,0.456858,0.303906,0.551276,0.885579,116.0958,19624.9785,140.0892,0.031598
2020-09,2020-09-01,2020-10-31,42,2019-09-01,2020-08-31,0.482744,0.299469,0.547238,0.547831,115.5697,17163.5273,131.0096,0.030211
2020-11,2020-11-01,2020-12-31,39,2019-11-01,2020-10-31,1.168309,1.614782,1.270741,4.668175,274.9433,89430.3359,299.049,0.078318
2021-01,2021-01-01,2021-02-28,39,2020-01-01,2020-12-31,0.363842,0.183965,0.428911,0.4499,77.5535,8358.1797,91.4231,0.022154
2021-03,2021-03-01,2021-04-30,41,2020-03-01,2021-02-28,0.766934,0.668598,0.817679,14.43685,133.9905,20407.8594,142.8561,0.036707
2021-05,2021-05-01,2021-06-30,40,2020-05-01,2021-04-30,0.671681,0.60162,0.775641,2.250892,87.0505,10105.0342,100.5238,0.023238
2021-07,2021-07-01,2021-08-31,41,2020-07-01,2021-06-30,1.279517,1.854426,1.361773,0.747656,151.5931,26030.1348,161.3386,0.039087
2021-09,2021-09-01,2021-10-31,43,2020-09-01,2021-08-31,0.383295,0.196105,0.442837,0.615189,53.1593,3772.0767,61.4172,0.014054
2021-11,2021-11-01,2021-12-31,42,2020-11-01,2021-10-31,1.033493,1.282258,1.132368,0.513198,141.4793,24029.5742,155.0148,0.035605
2022-01,2022-01-01,2022-02-28,41,2021-01-01,2021-12-31,0.30052,0.133002,0.364694,0.206675,44.608,2930.4805,54.1339,0.011216
2022-03,2022-03-01,2022-04-30,42,2021-03-01,2022-02-28,1.476425,2.530476,1.590747,9.857015,191.736,42676.2734,206.5824,0.050817
2022-05,2022-05-01,2022-06-30,41,2021-05-01,2022-04-30,1.740814,4.033442,2.008343,2.11603,180.5979,43410.6328,208.3522,0.044669
2022-07,2022-07-01,2022-08-31,42,2021-07-01,2022-06-30,3.773939,15.343888,3.917128,0.807171,385.1078,159775.5312,399.7193,0.087808
2022-09,2022-09-01,2022-10-31,43,2021-09-01,2022-08-31,0.98987,1.81844,1.348495,0.275217,201.9272,75671.4688,275.0845,0.042505
2022-11,2022-11-01,2022-12-31,41,2021-11-01,2022-10-31,0.921461,0.99129,0.995636,0.358589,273.6872,87449.125,295.718,0.056019
2023-01,2023-01-01,2023-02-28,40,2022-01-01,2022-12-31,0.407663,0.251899,0.501895,0.420575,159.3046,38466.2422,196.1281,0.034118
2023-03,2023-03-01,2023-04-30,38,2022-03-01,2023-02-28,0.361268,0.1963,0.443058,1.616934,146.4196,32244.8027,179.5684,0.032117
2023-05,2023-05-01,2023-06-30,41,2022-05-01,2023-04-30,1.034048,1.427134,1.194627,5.029874,327.2849,142966.7812,378.1095,0.076864
2023-07,2023-07-01,2023-08-31,40,2022-07-01,2023-06-30,1.452646,2.28488,1.511582,0.622201,336.7744,122806.5859,350.4377,0.083407
2023-09,2023-09-01,2023-10-31,42,2022-09-01,2023-08-31,0.372722,0.199305,0.446436,0.319811,111.328,17781.0723,133.3457,0.026908
2023-11,2023-11-01,2023-12-31,38,2022-11-01,2023-10-31,0.327113,0.144264,0.379821,0.221729,109.1773,16070.4189,126.7692,0.027582
2024-01,2024-01-01,2024-02-29,42,2023-01-01,2023-12-31,0.15015,0.03281,0.181137,0.121161,47.4945,3282.8516,57.2962,0.012098
2024-03,2024-03-01,2024-04-30,40,2023-03-01,2024-02-29,0.152193,0.044553,0.211076,0.125586,40.9795,3230.1333,56.8343,0.010674
2024-05,2024-05-01,2024-06-30,39,2023-05-01,2024-04-30,0.562773,0.639212,0.799508,1.306424,105.1894,22331.7402,149.4381,0.025762
2024-07,2024-07-01,2024-08-31,42,2023-07-01,2024-06-30,0.885461,1.054471,1.026874,2.032728,103.095,14294.5625,119.5599,0.025284
2024-09,2024-09-01,2024-10-31,43,2023-09-01,2024-08-31,1.517273,2.71137,1.646624,0.681526,170.9711,34427.6172,185.5468,0.040142
2024-11,2024-11-01,2024-12-31,40,2023-11-01,2024-10-31,1.295689,1.805566,1.343713,0.446229,174.9499,32918.457,181.4344,0.039704
2025-01,2025-01-01,2025-02-28,41,2024-01-01,2024-12-31,0.939461,1.136824,1.06622,24.631714,182.1743,42747.4258,206.7545,0.043821
2025-03,2025-03-01,2025-04-30,40,2024-03-01,2025-02-28,0.478405,0.294676,0.54284,10.193136,90.5354,10553.3008,102.7293,0.021608
2025-05,2025-05-01,2025-06-30,40,2024-05-01,2025-04-30,0.380515,0.226301,0.475711,4.985143,60.793,5776.2842,76.0019,0.014694
2025-07,2025-07-01,2025-08-31,42,2024-07-01,2025-06-30,1.077668,1.359736,1.166077,0.800006,134.5214,21186.9004,145.5572,0.033392
2025-09,2025-09-01,2025-10-31,44,2024-09-01,2025-08-31,1.20567,1.551556,1.245615,0.478733,150.5127,24180.0332,155.4993,0.038718
