periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
2019-W01,2019-12-30,2020-01-12,9,2018-12-31,2019-12-29,1.081569,1.200863,1.095839,11.632482,138.3751,19656.25,140.2007,0.042381
2020-W03,2020-01-13,2020-01-26,10,2019-01-14,2020-01-12,0.474326,0.311304,0.557946,12.264001,59.8818,4961.5854,70.4385,0.018105
2020-W05,2020-01-27,2020-02-09,10,2019-01-28,2020-01-26,0.250421,0.086395,0.29393,0.287874,30.7936,1306.376,36.1438,0.00905
2020-W07,2020-02-10,2020-02-23,10,2019-02-11,2020-02-09,0.431008,0.229379,0.478935,0.520063,51.3144,3251.3442,57.0206,0.01506
2020-W09,2020-02-24,2020-03-08,10,2019-02-25,2020-02-23,1.21547,1.64778,1.283659,0.805367,139.8326,21808.5801,147.6773,0.039947
2020-W11,2020-03-09,2020-03-22,10,2019-03-11,2020-03-08,4.919446,25.36347,5.036216,0.841046,549.368,316302.5625,562.4078,0.137294
2020-W13,2020-03-23,2020-04-05,9,2019-03-25,2020-03-22,2.022949,4.250604,2.061699,0.481765,332.2006,114625.625,338.5641,0.081926
2020-W15,2020-04-06,2020-04-19,8,2019-04-08,2020-04-05,0.166704,0.034257,0.185087,0.065242,33.8873,1415.5659,37.624,0.00865
2020-W17,2020-04-20,2020-05-03,9,2019-04-22,2020-04-19,0.630177,0.504935,0.710588,0.230271,136.1657,23574.6953,153.5405,0.033899
2020-W19,2020-05-04,2020-05-17,10,2019-05-06,2020-05-03,0.483133,0.315769,0.561933,0.249259,115.2305,17962.6543,134.0248,0.029435
2020-W21,2020-05-18,2020-05-31,9,2019-05-20,2020-05-17,0.969671,0.98222,0.99107,0.885741,245.5979,63009.9102,251.0177,0.0653
2020-W23,2020-06-01,2020-06-14,10,2019-06-03,2020-05-31,1.084577,1.267982,1.126047,2.158984,280.4105,84757.9922,291.1323,0.076981
2020-W25,2020-06-15,2020-06-28,8,2019-06-17,2020-06-14,0.498012,0.264649,0.514441,0.55931,127.9583,17471.4141,132.1795,0.034241
2020-W27,2020-06-29,2020-07-12,9,2019-07-01,2020-06-28,0.671627,0.496627,0.704718,1.506158,170.7289,32091.3984,179.1407,0.046853
2020-W29,2020-07-13,2020-07-26,9,2019-07-15,2020-07-12,0.474334,0.250118,0.500118,1.28752,117.4865,15344.457,123.8727,0.032316
