periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
2019-W01,2019-12-30,2020-01-05,5,2018-12-31,2019-12-29,0.869678,0.78045,0.883431,13.898915,110.5037,12600.3467,112.2513,0.033785
2020-W02,2020-01-06,2020-01-12,5,2019-01-07,2020-01-05,0.752147,0.59749,0.772975,5.179659,95.254,9582.7881,97.8917,0.029216
2020-W03,2020-01-13,2020-01-19,5,2019-01-14,2020-01-12,0.541471,0.379274,0.615852,17.25329,67.9105,5965.9248,77.2394,0.020634
2020-W04,2020-01-20,2020-01-26,5,2019-01-21,2020-01-19,0.251382,0.107872,0.328438,0.624521,31.0742,1648.316,40.5995,0.009301
2020-W05,2020-01-27,2020-02-02,5,2019-01-28,2020-01-26,0.219271,0.066771,0.2584,0.231185,26.8124,998.375,31.5971,0.007864
2020-W06,2020-02-03,2020-02-09,5,2019-02-04,2020-02-02,0.239982,0.098141,0.313275,0.303423,29.0655,1439.6349,37.9425,0.008554
2020-W07,2020-02-10,2020-02-16,5,2019-02-11,2020-02-09,0.655536,0.522227,0.722652,0.7237,77.7344,7343.3115,85.6931,0.022746
2020-W08,2020-02-17,2020-02-23,5,2019-02-18,2020-02-16,0.624996,0.395238,0.62868,0.834857,73.2424,5427.8662,73.6741,0.021563
2020-W09,2020-02-24,2020-03-01,5,2019-02-25,2020-02-23,0.705373,0.610748,0.781504,0.511157,80.9988,8053.4492,89.741,0.023272
2020-W10,2020-03-02,2020-03-08,5,2019-03-04,2020-03-01,0.918057,0.96666,0.983189,0.535387,103.1041,12192.3379,110.4189,0.029272
2020-W11,2020-03-09,2020-03-15,5,2019-03-11,2020-03-08,3.913384,15.808905,3.976041,0.796734,437.6185,197691.5938,444.6252,0.112593
2020-W12,2020-03-16,2020-03-22,5,2019-03-18,2020-03-15,4.181268,17.718515,4.209337,0.747181,553.9011,310939.4375,557.6194,0.135625
