periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
2019-W01,2019-12-30,2020-01-12,10,2018-12-31,2019-12-29,1.002862,1.041872,1.020721,11.690821,127.4265,16820.9824,129.6957,0.039018
2020-W03,2020-01-13,2020-01-26,10,2019-01-14,2020-01-12,0.418658,0.2584,0.508331,9.078353,52.5074,4064.5806,63.7541,0.01587
2020-W05,2020-01-27,2020-02-09,10,2019-01-28,2020-01-26,0.390446,0.203547,0.451162,0.467952,47.7436,3043.4871,55.1678,0.014057
2020-W07,2020-02-10,2020-02-23,10,2019-02-11,2020-02-09,0.402021,0.182673,0.427403,0.475908,47.6722,2568.6689,50.682,0.013989
2020-W09,2020-02-24,2020-03-08,10,2019-02-25,2020-02-23,1.294773,1.818615,1.34856,0.858526,148.6803,23980.6523,154.8569,0.042504
2020-W11,2020-03-09,2020-03-22,10,2019-03-11,2020-03-08,4.859371,24.837538,4.983727,0.827623,543.4045,310595.3438,557.3108,0.135771
2020-W13,2020-03-23,2020-04-05,10,2019-03-25,2020-03-22,1.955359,4.07341,2.018269,0.456068,319.0708,108462.3906,329.3363,0.07856
2020-W15,2020-04-06,2020-04-19,10,2019-04-08,2020-04-05,0.349734,0.193325,0.439687,0.140802,71.9168,8174.7158,90.4141,0.018402
2020-W17,2020-04-20,2020-05-03,10,2019-04-22,2020-04-19,0.405071,0.210975,0.45932,0.151359,89.4747,10293.5889,101.4573,0.022262
2020-W19,2020-05-04,2020-05-17,10,2019-05-06,2020-05-03,0.353834,0.198257,0.445261,0.186697,86.0742,11732.0781,108.3147,0.021973
2020-W21,2020-05-18,2020-05-31,10,2019-05-20,2020-05-17,0.93278,0.908601,0.953206,0.86428,239.552,59925.9141,244.7977,0.063652
2020-W23,2020-06-01,2020-06-14,10,2019-06-03,2020-05-31,1.08106,1.250855,1.118416,2.226968,282.9578,85694.1172,292.7356,0.077664
2020-W25,2020-06-15,2020-06-28,10,2019-06-17,2020-06-14,0.400201,0.181331,0.42583,0.462666,104.2194,12297.4053,110.8937,0.027889
2020-W27,2020-06-29,2020-07-12,10,2019-07-01,2020-06-28,0.539441,0.349704,0.591358,1.277174,138.722,23126.1602,152.0729,0.038055
2020-W29,2020-07-13,2020-07-26,10,2019-07-15,2020-07-12,0.388571,0.181895,0.426491,1.164713,97.1985,11381.4805,106.684,0.026745
2020-W31,2020-07-27,2020-08-09,10,2019-07-29,2020-07-26,0.218639,0.072197,0.268696,0.276766,52.5685,4173.6763,64.604,0.013986
2020-W33,2020-08-10,2020-08-23,10,2019-08-12,2020-08-09,0.363362,0.15216,0.390077,0.421891,86.8779,8698.4404,93.2654,0.022925
2020-W35,2020-08-24,2020-09-06,10,2019-08-26,2020-08-23,0.304942,0.159627,0.399534,0.400663,73.1714,9190.8301,95.8688,0.019187
2020-W37,2020-09-07,2020-09-20,10,2019-09-09,2020-09-06,0.251966,0.08132,0.285167,0.621888,60.4836,4685.876,68.4535,0.016324
2020-W39,2020-09-21,2020-10-04,10,2019-09-23,2020-09-20,0.364316,0.153117,0.391302,0.361388,86.0992,8551.9775,92.4769,0.022302
2020-W41,2020-10-05,2020-10-18,10,2019-10-07,2020-10-04,0.149624,0.028363,0.168413,0.170587,35.6186,1607.3245,40.0914,0.009266
2020-W43,2020-10-19,2020-11-01,10,2019-10-21,2020-10-18,0.114808,0.021172,0.145505,0.182399,27.3426,1200.8544,34.6533,0.007186
2020-W45,2020-11-02,2020-11-15,10,2019-11-04,2020-11-01,0.540157,0.389683,0.624246,4.174284,126.7147,21444.9707,146.441,0.034547
2020-W47,2020-11-16,2020-11-29,10,2019-11-18,2020-11-15,0.744519,0.568435,0.753946,4.014856,169.4706,29452.1992,171.6164,0.046638
2020-W49,2020-11-30,2020-12-13,10,2019-12-02,2020-11-29,1.234413,1.583009,1.258177,1.515402,275.9823,79127.0469,281.2953,0.079161
2020-W51,2020-12-14,2020-12-27,10,2019-12-16,2020-12-13,1.062875,1.178347,1.085517,0.969384,235.0135,57609.543,240.0199,0.068291
2020-W53,2020-12-28,2021-01-10,10,2019-12-30,2020-12-27,0.733836,0.579519,0.761261,0.651772,157.0938,26557.5312,162.9648,0.045546
2021-W02,2021-01-11,2021-01-24,10,2020-01-13,2021-01-10,0.185047,0.042662,0.206548,0.169245,37.4931,1751.3838,41.8495,0.01078
2021-W04,2021-01-25,2021-02-07,10,2020-01-27,2021-01-24,0.424586,0.196921,0.443757,0.662164,82.148,7371.4634,85.8572,0.02297
2021-W06,2021-02-08,2021-02-21,10,2020-02-10,2021-02-07,0.294001,0.099732,0.315803,0.33821,54.4829,3424.9653,58.5232,0.015353
2021-W08,2021-02-22,2021-03-07,10,2020-02-24,2021-02-21,0.596823,0.380242,0.616638,1.186159,106.3074,12064.1543,109.8369,0.029355
2021-W10,2021-03-08,2021-03-21,10,2020-03-09,2021-03-07,0.218185,0.061845,0.248686,0.275925,37.773,1853.5996,43.0535,0.010543
2021-W12,2021-03-22,2021-04-04,10,2020-03-23,2021-03-21,0.580822,0.431719,0.657053,14.405458,96.4372,11901.5938,109.0944,0.026181
2021-W14,2021-04-05,2021-04-18,10,2020-04-06,2021-04-04,0.362039,0.165224,0.406478,1.645513,54.7794,3782.6648,61.5034,0.01499
2021-W16,2021-04-19,2021-05-02,10,2020-04-20,2021-04-18,0.411067,0.223231,0.472473,1.651505,59.6943,4707.5557,68.6116,0.016205
2021-W18,2021-05-03,2021-05-16,10,2020-05-04,2021-05-02,1.044227,1.241637,1.114288,1.47682,135.912,21033.9297,145.0308,0.035879
2021-W20,2021-05-17,2021-05-30,10,2020-05-18,2021-05-16,0.43714,0.272997,0.522491,1.35715,53.2421,4049.7378,63.6376,0.014276
2021-W22,2021-05-31,2021-06-13,10,2020-06-01,2021-05-30,0.598935,0.466103,0.682717,1.887178,71.8978,6716.6626,81.9552,0.019933
2021-W24,2021-06-14,2021-06-27,10,2020-06-15,2021-06-13,0.487614,0.310332,0.557074,1.299474,58.3575,4444.9697,66.6706,0.01563
2021-W26,2021-06-28,2021-07-11,10,2020-06-29,2021-06-27,0.673436,0.591031,0.768785,0.640319,80.6071,8467.6748,92.02,0.021206
2021-W28,2021-07-12,2021-07-25,10,2020-07-13,2021-07-11,0.963532,1.043689,1.021611,0.665755,117.3611,15484.1562,124.4353,0.030535
2021-W30,2021-07-26,2021-08-08,10,2020-07-27,2021-07-25,1.187682,1.630886,1.277061,0.63724,149.8398,25958.3496,161.116,0.038323
2021-W32,2021-08-09,2021-08-22,10,2020-08-10,2021-08-08,0.926598,1.101051,1.04931,0.537653,123.3469,19511.0625,139.682,0.03147
2021-W34,2021-08-23,2021-09-05,10,2020-08-24,2021-08-22,0.235426,0.087072,0.295079,0.291655,32.5961,1669.1697,40.8555,0.008564
2021-W36,2021-09-06,2021-09-19,10,2020-09-07,2021-09-05,0.203921,0.062923,0.250845,0.214959,28.528,1231.4861,35.0925,0.007471
2021-W38,2021-09-20,2021-10-03,10,2020-09-21,2021-09-19,0.090638,0.016437,0.128207,0.103715,12.9133,333.6422,18.2659,0.003384
2021-W40,2021-10-04,2021-10-17,10,2020-10-05,2021-10-03,0.544015,0.333861,0.577807,1.204494,77.0143,6690.9346,81.7981,0.020478
2021-W42,2021-10-18,2021-10-31,10,2020-10-19,2021-10-17,0.406411,0.172557,0.415399,0.672245,56.6173,3348.8696,57.8694,0.015021
2021-W44,2021-11-01,2021-11-14,10,2020-11-02,2021-10-31,0.471278,0.265668,0.51543,0.35765,64.9171,5040.8384,70.9989,0.016778
2021-W46,2021-11-15,2021-11-28,10,2020-11-16,2021-11-14,0.90397,0.936992,0.967983,0.496,127.111,18526.5254,136.1122,0.032171
2021-W48,2021-11-29,2021-12-12,10,2020-11-30,2021-11-28,0.754671,0.723013,0.850302,0.436105,111.8181,15872.8496,125.9875,0.028218
2021-W50,2021-12-13,2021-12-26,10,2020-12-14,2021-12-12,0.473041,0.256742,0.506697,0.247613,70.6401,5725.3472,75.666,0.017643
2021-W52,2021-12-27,2022-01-09,10,2020-12-28,2021-12-26,0.407871,0.204835,0.452587,0.19061,60.5324,4511.6221,67.1686,0.01492
2022-W02,2022-01-10,2022-01-23,10,2021-01-11,2022-01-09,0.198242,0.04846,0.220135,0.129004,29.4166,1067.0234,32.6653,0.007369
2022-W04,2022-01-24,2022-02-06,10,2021-01-25,2022-01-23,0.459537,0.233209,0.482918,0.403054,66.2412,4845.7695,69.6116,0.016785
2022-W06,2022-02-07,2022-02-20,10,2021-02-08,2022-02-06,0.416086,0.188818,0.434532,0.411482,58.7512,3764.5254,61.3557,0.014914
2022-W08,2022-02-21,2022-03-06,10,2021-02-22,2022-02-20,0.839448,0.871136,0.933347,2.658624,112.6777,15695.4844,125.2816,0.029209
2022-W10,2022-03-07,2022-03-20,10,2021-03-08,2022-03-06,1.127657,1.3012,1.140701,28.823816,145.9989,21811.6934,147.6878,0.038379
2022-W12,2022-03-21,2022-04-03,10,2021-03-22,2022-03-20,1.134488,1.35885,1.165697,3.036899,135.7988,19469.916,139.5346,0.03598
2022-W14,2022-04-04,2022-04-17,10,2021-04-05,2022-04-03,1.136987,1.381441,1.175347,1.304701,130.1931,18113.2793,134.5856,0.034883
2022-W16,2022-04-18,2022-05-01,10,2021-04-19,2022-04-17,1.010461,1.167765,1.080632,1.193259,111.0607,14107.0938,118.7733,0.028594
2022-W18,2022-05-02,2022-05-15,10,2021-05-03,2022-05-01,2.597373,6.887048,2.624319,1.223306,274.8216,77102.1016,277.6726,0.067443
2022-W20,2022-05-16,2022-05-29,10,2021-05-17,2022-05-15,0.540138,0.380196,0.616601,0.493645,60.9604,4842.7656,69.59,0.015213
2022-W22,2022-05-30,2022-06-12,10,2021-05-31,2022-05-29,1.607403,3.252417,1.803446,2.698581,180.4993,41011.7227,202.5135,0.047546
2022-W24,2022-06-13,2022-06-26,10,2021-06-14,2022-06-12,0.714881,0.794634,0.891423,1.335627,73.1,8308.7266,91.1522,0.018162
2022-W26,2022-06-27,2022-07-10,10,2021-06-28,2022-06-26,2.65545,8.444656,2.905969,0.738124,266.2677,84906.8359,291.3878,0.062212
2022-W28,2022-07-11,2022-07-24,10,2021-07-12,2022-07-10,3.40285,12.578321,3.546593,0.75117,408.3324,181119.3281,425.5812,0.091442
2022-W30,2022-07-25,2022-08-07,10,2021-07-26,2022-07-24,0.747817,1.076771,1.037676,0.252993,118.5032,27039.1191,164.4358,0.026925
2022-W32,2022-08-08,2022-08-21,10,2021-08-09,2022-08-07,0.482117,0.341969,0.584782,0.306532,86.1722,10924.8936,104.5222,0.020298
2022-W34,2022-08-22,2022-09-04,10,2021-08-23,2022-08-21,0.571138,0.373107,0.610825,0.234558,108.7104,13517.3828,116.2643,0.024562
