periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
2021-S1,2021-01-01,2021-06-30,129,2019-01-01,2020-12-31,0.325294,0.156032,0.395009,2.068697,87.6821,11336.5811,106.4734,0.023995
2021-S2,2021-07-01,2021-12-31,132,2019-07-01,2021-06-30,0.74292,0.708393,0.841661,0.534555,156.2466,31333.6406,177.0131,0.039978
2022-S1,2022-01-01,2022-06-30,129,2020-01-01,2021-12-31,0.534212,0.416124,0.645077,4.988796,99.2443,14361.7529,119.8405,0.025525
2022-S2,2022-07-01,2022-12-31,131,2020-07-01,2022-06-30,3.900434,17.100416,4.135265,0.745236,627.7925,443009.4688,665.5895,0.134262
2023-S1,2023-01-01,2023-06-30,130,2021-01-01,2022-12-31,0.854079,1.067381,1.033141,1.12231,335.8804,165079.4531,406.2997,0.07591
2023-S2,2023-07-01,2023-12-31,130,2021-07-01,2023-06-30,0.825301,0.766898,0.875727,2.677841,326.5197,120041.6484,346.4703,0.081254
2024-S1,2024-01-01,2024-06-30,130,2022-01-01,2023-12-31,0.304581,0.109731,0.331257,0.32641,109.4306,14164.5361,119.0149,0.027998
2024-S2,2024-07-01,2024-12-31,132,2022-07-01,2024-06-30,0.763834,0.862912,0.928931,4.08232,271.5065,109025.6953,330.1904,0.06281
2025-S1,2025-01-01,2025-06-30,129,2023-01-01,2024-12-31,0.696447,0.576225,0.759095,5.786361,202.5735,48750.7461,220.7957,0.048771
2025-S2,2025-07-01,2025-12-31,132,2023-07-01,2025-06-30,1.196303,1.876893,1.369998,1.213983,195.7997,50278.3906,224.2284,0.050878
