periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
2014,2014-01-01,2014-12-31,240,2011-01-01,2013-12-31,1.821424,7.304645,2.702711,0.881939,106.4377,24944.0801,157.937,0.05016
2015,2015-01-01,2015-12-31,250,2012-01-01,2014-12-31,3.642413,18.548222,4.306765,0.450686,432.1629,261107.2031,510.9865,0.148832
2016,2016-01-01,2016-12-31,252,2013-01-01,2015-12-31,0.861938,0.939533,0.969295,0.49,374.6667,177521.0469,421.3325,0.125474
2017,2017-01-01,2017-12-31,233,2014-01-01,2016-12-31,0.203171,0.054495,0.233441,0.324201,98.4086,12784.8936,113.0703,0.033691
2018,2018-01-01,2018-12-31,244,2015-01-01,2017-12-31,0.575625,0.420675,0.648595,2.508052,132.9713,22448.3242,149.8277,0.045013
2019,2019-01-01,2019-12-31,251,2016-01-01,2018-12-31,0.957893,1.349852,1.161831,0.430833,127.1441,23781.793,154.2135,0.037929
2020,2020-01-01,2020-12-31,244,2017-01-01,2019-12-31,1.607198,3.563634,1.887759,0.45308,313.7352,135794.0781,368.5025,0.082347
2021,2021-01-01,2021-12-31,246,2018-01-01,2020-12-31,0.443235,0.272788,0.522292,0.471739,151.3019,31786.8457,178.2887,0.040994
2022,2022-01-01,2022-12-31,250,2019-01-01,2021-12-31,1.433446,3.637557,1.907238,0.495027,382.723,259308.4062,509.2233,0.083894
2023,2023-01-01,2023-12-31,239,2020-01-01,2022-12-31,1.465685,2.820767,1.679514,7.715652,548.0776,394430.0312,628.0366,0.132627
2024,2024-01-01,2024-12-31,246,2021-01-01,2023-12-31,0.420504,0.258342,0.508274,1.236078,166.6477,40574.5703,201.4313,0.040133
