periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
2016-S1,2016-01-01,2016-06-30,126,2011-01-01,2015-12-31,0.323516,0.144566,0.380218,0.118377,125.6624,21811.4961,147.6871,0.040016
2016-S2,2016-07-01,2016-12-31,126,2011-07-01,2016-06-30,0.151981,0.031698,0.178039,0.096971,75.6699,7857.8145,88.6443,0.025426
2017-S1,2017-01-01,2017-06-30,124,2012-01-01,2016-12-31,0.236597,0.064874,0.254704,0.212095,127.0409,18704.3184,136.7637,0.043744
2017-S2,2017-07-01,2017-12-31,109,2012-07-01,2017-06-30,0.102646,0.014731,0.121373,0.093811,55.0596,4238.6519,65.1049,0.018316
2018-S1,2018-01-01,2018-06-30,121,2013-01-01,2017-12-31,0.303128,0.10236,0.319937,0.540993,157.2542,27547.5605,165.9746,0.055563
2018-S2,2018-07-01,2018-12-31,123,2013-07-01,2018-06-30,0.424271,0.252105,0.502101,0.402944,199.4008,55686.3008,235.9794,0.063461
2019-S1,2019-01-01,2019-06-30,123,2014-01-01,2018-12-31,0.185708,0.044106,0.210013,0.188573,77.8182,7744.5161,88.0029,0.024531
2019-S2,2019-07-01,2019-12-31,128,2014-07-01,2019-06-30,0.339271,0.145073,0.380885,0.222995,118.3918,17665.8828,132.9131,0.034721
2020-S1,2020-01-01,2020-06-30,121,2015-01-01,2019-12-31,1.285414,2.570649,1.603325,0.391443,315.1353,154507.9375,393.075,0.081382
2020-S2,2020-07-01,2020-12-31,123,2015-07-01,2020-06-30,0.4846,0.408804,0.639378,0.300763,130.7595,29764.2188,172.5231,0.036479
2021-S1,2021-01-01,2021-06-30,120,2016-01-01,2020-12-31,0.248586,0.100059,0.316322,0.172991,78.1394,9886.54,99.4311,0.021303
2021-S2,2021-07-01,2021-12-31,126,2016-07-01,2021-06-30,0.466465,0.278751,0.527969,0.23776,157.1124,31622.7852,177.828,0.040208
2022-S1,2022-01-01,2022-06-30,124,2017-01-01,2021-12-31,0.253184,0.101872,0.319174,0.185091,94.4832,14186.9863,119.1091,0.024431
2022-S2,2022-07-01,2022-12-31,126,2017-07-01,2022-06-30,1.551885,2.766068,1.66315,0.491575,597.2615,409706.7812,640.0834,0.127604
2023-S1,2023-01-01,2023-06-30,119,2018-01-01,2022-12-31,0.617481,0.579367,0.761162,0.394732,307.6356,143807.0156,379.219,0.069677
2023-S2,2023-07-01,2023-12-31,120,2018-07-01,2023-06-30,0.644134,0.463675,0.680937,1.459117,332.199,123326.75,351.1791,0.082627
2024-S1,2024-01-01,2024-06-30,121,2019-01-01,2023-12-31,0.281228,0.090311,0.300518,6.127951,130.9781,19589.4785,139.9624,0.033545
2024-S2,2024-07-01,2024-12-31,125,2019-07-01,2024-06-30,0.645561,0.554205,0.744449,0.863689,264.0739,92735.6641,304.5253,0.061341
2025-S1,2025-01-01,2025-06-30,121,2020-01-01,2024-12-31,0.545155,0.349086,0.590835,1.914965,202.4249,48130.4141,219.3864,0.048737
