periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
1996,1996-01-01,1996-12-31,262,1993-01-01,1995-12-31,0.565654,0.458291,0.676972,0.172188,35.9328,1849.3634,43.0042,0.034161
1997,1997-01-01,1997-12-31,261,1994-01-01,1996-12-31,1.465382,3.147258,1.774051,0.564561,136.5694,27336.1523,165.3365,0.113879
1998,1998-01-01,1998-12-31,261,1995-01-01,1997-12-31,1.048663,1.727245,1.314247,0.268708,119.7506,22523.5508,150.0785,0.080396
1999,1999-01-01,1999-12-31,261,1996-01-01,1998-12-31,1.194121,2.127487,1.458591,0.336812,217.7119,70718.6562,265.9298,0.116502
2000,2000-01-01,2000-12-31,260,1997-01-01,1999-12-31,0.574682,0.453197,0.673199,0.229893,161.8151,35931.0742,189.5549,0.07522
2001,2001-01-01,2001-12-31,261,1998-01-01,2000-12-31,0.257528,0.078286,0.279796,0.13985,77.0415,7006.2329,83.7032,0.033344
2002,2002-01-01,2002-12-31,261,1999-01-01,2001-12-31,0.879299,1.405139,1.185386,0.373864,220.685,88509.7969,297.506,0.081668
2003,2003-01-01,2003-12-31,261,2000-01-01,2002-12-31,0.260149,0.093477,0.305741,0.102105,58.3685,4705.6636,68.5978,0.020289
2004,2004-01-01,2004-12-31,262,2001-01-01,2003-12-31,0.736042,0.67726,0.822958,23.085867,201.797,50907.1836,225.6262,0.07849
2005,2005-01-01,2005-12-31,260,2002-01-01,2004-12-31,0.718043,0.545703,0.738717,0.430504,152.0874,24481.6738,156.4662,0.065721
2006,2006-01-01,2006-12-31,259,2003-01-01,2005-12-31,0.410723,0.321322,0.566853,6.770335,97.2193,18003.1113,134.1757,0.039686
2007,2007-01-01,2007-12-31,257,2004-01-01,2006-12-31,1.29788,2.156026,1.468341,0.524913,207.0708,54881.0312,234.267,0.102791
2008,2008-01-01,2008-12-31,256,2005-01-01,2007-12-31,1.178843,1.74705,1.32176,6.531396,180.3519,40891.6797,202.2169,0.091691
2009,2009-01-01,2009-12-31,258,2006-01-01,2008-12-31,0.871933,0.941938,0.970535,2.082047,194.5853,46911.1328,216.5898,0.09266
2010,2010-01-01,2010-12-31,260,2007-01-01,2009-12-31,0.431265,0.251614,0.501612,0.462291,85.193,9818.7061,99.0894,0.045807
2011,2011-01-01,2011-12-31,253,2008-01-01,2010-12-31,0.304189,0.136924,0.370033,0.383193,62.6083,5800.3818,76.1602,0.034594
2012,2012-01-01,2012-12-31,243,2009-01-01,2011-12-31,0.540863,0.313417,0.559836,0.581573,100.8872,10904.874,104.4264,0.056385
2013,2013-01-01,2013-12-31,242,2010-01-01,2012-12-31,1.31107,2.34234,1.530471,8.426307,88.3604,10639.3262,103.1471,0.046493
2014,2014-01-01,2014-12-31,240,2011-01-01,2013-12-31,1.798537,7.139755,2.672032,0.861243,105.1002,24381.0098,156.1442,0.049517
2015,2015-01-01,2015-12-31,250,2012-01-01,2014-12-31,3.616039,18.267542,4.274055,0.449248,429.0337,257156.0156,507.1055,0.147894
2016,2016-01-01,2016-12-31,252,2013-01-01,2015-12-31,0.845942,0.914369,0.956227,0.482016,367.7135,172766.4219,415.6518,0.123228
2017,2017-01-01,2017-12-31,233,2014-01-01,2016-12-31,0.209133,0.056568,0.237841,0.332372,101.2966,13271.3604,115.2014,0.034665
2018,2018-01-01,2018-12-31,244,2015-01-01,2017-12-31,0.577965,0.420507,0.648465,2.538154,133.5119,22439.3164,149.7976,0.045224
2019,2019-01-01,2019-12-31,251,2016-01-01,2018-12-31,0.980717,1.464484,1.210159,0.423178,130.1736,25801.3926,160.6281,0.038744
2020,2020-01-01,2020-12-31,244,2017-01-01,2019-12-31,1.610241,3.562785,1.887534,0.454202,314.3292,135761.75,368.4586,0.082519
2021,2021-01-01,2021-12-31,246,2018-01-01,2020-12-31,0.395137,0.227879,0.477367,0.423304,134.8833,26553.7344,162.9532,0.036548
2022,2022-01-01,2022-12-31,250,2019-01-01,2021-12-31,1.447704,3.677979,1.917806,0.503647,386.53,262189.9062,512.0448,0.084797
2023,2023-01-01,2023-12-31,239,2020-01-01,2022-12-31,1.469441,2.830715,1.682473,7.936758,549.4819,395821.125,629.1432,0.132951
2024,2024-01-01,2024-12-31,246,2021-01-01,2023-12-31,0.426978,0.263825,0.513639,1.254096,169.2135,41435.7539,203.5577,0.040795
