periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
2019-W01,2019-12-30,2020-01-05,4,2018-12-31,2019-12-29,1.035569,1.132351,1.06412,14.219607,132.4898,18534.8145,136.1426,0.040533
2020-W02,2020-01-06,2020-01-12,5,2019-01-07,2020-01-05,1.017406,1.04217,1.020867,7.606279,129.7366,16946.3066,130.178,0.039775
2020-W03,2020-01-13,2020-01-19,5,2019-01-14,2020-01-12,0.734731,0.598545,0.773657,18.76269,92.7569,9539.6484,97.6711,0.028137
2020-W04,2020-01-20,2020-01-26,5,2019-01-21,2020-01-19,0.25871,0.076557,0.276689,0.544026,32.1751,1184.1184,34.411,0.009601
2020-W05,2020-01-27,2020-02-02,5,2019-01-28,2020-01-26,0.365426,0.183313,0.42815,0.389774,44.9354,2771.8704,52.6486,0.013178
2020-W06,2020-02-03,2020-02-09,5,2019-02-04,2020-02-02,0.389752,0.186213,0.431524,0.562652,47.4438,2759.2581,52.5286,0.014006
2020-W07,2020-02-10,2020-02-16,5,2019-02-11,2020-02-09,0.52525,0.332855,0.576936,0.587598,62.5346,4718.0649,68.6882,0.018295
2020-W08,2020-02-17,2020-02-23,5,2019-02-18,2020-02-16,0.352309,0.14971,0.386923,0.467207,41.4166,2068.9592,45.4858,0.012186
2020-W09,2020-02-24,2020-03-01,5,2019-02-25,2020-02-23,0.952395,1.096462,1.047121,0.7099,109.5673,14511.7998,120.4649,0.031494
2020-W10,2020-03-02,2020-03-08,5,2019-03-04,2020-03-01,0.929991,1.044302,1.021911,0.539364,104.4466,13172.1592,114.77,0.029615
2020-W11,2020-03-09,2020-03-15,5,2019-03-11,2020-03-08,3.923947,15.865141,3.983107,0.801667,438.1978,197850.8906,444.8043,0.112754
2020-W12,2020-03-16,2020-03-22,5,2019-03-18,2020-03-15,3.688168,13.64519,3.69394,0.663685,489.9343,240787.4062,490.7009,0.119973
2020-W13,2020-03-23,2020-03-29,4,2019-03-25,2020-03-22,1.697345,3.003841,1.733159,0.402408,278.7312,81004.2422,284.6125,0.068667
2020-W14,2020-03-30,2020-04-05,5,2019-04-01,2020-03-29,1.003866,1.129339,1.062703,0.274386,184.6382,38204.6133,195.46,0.045574
2020-W15,2020-04-06,2020-04-12,3,2019-04-08,2020-04-05,0.170218,0.031207,0.176656,0.06653,34.6015,1289.5474,35.9103,0.008831
2020-W16,2020-04-13,2020-04-19,5,2019-04-15,2020-04-12,0.33484,0.15348,0.391765,0.14858,69.6448,6639.79,81.4849,0.017955
2020-W17,2020-04-20,2020-04-26,5,2019-04-22,2020-04-19,0.3544,0.151999,0.38987,0.125014,76.577,7096.6104,84.2414,0.018976
2020-W18,2020-04-27,2020-05-03,4,2019-04-29,2020-04-26,0.191466,0.039759,0.199397,0.080349,43.9346,2093.4697,45.7545,0.011006
2020-W19,2020-05-04,2020-05-10,5,2019-05-06,2020-05-03,0.337244,0.163006,0.40374,0.171599,80.4349,9272.6699,96.2947,0.020511
2020-W20,2020-05-11,2020-05-17,5,2019-05-13,2020-05-10,0.517301,0.289593,0.538139,0.289637,127.707,17649.459,132.8513,0.032693
2020-W21,2020-05-18,2020-05-24,5,2019-05-20,2020-05-17,0.843128,0.753593,0.868097,0.659728,213.5472,48343.375,219.8713,0.056148
2020-W22,2020-05-25,2020-05-31,4,2019-05-27,2020-05-24,1.018234,1.03962,1.019618,1.107791,261.5856,68613.1406,261.9411,0.070259
2020-W23,2020-06-01,2020-06-07,5,2019-06-03,2020-05-31,1.100549,1.295356,1.138137,2.531406,284.5399,86587.8672,294.2582,0.078701
2020-W24,2020-06-08,2020-06-14,5,2019-06-10,2020-06-07,0.644397,0.453571,0.673477,1.011088,165.9068,30065.3535,173.3936,0.045042
2020-W25,2020-06-15,2020-06-21,4,2019-06-17,2020-06-14,0.288266,0.110062,0.331756,0.304448,74.0667,7265.9883,85.2408,0.019749
2020-W26,2020-06-22,2020-06-28,4,2019-06-24,2020-06-21,0.49062,0.246321,0.496308,0.605671,125.6868,16165.5723,127.1439,0.033736
2020-W27,2020-06-29,2020-07-05,4,2019-07-01,2020-06-28,0.340479,0.18252,0.427223,0.667093,86.5504,11794.1699,108.601,0.023643
2020-W28,2020-07-06,2020-07-12,5,2019-07-08,2020-07-05,0.75969,0.602539,0.776234,2.001215,191.245,38184.9688,195.4097,0.052698
2020-W29,2020-07-13,2020-07-19,5,2019-07-15,2020-07-12,0.566403,0.326714,0.571589,1.579591,140.2906,20043.5371,141.5752,0.038629
